date,open,high,low,close,volume
2017-01-02,3245.0,3333.0,3245.0,3323.0,31210.0
2017-01-03,3332.0,3363.0,3324.0,3338.0,19690.0
2017-01-04,3317.0,3328.0,3271.0,3277.0,16070.0
2017-01-05,3284.0,3321.0,3283.0,3314.0,15720.0
2017-01-06,3324.0,3337.0,3295.0,3312.0,14960.0
2017-01-09,3310.0,3336.0,3252.0,3266.0,17200.0
2017-01-10,3265.0,3277.0,3226.0,3264.0,23970.0
2017-01-11,3262.0,3290.0,3243.0,3255.0,15300.0
2017-01-12,3277.0,3295.0,3268.0,3270.0,1720.0
2017-01-13,3296.0,3296.0,3265.0,3275.0,1260.0
2017-01-16,3265.0,3268.0,3248.0,3254.0,210.0
2017-01-17,3183.0,3314.0,3183.0,3282.0,410.0
2017-01-19,3313.0,3313.0,3305.0,3308.0,560.0
2017-01-20,3310.0,3337.0,3301.0,3311.0,430.0
2017-01-23,3390.0,3408.0,3361.0,3368.0,25130.0
2017-01-24,3367.0,3380.0,3290.0,3320.0,38340.0
2017-01-25,3318.0,3325.0,3294.0,3318.0,27490.0
2017-01-27,3320.0,3336.0,3250.0,3282.0,36920.0
2017-01-30,3284.0,3285.0,3236.0,3246.0,31040.0
2017-01-31,3241.0,3268.0,3236.0,3260.0,28150.0
2017-02-01,3264.0,3349.0,3256.0,3329.0,34260.0
2017-02-02,3330.0,3342.0,3277.0,3284.0,24450.0
2017-02-03,3278.0,3297.0,3278.0,3283.0,10470.0
2017-02-06,3285.0,3287.0,3237.0,3245.0,15180.0
2017-02-07,3316.0,3316.0,3221.0,3229.0,12920.0
2017-02-08,3226.0,3268.0,3224.0,3251.0,15110.0
2017-02-09,3252.0,3277.0,3237.0,3247.0,16020.0
2017-02-10,3245.0,3257.0,3214.0,3227.0,22780.0
2017-02-13,3226.0,3239.0,3199.0,3204.0,10140.0
2017-02-14,3203.0,3211.0,3172.0,3188.0,1010.0
2017-02-15,3210.0,3275.0,3210.0,3256.0,1410.0
2017-02-16,3264.0,3269.0,3225.0,3234.0,1710.0
2017-02-17,3250.0,3292.0,3250.0,3275.0,220.0
2017-02-20,3333.0,3334.0,3300.0,3319.0,170.0
2017-02-21,3369.0,3388.0,3330.0,3343.0,60600.0
2017-02-22,3345.0,3443.0,3344.0,3443.0,92600.0
2017-02-23,3458.0,3546.0,3443.0,3546.0,104810.0
2017-02-24,3546.0,3546.0,3546.0,3546.0,
2017-02-27,3651.0,3677.0,3586.0,3608.0,111740.0
2017-02-28,3585.0,3752.0,3571.0,3752.0,93230.0
2017-03-01,3768.0,3814.0,3706.0,3733.0,81120.0
2017-03-02,3742.0,3775.0,3683.0,3753.0,47530.0
2017-03-03,3748.0,3808.0,3732.0,3760.0,33020.0
2017-03-06,3806.0,3910.0,3806.0,3885.0,29610.0
2017-03-07,3906.0,3910.0,3776.0,3803.0,20280.0
2017-03-08,3785.0,3917.0,3762.0,3917.0,23020.0
2017-03-09,3948.0,3949.0,3761.0,3763.0,20580.0
2017-03-10,3792.0,3793.0,3651.0,3667.0,18030.0
2017-03-14,3683.0,3683.0,3620.0,3649.0,5490.0
2017-03-15,3687.0,3749.0,3687.0,3705.0,180.0
2017-03-16,3755.0,3755.0,3726.0,3741.0,140.0
2017-03-17,3694.0,3852.0,3694.0,3755.0,200.0
2017-03-20,3795.0,3795.0,3795.0,3795.0,30.0
2017-03-21,3815.0,3874.0,3815.0,3847.0,69600.0
2017-03-22,3821.0,3897.0,3808.0,3845.0,111040.0
2017-03-23,3835.0,3907.0,3824.0,3866.0,105240.0
2017-03-24,3849.0,3938.0,3849.0,3864.0,124570.0
2017-03-27,3850.0,3897.0,3755.0,3773.0,112880.0
2017-03-28,3779.0,3885.0,3773.0,3868.0,103600.0
2017-03-29,3878.0,3907.0,3854.0,3874.0,76140.0
2017-03-30,3878.0,3929.0,3874.0,3889.0,86240.0
2017-03-31,3920.0,4005.0,3915.0,3990.0,116970.0
2017-04-03,4028.0,4109.0,4017.0,4109.0,59160.0
2017-04-04,4109.0,4109.0,4109.0,4109.0,
2017-04-06,4029.0,4073.0,4011.0,4051.0,25740.0
2017-04-07,4065.0,4096.0,3941.0,3982.0,25760.0
2017-04-10,3986.0,4005.0,3951.0,3975.0,25100.0
2017-04-11,3971.0,4054.0,3910.0,3925.0,15370.0
2017-04-12,3930.0,3980.0,3910.0,3972.0,4010.0
2017-04-13,3998.0,4073.0,3980.0,4045.0,3320.0
2017-04-17,4009.0,4009.0,3920.0,3942.0,880.0
2017-04-18,3954.0,4017.0,3943.0,3963.0,650.0
2017-04-19,3945.0,3950.0,3930.0,3941.0,360.0
2017-04-20,3920.0,3940.0,3824.0,3926.0,260.0
2017-04-21,3960.0,3985.0,3902.0,3913.0,83330.0
2017-04-24,3911.0,3911.0,3842.0,3868.0,76300.0
2017-04-25,3875.0,3909.0,3856.0,3900.0,65170.0
2017-04-26,3889.0,3919.0,3880.0,3891.0,62920.0
2017-04-27,3895.0,3913.0,3833.0,3849.0,72370.0
2017-04-28,3845.0,3882.0,3836.0,3866.0,64739.99999999999
2017-05-02,3872.0,3877.0,3744.0,3757.0,54910.0
2017-05-03,3738.0,3745.0,3665.0,3683.0,40200.0
2017-05-04,3670.0,3722.0,3670.0,3706.0,28300.0
2017-05-05,3672.0,3715.0,3577.0,3676.0,37370.0
2017-05-08,3700.0,3716.0,3642.0,3653.0,16760.0
