date,open,high,low,close,volume
2017-01-02,1080.5,1080.5,1080.5,1080.5,
2017-01-03,1083.5,1083.5,1083.5,1083.5,
2017-01-04,1092.0,1092.0,1092.0,1092.0,
2017-01-05,1106.0,1106.0,1106.0,1106.0,
2017-01-06,1109.0,1109.0,1109.0,1109.0,
2017-01-09,1116.0,1116.0,1116.0,1116.0,
2017-01-10,1112.0,1112.0,1112.0,1112.0,
2017-01-11,1123.0,1123.0,1123.0,1123.0,
2017-01-12,1138.0,1138.0,1138.0,1138.0,
2017-01-13,1134.5,1134.5,1134.5,1134.5,
2017-01-16,1119.0,1119.0,1119.0,1119.0,
2017-01-17,1114.0,1114.0,1114.0,1114.0,
2017-01-19,1124.5,1124.5,1124.5,1124.5,
2017-01-20,1143.0,1143.0,1143.0,1143.0,
2017-01-23,1158.0,1158.0,1158.0,1158.0,
2017-01-24,1162.5,1162.5,1162.5,1162.5,
2017-01-25,1150.0,1150.0,1150.0,1150.0,
2017-01-27,1144.5,1144.5,1144.5,1144.5,
2017-01-30,1144.0,1144.0,1144.0,1144.0,
2017-01-31,1129.5,1129.5,1129.5,1129.5,
2017-02-01,1139.0,1139.0,1139.0,1139.0,
2017-02-02,1160.5,1160.5,1160.5,1160.5,
2017-02-03,1165.0,1165.0,1165.0,1165.0,
2017-02-06,1143.0,1143.0,1143.0,1143.0,
2017-02-07,1139.5,1139.5,1139.5,1139.5,
2017-02-08,1141.0,1141.0,1141.0,1141.0,
2017-02-09,1142.5,1142.5,1142.5,1142.5,
2017-02-10,1144.5,1144.5,1144.5,1144.5,
2017-02-13,1147.0,1147.0,1147.0,1147.0,
2017-02-14,1142.5,1142.5,1142.5,1142.5,
2017-02-15,1144.5,1144.5,1144.5,1144.5,
2017-02-16,1141.5,1141.5,1141.5,1141.5,
2017-02-17,1137.5,1137.5,1137.5,1137.5,
2017-02-20,1122.5,1122.5,1122.5,1122.5,
2017-02-21,1127.5,1127.5,1127.5,1127.5,
2017-02-22,1138.5,1138.5,1138.5,1138.5,
2017-02-23,1140.5,1140.5,1140.5,1140.5,
2017-02-24,1140.5,1140.5,1140.5,1140.5,
2017-02-27,1161.5,1161.5,1161.5,1161.5,
2017-02-28,1150.0,1150.0,1150.0,1150.0,
