date,open,high,low,close,volume
2017-01-02,6788.0,6794.0,6750.0,6764.0,820.0
2017-01-03,6768.0,6796.0,6720.0,6776.0,1350.0
2017-01-04,6780.0,6780.0,6750.0,6754.0,450.0
2017-01-05,6760.0,6764.0,6724.0,6734.0,780.0
2017-01-06,6712.0,6760.0,6712.0,6752.0,300.0
2017-01-09,6776.0,6790.0,6732.0,6744.0,670.0
2017-01-10,6702.0,6734.0,6562.0,6602.0,3090.0
2017-01-11,6600.0,6666.0,6592.0,6608.0,1140.0
2017-01-12,6600.0,6644.0,6600.0,6620.0,410.0
2017-01-13,6620.0,6648.0,6610.0,6622.0,460.0
2017-01-16,6612.0,6630.0,6538.0,6576.0,720.0
2017-01-17,6570.0,6634.0,6550.0,6626.0,1300.0
2017-01-19,6840.0,6890.0,6806.0,6852.0,2570.0
2017-01-20,6842.0,6950.0,6842.0,6944.0,2680.0
2017-01-23,6970.0,7078.0,6962.0,7058.0,4000.0
2017-01-24,7030.0,7096.0,6918.0,6918.0,2960.0
2017-01-25,6920.0,6920.0,6680.0,6776.0,6670.0
2017-01-27,6780.0,6792.0,6660.0,6698.0,1950.0
2017-01-30,6712.0,6712.0,6582.0,6626.0,2220.0
2017-01-31,6680.0,6770.0,6638.0,6758.0,2410.0
2017-02-01,6752.0,6880.0,6720.0,6834.0,2100.0
2017-02-02,6858.0,6858.0,6734.0,6794.0,1130.0
2017-02-03,6800.0,6846.0,6750.0,6780.0,820.0
2017-02-06,6800.0,6800.0,6720.0,6750.0,1200.0
2017-02-07,6738.0,6940.0,6738.0,6904.0,3230.0
2017-02-08,6920.0,6936.0,6872.0,6922.0,1240.0
2017-02-09,6910.0,6910.0,6832.0,6862.0,1250.0
2017-02-10,6850.0,6890.0,6780.0,6804.0,2029.9999999999998
2017-02-13,6802.0,6870.0,6800.0,6832.0,900.0
2017-02-14,6858.0,6858.0,6790.0,6844.0,1230.0
2017-02-15,6810.0,7030.0,6800.0,6988.0,3640.0
2017-02-16,6980.0,7050.0,6910.0,6928.0,2470.0
2017-02-17,6906.0,6916.0,6810.0,6834.0,2860.0
2017-02-20,6818.0,6850.0,6780.0,6802.0,1670.0
2017-02-21,6800.0,6840.0,6710.0,6738.0,2810.0
2017-02-22,6740.0,6998.0,6712.0,6892.0,5230.0
2017-02-23,6832.0,6878.0,6760.0,6798.0,1960.0
2017-02-24,6798.0,6798.0,6798.0,6798.0,
2017-02-27,6780.0,6810.0,6664.0,6776.0,3770.0
2017-02-28,6780.0,6960.0,6780.0,6876.0,4830.0
2017-03-01,6842.0,6848.0,6692.0,6758.0,4420.0
2017-03-02,6740.0,6818.0,6740.0,6794.0,1810.0
2017-03-03,6798.0,6928.0,6798.0,6838.0,3280.0
2017-03-06,6820.0,6842.0,6708.0,6742.0,4440.0
2017-03-07,6724.0,6820.0,6610.0,6644.0,6760.0
2017-03-08,6610.0,6670.0,6544.0,6624.0,3670.0
2017-03-09,6646.0,6646.0,6500.0,6558.0,3820.0
2017-03-10,6550.0,6800.0,6550.0,6692.0,7560.0
2017-03-14,6666.0,6670.0,6602.0,6618.0,2660.0
2017-03-15,6612.0,6660.0,6526.0,6550.0,3870.0
2017-03-16,6550.0,6610.0,6514.0,6532.0,2240.0
2017-03-17,6554.0,6576.0,6376.0,6408.0,4059.9999999999995
2017-03-20,6368.0,6440.0,6366.0,6394.0,2050.0
