date,price
2017-01-02,1421.0
2017-01-03,1438.0
2017-01-04,1438.0
2017-01-05,1425.0
2017-01-06,1411.75
2017-01-09,1420.0
2017-01-10,1420.75
2017-01-11,1420.0
2017-01-12,1430.0
2017-01-13,1440.0
2017-01-16,1415.5
2017-01-17,1425.0
2017-01-18,1430.0
2017-01-19,1412.5
2017-01-20,1410.75
2017-01-23,1433.0
2017-01-24,1429.0
2017-01-25,1415.0
2017-01-26,1400.0
2017-01-27,1425.5
2017-01-30,1404.0
2017-01-31,1402.0
2017-02-01,1420.0
2017-02-02,1400.0
2017-02-03,1390.0
2017-02-06,1396.0
2017-02-07,1400.0
2017-02-08,1395.0
2017-02-09,1395.0
2017-02-10,1373.25
2017-02-13,1375.0
2017-02-14,1400.0
2017-02-15,1400.0
2017-02-16,1400.0
2017-02-17,1380.0
2017-02-20,1380.0
2017-02-21,1365.0
2017-02-22,1375.0
2017-02-23,1365.0
2017-02-24,1340.5
2017-02-27,1370.0
2017-02-28,1357.5
2017-03-01,1350.5
2017-03-02,1358.0
2017-03-03,1366.0
2017-03-06,1357.5
2017-03-07,1348.0
2017-03-08,1355.0
2017-03-09,1359.0
2017-03-10,1380.0
2017-03-13,1350.0
2017-03-14,1359.25
2017-03-15,1371.5
2017-03-16,1370.0
2017-03-17,1365.5
2017-03-20,1354.5
2017-03-21,1350.0
2017-03-22,1400.0
2017-03-23,1371.75
2017-03-24,1350.0
2017-03-27,1362.0
2017-03-28,1355.0
2017-03-29,1350.0
2017-03-30,1380.25
2017-03-31,1355.0
2017-04-03,1378.75
2017-04-04,1362.5
2017-04-05,1400.0
2017-04-06,1375.0
2017-04-07,1365.0
2017-04-10,1360.0
2017-04-11,1360.0
2017-04-12,1369.25
2017-04-13,1355.0
2017-04-14,1350.0
2017-04-17,1357.5
2017-04-18,1362.5
2017-04-19,1351.5
2017-04-20,1350.0
2017-04-21,1350.0
2017-04-24,1330.0
2017-04-25,1341.25
2017-04-26,1350.0
2017-04-27,1350.0
2017-04-28,1337.5
2017-05-01,1347.5
2017-05-02,1350.0
2017-05-03,1352.5
2017-05-04,1340.0
2017-05-05,1349.5
2017-05-08,1345.0
2017-05-09,1352.5
2017-05-10,1364.0
2017-05-11,1357.5
2017-05-12,1359.25
2017-05-15,1335.0
2017-05-16,1330.0
2017-05-17,1336.5
2017-05-18,1342.5
2017-05-19,1335.0
2017-05-22,1323.75
2017-05-23,1312.5
2017-05-24,1318.5
2017-05-25,1322.5
2017-05-26,1308.0
2017-05-29,1282.75
2017-05-30,1280.0
2017-05-31,1275.0
2017-06-01,1270.0
2017-06-02,1250.0
2017-06-05,1258.5
2017-06-06,1245.5
2017-06-07,1250.0
2017-06-08,1270.0
2017-06-09,1266.25
2017-06-12,1255.0
2017-06-13,1238.75
2017-06-14,1252.75
2017-06-15,1247.5
2017-06-16,1240.0
2017-06-19,1280.0
2017-06-20,1265.0
2017-06-21,1250.0
2017-06-22,1250.0
2017-06-23,1257.5
2017-06-26,1230.0
2017-06-27,1278.5
2017-06-28,1250.0
2017-06-29,1219.25
2017-06-30,1270.0
2017-07-03,1283.75
2017-07-04,1210.0
2017-07-05,1250.0
2017-07-06,1234.0
2017-07-07,1262.75
2017-07-10,1223.5
2017-07-11,1249.0
2017-07-12,1225.0
2017-07-13,1231.0
2017-07-14,1220.0
2017-07-17,1250.0
2017-07-18,1215.0
2017-07-19,1213.0
2017-07-20,1213.75
2017-07-21,1200.0
2017-07-24,1210.0
2017-07-25,1233.5
2017-07-26,1210.0
2017-07-27,1201.5
2017-07-28,1221.0
2017-07-31,1216.5
2017-08-01,1217.5
2017-08-02,1217.5
2017-08-03,1203.0
2017-08-04,1210.0
2017-08-07,1312.5
2017-08-08,1211.5
2017-08-09,1225.0
2017-08-10,1210.0
2017-08-11,1217.5
2017-08-14,1208.0
2017-08-15,1200.0
2017-08-16,1230.0
2017-08-17,1245.75
2017-08-18,1220.0
2017-08-21,1220.0
2017-08-22,1235.0
2017-08-23,1230.0
2017-08-24,1220.0
2017-08-25,1210.0
2017-08-28,1224.25
2017-08-29,1220.0
2017-08-30,1213.75
2017-08-31,1224.0
2017-09-01,1217.5
2017-09-04,1223.0
2017-09-05,1190.0
2017-09-06,1200.0
2017-09-07,1200.0
2017-09-08,1195.0
2017-09-11,1198.5
2017-09-12,1196.5
2017-09-13,1170.0
2017-09-14,1167.25
2017-09-15,1171.0
2017-09-18,1168.75
2017-09-19,1150.0
2017-09-20,1156.0
2017-09-21,1162.0
2017-09-22,1150.0
2017-09-25,1145.75
2017-09-26,1150.0
2017-09-27,1133.5
2017-09-28,1121.5
2017-09-29,1128.0
2017-10-02,1131.0
2017-10-03,1129.0
2017-10-04,1125.0
2017-10-05,1125.0
2017-10-06,1124.5
2017-10-09,1140.0
2017-10-10,1125.0
2017-10-11,1132.5
2017-10-12,1120.0
2017-10-13,1125.0
2017-10-16,1126.25
2017-10-17,1135.5
2017-10-18,1100.0
2017-10-19,1130.0
2017-10-20,1115.0
2017-10-23,1125.0
2017-10-24,1120.0
2017-10-25,1130.0
2017-10-26,1138.0
2017-10-27,1126.5
2017-10-30,1136.0
2017-10-31,1128.75
2017-11-01,1138.5
2017-11-02,1150.0
2017-11-03,1150.0
2017-11-06,1151.0
2017-11-07,1150.0
2017-11-08,1150.0
2017-11-09,1161.5
2017-11-10,1151.0
2017-11-13,1150.0
2017-11-14,1150.0
2017-11-15,1150.0
2017-11-16,1160.5
2017-11-17,1149.5
2017-11-20,1164.25
2017-11-21,1157.5
2017-11-22,1160.0
2017-11-23,1177.25
2017-11-24,1146.0
2017-11-27,1157.5
2017-11-28,1155.0
2017-11-29,1158.25
2017-11-30,1170.0
2017-12-01,1136.75
2017-12-04,1157.5
2017-12-05,1139.0
2017-12-06,1155.0
2017-12-07,1163.75
2017-12-08,1150.0
2017-12-11,1150.0
2017-12-12,1160.0
2017-12-13,1156.25
2017-12-14,1140.0
2017-12-15,1150.0
2017-12-18,1163.75
2017-12-19,1150.0
2017-12-20,1152.5
2017-12-21,1177.75
2017-12-22,1163.5
2017-12-25,1152.75
2017-12-26,1167.0
2017-12-27,1165.0
2017-12-28,1162.5
2017-12-29,1162.5
2018-01-01,1169.0
2018-01-02,1162.5
2018-01-03,1158.75
2018-01-04,1170.0
2018-01-05,1157.5
2018-01-08,1165.0
2018-01-09,1170.5
2018-01-10,1163.5
2018-01-11,1157.5
2018-01-12,1178.5
2018-01-15,1135.0
2018-01-16,1157.75
2018-01-17,1160.0
2018-01-18,1159.0
2018-01-19,1150.0
2018-01-22,1153.0
2018-01-23,1131.25
2018-01-24,1130.0
2018-01-25,1150.0
2018-01-26,1120.0
2018-01-29,1135.0
2018-01-30,1120.0
2018-01-31,1122.5
2018-02-01,1150.0
2018-02-02,1125.0
2018-02-05,1130.0
2018-02-06,1117.75
2018-02-07,1108.0
