date,price
2017-01-02,1810.0
2017-01-03,1830.0
2017-01-04,1845.0
2017-01-05,1817.5
2017-01-06,1840.0
2017-01-09,1847.5
2017-01-10,1850.0
2017-01-11,1852.5
2017-01-12,1850.0
2017-01-13,1857.5
2017-01-16,1820.0
2017-01-17,1847.5
2017-01-18,1860.0
2017-01-19,1851.0
2017-01-20,1861.0
2017-01-23,1855.0
2017-01-24,1880.0
2017-01-25,1875.0
2017-01-26,1840.0
2017-01-27,1850.0
2017-01-30,1840.0
2017-01-31,1850.0
2017-02-01,1881.25
2017-02-02,1880.0
2017-02-03,1855.0
2017-02-06,1845.0
2017-02-07,1868.0
2017-02-08,1850.0
2017-02-09,1850.0
2017-02-10,1900.0
2017-02-13,1852.5
2017-02-14,1800.0
2017-02-15,1890.0
2017-02-16,1850.0
2017-02-17,1820.0
2017-02-20,1830.0
2017-02-21,1800.0
2017-02-22,1800.0
2017-02-23,1770.0
2017-02-24,1825.0
2017-02-27,1745.0
2017-02-28,1720.0
2017-03-01,1700.0
2017-03-02,1725.0
2017-03-03,1730.0
2017-03-06,1556.0
2017-03-07,1470.0
2017-03-08,1533.5
2017-03-09,1399.5
2017-03-10,1440.0
2017-03-13,1325.0
2017-03-14,1415.5
2017-03-15,1413.25
2017-03-16,1370.0
2017-03-17,1380.0
2017-03-20,1355.25
2017-03-21,1352.5
2017-03-22,1367.5
2017-03-23,1375.0
2017-03-24,1419.75
2017-03-27,1400.0
2017-03-28,1377.0
2017-03-29,1381.5
2017-03-30,1400.0
2017-03-31,1413.5
2017-04-03,1417.5
2017-04-04,1416.25
2017-04-05,1450.0
2017-04-06,1437.5
2017-04-07,1450.0
2017-04-10,1408.0
2017-04-11,1420.0
2017-04-12,1423.25
2017-04-13,1429.0
2017-04-14,1450.5
2017-04-17,1425.0
2017-04-18,1449.25
2017-04-19,1418.0
2017-04-20,1428.0
2017-04-21,1430.0
2017-04-24,1420.0
2017-04-25,1435.0
2017-04-26,1425.0
2017-04-27,1422.0
2017-04-28,1426.25
2017-05-01,1430.0
2017-05-02,1426.25
2017-05-03,1425.0
2017-05-04,1406.25
2017-05-05,1403.0
2017-05-08,1404.75
2017-05-09,1446.0
2017-05-10,1455.0
2017-05-11,1400.0
2017-05-12,1385.0
2017-05-15,1400.0
2017-05-16,1410.0
2017-05-17,1405.0
2017-05-18,1400.0
2017-05-19,1400.0
2017-05-22,1400.0
2017-05-23,1387.0
2017-05-24,1400.0
2017-05-25,1435.0
2017-05-26,1437.5
2017-05-29,1430.0
2017-05-30,1400.0
2017-05-31,1390.0
2017-06-01,1420.0
2017-06-02,1391.0
2017-06-05,1370.0
2017-06-06,1370.0
2017-06-07,1380.5
2017-06-08,1400.0
2017-06-09,1425.0
2017-06-12,1400.0
2017-06-13,1340.0
2017-06-14,1387.5
2017-06-15,1375.0
2017-06-16,1425.0
2017-06-19,1400.0
2017-06-20,1400.0
2017-06-21,1406.0
2017-06-22,1390.0
2017-06-23,1350.0
2017-06-26,1320.0
2017-06-27,1412.5
2017-06-28,1375.5
2017-06-29,1380.0
2017-06-30,1562.5
2017-07-03,1376.0
2017-07-04,1395.0
2017-07-05,1350.0
2017-07-06,1360.0
2017-07-07,1382.5
2017-07-10,1345.0
2017-07-11,1360.0
2017-07-12,1330.0
2017-07-13,1338.75
2017-07-14,1350.0
2017-07-17,1400.0
2017-07-18,1380.5
2017-07-19,1396.0
2017-07-20,1350.0
2017-07-21,1350.0
2017-07-24,1350.0
2017-07-25,1380.0
2017-07-26,1356.5
2017-07-27,1400.0
2017-07-28,1350.0
2017-07-31,1363.25
2017-08-01,1350.0
2017-08-02,1350.0
2017-08-03,1375.0
2017-08-04,1333.5
2017-08-07,1575.0
2017-08-08,1400.0
2017-08-09,1367.25
2017-08-10,1372.0
2017-08-11,1367.0
2017-08-14,1370.0
2017-08-15,1349.0
2017-08-16,1337.5
2017-08-17,1350.0
2017-08-18,1361.5
2017-08-21,1354.0
2017-08-22,1387.5
2017-08-23,1390.0
2017-08-24,1380.0
2017-08-25,1425.0
2017-08-28,1400.0
2017-08-29,1363.5
2017-08-30,1400.0
2017-08-31,1400.0
2017-09-01,1351.0
2017-09-04,1382.5
2017-09-05,1425.0
2017-09-06,1378.0
2017-09-07,1391.25
2017-09-08,1380.0
2017-09-11,1405.0
2017-09-12,1400.0
2017-09-13,1380.0
2017-09-14,1390.0
2017-09-15,1400.0
2017-09-18,1390.0
2017-09-19,1427.5
2017-09-20,1430.0
2017-09-21,1400.0
2017-09-22,1421.5
