date,price
2017-01-02,3400.0
2017-01-03,3514.5
2017-01-04,3500.0
2017-01-05,3500.0
2017-01-06,3499.0
2017-01-09,3523.25
2017-01-10,3630.0
2017-01-11,3620.5
2017-01-12,3700.0
2017-01-13,3745.0
2017-01-16,3612.5
2017-01-17,3795.0
2017-01-18,3774.0
2017-01-19,3611.0
2017-01-20,3700.0
2017-01-23,3659.375
2017-01-24,3645.0
2017-01-25,3628.75
2017-01-26,3229.0
2017-01-27,3656.25
2017-01-30,3643.125
2017-01-31,3622.75
2017-02-01,3602.5
2017-02-02,3583.75
2017-02-03,3625.0
2017-02-06,3556.25
2017-02-07,3537.5
2017-02-08,3522.5
2017-02-09,3502.5
2017-02-10,3570.0
2017-02-13,3580.75
2017-02-14,3515.0
2017-02-15,3530.0
2017-02-16,3593.5
2017-02-17,3627.0
2017-02-20,3637.5
2017-02-21,3555.0
2017-02-22,3651.0
2017-02-23,3552.5
2017-02-24,3599.5
2017-02-27,3645.625
2017-02-28,3562.5
2017-03-01,3610.5
2017-03-02,3712.0
2017-03-03,3691.75
2017-03-06,3720.0
2017-03-07,3767.5
2017-03-08,3890.0
2017-03-09,3749.0
2017-03-10,3901.0
2017-03-13,3563.75
2017-03-14,3798.75
2017-03-15,3790.0
2017-03-16,3750.0
2017-03-17,3945.0
2017-03-20,4030.5
2017-03-21,4163.25
2017-03-22,4025.0
2017-03-23,4225.0
2017-03-24,4265.0
2017-03-27,4150.0
2017-03-28,4126.25
2017-03-29,4100.0
2017-03-30,4200.0
2017-03-31,4325.0
2017-04-03,4289.5
2017-04-04,4575.0
2017-04-05,4368.75
2017-04-06,4500.0
2017-04-07,4474.5
2017-04-10,4340.0
2017-04-11,4450.0
2017-04-12,4278.75
2017-04-13,4365.0
2017-04-14,4392.5
2017-04-17,4178.5
2017-04-18,4195.75
2017-04-19,4100.0
2017-04-20,4253.25
2017-04-21,4415.75
2017-04-24,4200.0
2017-04-25,4295.0
2017-04-26,4331.25
2017-04-27,4362.5
2017-04-28,4294.0
2017-05-01,4480.5
2017-05-02,4221.5
2017-05-03,4150.0
2017-05-04,4190.0
2017-05-05,4205.0
2017-05-08,4058.75
2017-05-09,4236.5
2017-05-10,4225.0
2017-05-11,4063.0
2017-05-12,4101.75
2017-05-15,4127.5
2017-05-16,4039.25
2017-05-17,4175.5
2017-05-18,4173.75
2017-05-19,4200.0
2017-05-22,4051.0
2017-05-23,4125.0
2017-05-24,4050.0
2017-05-25,4125.0
2017-05-26,4125.0
2017-05-29,4100.0
2017-05-30,4087.5
2017-05-31,4100.0
2017-06-01,3930.0
2017-06-02,4110.0
2017-06-05,4100.0
2017-06-06,4027.5
2017-06-07,3998.0
2017-06-08,4027.5
2017-06-09,3987.5
2017-06-12,3977.0
2017-06-13,4000.0
2017-06-14,3955.0
2017-06-15,4075.0
2017-06-16,4042.5
2017-06-19,4000.0
2017-06-20,4025.0
2017-06-21,3953.25
2017-06-22,3855.5
2017-06-23,3860.635
2017-06-26,4002.5
2017-06-27,3937.5
2017-06-28,3901.0
2017-06-29,3938.5
2017-06-30,3965.0
2017-07-03,3882.0
2017-07-04,4000.0
2017-07-05,4000.0
2017-07-06,3850.0
2017-07-07,3875.0
2017-07-10,3714.0
2017-07-11,3900.0
2017-07-12,4030.0
2017-07-13,4023.75
2017-07-14,3797.0
2017-07-17,4237.5
2017-07-18,4121.75
2017-07-19,4070.0
2017-07-20,4012.5
2017-07-21,4002.5
2017-07-24,4002.5
2017-07-25,3990.25
2017-07-26,4002.5
2017-07-27,3925.0
2017-07-28,3885.0
2017-07-31,4100.0
2017-08-01,4037.5
2017-08-02,4100.0
2017-08-03,4050.0
2017-08-04,4102.5
2017-08-07,3995.0
2017-08-08,4194.0
2017-08-09,4150.0
2017-08-10,4150.0
2017-08-11,4260.0
2017-08-14,4300.0
2017-08-15,4044.75
2017-08-16,4129.5
2017-08-17,4335.0
2017-08-18,4204.5
2017-08-21,4312.0
2017-08-22,4250.0
2017-08-23,4257.0
2017-08-24,4175.0
2017-08-25,4152.5
2017-08-28,4200.0
2017-08-29,4277.0
2017-08-30,4287.5
2017-08-31,4265.75
2017-09-01,4200.0
2017-09-04,4153.0
2017-09-05,4150.0
2017-09-06,4232.0
2017-09-07,4179.5
2017-09-08,4149.75
2017-09-11,4150.0
2017-09-12,4102.5
2017-09-13,4130.0
2017-09-14,4225.0
2017-09-15,4150.0
2017-09-18,4250.0
2017-09-19,4108.25
2017-09-20,4250.0
2017-09-21,4162.5
2017-09-22,4207.5
2017-09-25,4180.0
2017-09-26,4225.0
2017-09-27,4157.5
2017-09-28,4163.75
2017-09-29,4199.0
2017-10-02,4100.0
2017-10-03,4150.0
2017-10-04,4232.5
2017-10-05,4100.0
2017-10-06,4175.0
2017-10-09,4137.5
2017-10-10,4125.0
2017-10-11,4250.0
2017-10-12,4100.0
2017-10-13,4119.25
2017-10-16,4117.5
2017-10-17,3981.5
2017-10-18,4180.0
2017-10-19,3437.5
2017-10-20,3230.0
2017-10-23,3800.5
