date,price
2017-01-02,8052.5
2017-01-03,7675.0
2017-01-04,7900.0
2017-01-05,8450.0
2017-01-06,7799.5
2017-01-09,6975.0
2017-01-10,7142.5
2017-01-11,6792.0
2017-01-12,6800.0
2017-01-13,7500.0
2017-01-16,7350.0
2017-01-17,7238.0
2017-01-18,6975.0
2017-01-19,7150.5
2017-01-20,8300.0
2017-01-23,7480.0
2017-01-24,6994.0
2017-01-25,6925.0
2017-01-26,8012.5
2017-01-27,7500.0
2017-01-30,6805.5
2017-01-31,6782.0
2017-02-01,6628.0
2017-02-02,6651.0
2017-02-03,6500.0
2017-02-06,6100.0
2017-02-07,5750.0
2017-02-08,5516.0
2017-02-09,5202.75
2017-02-10,6300.0
2017-02-13,5200.0
2017-02-14,5350.0
2017-02-15,5265.0
2017-02-16,5600.0
2017-02-17,5458.75
2017-02-20,5027.0
2017-02-21,5524.5
2017-02-22,5214.5
2017-02-23,5086.0
2017-02-24,7700.0
2017-02-27,4640.5
2017-02-28,4710.25
2017-03-01,4599.0
2017-03-02,4845.75
2017-03-03,5010.0
2017-03-06,4894.0
2017-03-07,4885.5
2017-03-08,5005.0
2017-03-09,5052.0
2017-03-10,4916.75
2017-03-13,5393.75
2017-03-14,4968.0
2017-03-15,4851.0
2017-03-16,4783.0
2017-03-17,5300.0
2017-03-20,5155.0
2017-03-21,5268.0
2017-03-22,5540.0
2017-03-23,5827.0
2017-03-24,5742.5
2017-03-27,5732.5
2017-03-28,5650.0
2017-03-29,5744.5
2017-03-30,5710.0
2017-03-31,5812.5
2017-04-03,5722.5
2017-04-04,5737.25
2017-04-05,5800.0
2017-04-06,5707.5
2017-04-07,5650.0
2017-04-10,5605.0
2017-04-11,5687.0
2017-04-12,5700.0
2017-04-13,5750.0
2017-04-14,5700.0
2017-04-17,5718.5
2017-04-18,5700.0
2017-04-19,5650.0
2017-04-20,5640.5
2017-04-21,5700.0
2017-04-24,5587.5
2017-04-25,5600.0
2017-04-26,5545.25
2017-04-27,5566.5
2017-04-28,5537.5
2017-05-01,5350.0
2017-05-02,5475.0
2017-05-03,5439.75
2017-05-04,5450.0
2017-05-05,5400.0
2017-05-08,5300.0
2017-05-09,5350.0
2017-05-10,5698.5
2017-05-11,5450.0
2017-05-12,5412.75
2017-05-15,5550.0
2017-05-16,5524.25
2017-05-17,5531.75
2017-05-18,5501.0
2017-05-19,5487.25
2017-05-22,5370.0
2017-05-23,5361.25
2017-05-24,5350.0
2017-05-25,5480.0
2017-05-26,5373.75
2017-05-29,5230.0
2017-05-30,5153.75
2017-05-31,5132.5
2017-06-01,5165.0
2017-06-02,5160.0
2017-06-05,5178.0
2017-06-06,5000.0
2017-06-07,5200.0
2017-06-08,5080.0
2017-06-09,5270.0
2017-06-12,5100.0
2017-06-13,5280.0
2017-06-14,5150.0
2017-06-15,5300.0
2017-06-16,5140.0
2017-06-19,5100.0
2017-06-20,5000.0
2017-06-21,4950.0
2017-06-22,4905.0
2017-06-23,4900.0
2017-06-26,5100.0
2017-06-27,4947.5
2017-06-28,4975.0
2017-06-29,5000.0
2017-06-30,5141.0
2017-07-03,4950.0
2017-07-04,5000.0
2017-07-05,5050.0
2017-07-06,5080.0
2017-07-07,5100.0
2017-07-10,5010.0
2017-07-11,5105.0
2017-07-12,4950.0
2017-07-13,5007.5
2017-07-14,5250.0
2017-07-17,5000.5
2017-07-18,5017.0
2017-07-19,5050.0
2017-07-20,5045.0
2017-07-21,5002.5
2017-07-24,5061.5
2017-07-25,4965.0
2017-07-26,4900.0
2017-07-27,5000.0
2017-07-28,4950.0
2017-07-31,4892.5
2017-08-01,4875.0
2017-08-02,4840.5
2017-08-03,5000.0
2017-08-04,5000.0
2017-08-07,6000.0
2017-08-08,5221.0
2017-08-09,5091.0
2017-08-10,5075.0
2017-08-11,5139.25
2017-08-14,5325.5
2017-08-15,5720.0
2017-08-16,5300.0
2017-08-17,5331.0
2017-08-18,5322.0
2017-08-21,5600.0
2017-08-22,5500.0
2017-08-23,5400.0
2017-08-24,5465.0
2017-08-25,5663.0
2017-08-28,5681.25
2017-08-29,5707.5
2017-08-30,5750.0
2017-08-31,5693.0
2017-09-01,5590.0
2017-09-04,5620.75
2017-09-05,5721.0
2017-09-06,5560.0
2017-09-07,5582.5
2017-09-08,5605.0
2017-09-11,5647.5
2017-09-12,5600.5
2017-09-13,5625.0
2017-09-14,5600.0
2017-09-15,5650.0
2017-09-18,5588.0
2017-09-19,5600.0
2017-09-20,5633.0
2017-09-21,5605.0
2017-09-22,5512.5
2017-09-25,5450.5
2017-09-26,5449.25
2017-09-27,5400.0
2017-09-28,5385.0
2017-09-29,5717.5
2017-10-02,5825.0
2017-10-03,5400.0
2017-10-04,5253.0
2017-10-05,5312.5
2017-10-06,5212.5
2017-10-09,5152.5
2017-10-10,5115.0
2017-10-11,5001.0
2017-10-12,5000.0
2017-10-13,5000.0
2017-10-16,5025.0
2017-10-17,5600.0
2017-10-18,6200.0
2017-10-19,6250.0
2017-10-20,6250.0
2017-10-23,4985.0
2017-10-24,5005.0
2017-10-25,4875.0
2017-10-26,4900.0
2017-10-27,4905.0
2017-10-30,4750.0
2017-10-31,4577.5
2017-11-01,4570.5
2017-11-02,4575.5
2017-11-03,4555.0
2017-11-06,4635.0
2017-11-07,4569.5
2017-11-08,4480.0
2017-11-09,4687.5
2017-11-10,4580.0
2017-11-13,4600.0
2017-11-14,4605.5
2017-11-15,4551.0
2017-11-16,4546.5
2017-11-17,4532.5
2017-11-20,4600.5
2017-11-21,4490.5
2017-11-22,4455.75
2017-11-23,4508.75
2017-11-24,4431.75
2017-11-27,4500.0
2017-11-28,4475.0
2017-11-29,4397.25
2017-11-30,4450.5
2017-12-01,4350.0
2017-12-04,4347.5
2017-12-05,4302.0
2017-12-06,4260.5
2017-12-07,4215.0
2017-12-08,4156.25
2017-12-11,4070.0
2017-12-12,4075.0
2017-12-13,3950.0
2017-12-14,3987.5
2017-12-15,3975.0
2017-12-18,4200.0
2017-12-19,3961.0
2017-12-20,4000.0
2017-12-21,4123.75
2017-12-22,4210.5
2017-12-25,4801.25
2017-12-26,4123.75
2017-12-27,4050.0
2017-12-28,4000.0
2017-12-29,4000.0
2018-01-01,4000.0
2018-01-02,4013.0
2018-01-03,4000.0
2018-01-04,4034.75
2018-01-05,4059.5
2018-01-08,3933.0
2018-01-09,3953.0
2018-01-10,3875.0
2018-01-11,3875.5
2018-01-12,3876.0
2018-01-15,4000.0
2018-01-16,4091.0
2018-01-17,3780.0
2018-01-18,3801.0
2018-01-19,3750.0
2018-01-22,3750.5
2018-01-23,3727.75
2018-01-24,3721.0
2018-01-25,3750.0
2018-01-26,5000.0
2018-01-29,3725.0
2018-01-30,3751.0
2018-01-31,3750.5
2018-02-01,3790.0
2018-02-02,3804.5
2018-02-05,3800.0
2018-02-06,3733.0
2018-02-07,3803.75
2018-02-08,3800.5
2018-02-09,3775.0
2018-02-12,3762.25
2018-02-13,4036.5
2018-02-14,4000.0
2018-02-15,3675.0
2018-02-16,3710.5
2018-02-19,3867.5
2018-02-20,3850.0
2018-02-21,3783.0
2018-02-22,3775.0
2018-02-23,3784.0
2018-02-26,3655.75
2018-02-27,3606.0
2018-02-28,3600.0
2018-03-01,3590.0
2018-03-02,4450.0
2018-03-05,3642.5
2018-03-06,3875.0
2018-03-07,3621.75
2018-03-08,3628.25
2018-03-09,3647.75
2018-03-12,3562.5
2018-03-13,3515.0
2018-03-14,3500.0
2018-03-15,3541.5
2018-03-16,3556.5
2018-03-19,3600.0
2018-03-20,3550.0
2018-03-21,3511.0
2018-03-22,3498.75
2018-03-23,3500.0
2018-03-26,3513.5
2018-03-27,3600.0
2018-03-28,3525.0
2018-03-29,4157.0
2018-03-30,4342.5
2018-04-02,3597.0
2018-04-03,3600.0
2018-04-04,3598.0
2018-04-05,3552.75
2018-04-06,3588.0
2018-04-09,3567.0
2018-04-10,3548.5
2018-04-11,3540.0
2018-04-12,3545.0
2018-04-13,3520.0
2018-04-16,3875.0
2018-04-17,3603.0
2018-04-18,4400.0
2018-04-19,3578.0
2018-04-20,3715.5
2018-04-23,3374.0
2018-04-24,3575.0
2018-04-25,3500.0
2018-04-26,3621.0
2018-04-27,3708.0
2018-04-30,4337.5
2018-05-01,3899.0
2018-05-02,3474.0
2018-05-03,3550.0
2018-05-04,3562.5
2018-05-07,3600.0
2018-05-08,3758.0
2018-05-09,3556.25
2018-05-10,3808.25
2018-05-11,3835.0
2018-05-14,3781.5
2018-05-15,3993.75
2018-05-16,3591.5
2018-05-17,3651.0
2018-05-18,3782.5
2018-05-21,3811.5
2018-05-22,3800.0
2018-05-23,3714.0
2018-05-24,3750.0
2018-05-25,3822.0
2018-05-28,3871.0
2018-05-29,3765.5
2018-05-30,3606.0
2018-05-31,3590.5
2018-06-01,3812.0
2018-06-04,3725.0
2018-06-05,3745.0
2018-06-06,3581.0
2018-06-07,3628.75
2018-06-08,3665.0
2018-06-11,3390.0
2018-06-12,3349.0
2018-06-13,3392.5
2018-06-14,3320.0
2018-06-15,3350.5
2018-06-18,3350.0
2018-06-19,3400.0
2018-06-20,3400.0
2018-06-21,3470.0
2018-06-22,3463.0
2018-06-25,3375.0
2018-06-26,3350.0
2018-06-27,3360.0
2018-06-28,3380.0
2018-06-29,3350.0
2018-07-02,3360.0
2018-07-03,3379.0
2018-07-04,3400.0
2018-07-05,3415.0
2018-07-06,3495.0
2018-07-09,3545.5
2018-07-10,3614.5
2018-07-11,3572.25
2018-07-12,3612.0
2018-07-13,3725.0
2018-07-16,4009.75
2018-07-17,4035.25
2018-07-18,4083.0
2018-07-19,4147.5
2018-07-20,4100.0
2018-07-23,4154.75
2018-07-24,4101.75
2018-07-25,4005.0
2018-07-26,4006.25
2018-07-27,4255.0
2018-07-30,4073.75
2018-07-31,4069.0
2018-08-01,4012.5
2018-08-02,4017.5
2018-08-03,4010.75
2018-08-06,3981.0
2018-08-07,3900.0
2018-08-08,3973.0
2018-08-09,4044.0
2018-08-10,4000.0
2018-08-13,4045.0
2018-08-14,4006.0
2018-08-15,4800.0
2018-08-16,4014.0
2018-08-17,4550.0
2018-08-20,3995.0
2018-08-21,3995.0
2018-08-22,4450.0
2018-08-23,3955.5
2018-08-24,3912.5
2018-08-27,4305.5
2018-08-28,3895.0
2018-08-29,3823.0
2018-08-30,3750.0
2018-08-31,3855.0
2018-09-03,4700.0
2018-09-04,4272.5
2018-09-05,4178.0
2018-09-06,4555.0
2018-09-07,3968.5
2018-09-10,4570.0
2018-09-11,3800.5
2018-09-12,3773.0
2018-09-13,4400.0
2018-09-14,3873.5
2018-09-17,3806.0
2018-09-18,3768.0
2018-09-19,3771.0
2018-09-20,3821.0
2018-09-21,4122.5
2018-09-24,3849.5
2018-09-25,3796.75
2018-09-26,3780.0
2018-09-27,3861.0
2018-09-28,3848.5
2018-10-01,3904.25
2018-10-02,4150.0
2018-10-03,3916.0
2018-10-04,3945.0
2018-10-05,3950.0
2018-10-08,3995.0
2018-10-09,3990.0
2018-10-10,3950.0
2018-10-11,3925.0
2018-10-12,3950.0
2018-10-15,3873.0
2018-10-16,3885.0
2018-10-17,3880.0
2018-10-18,4079.5
2018-10-19,4077.5
2018-10-22,3840.0
2018-10-23,3850.0
2018-10-24,3877.5
2018-10-25,3800.0
2018-10-26,3810.0
2018-10-29,3800.0
2018-10-30,3797.5
2018-10-31,3752.5
2018-11-01,3825.0
2018-11-02,3820.25
2018-11-05,4301.0
2018-11-06,4625.0
2018-11-07,4755.0
2018-11-08,4650.0
2018-11-09,4545.0
2018-11-12,4353.0
2018-11-13,4257.5
2018-11-14,4320.75
2018-11-15,4325.0
2018-11-16,4250.0
2018-11-19,4155.5
2018-11-20,4150.0
2018-11-21,4252.0
2018-11-22,4200.0
2018-11-23,4404.5
2018-11-26,4375.0
2018-11-27,4400.0
2018-11-28,4434.5
2018-11-29,4390.0
2018-11-30,4251.25
2018-12-03,4250.0
2018-12-04,4240.0
2018-12-05,4175.0
2018-12-06,4223.0
2018-12-07,4318.0
2018-12-10,4200.0
2018-12-11,4150.0
2018-12-12,4175.0
