date,price
2017-01-02,5052.75
2017-01-03,5100.0
2017-01-04,5150.0
2017-01-05,5150.0
2017-01-06,5225.0
2017-01-09,5250.0
2017-01-10,5225.0
2017-01-11,5290.0
2017-01-12,5300.0
2017-01-13,5289.0
2017-01-16,5346.25
2017-01-17,5325.0
2017-01-18,5295.0
2017-01-19,5362.5
2017-01-20,5400.0
2017-01-23,5505.0
2017-01-24,5491.5
2017-01-25,5500.0
2017-01-26,5250.0
2017-01-27,5522.5
2017-01-30,5499.5
2017-01-31,5480.0
2017-02-01,5450.0
2017-02-02,5501.75
2017-02-03,5500.0
2017-02-06,5525.0
2017-02-07,5485.875
2017-02-08,5487.5
2017-02-09,5475.0
2017-02-10,5487.5
2017-02-13,5450.0
2017-02-14,5550.0
2017-02-15,5460.0
2017-02-16,5458.75
2017-02-17,5460.0
2017-02-20,5451.25
2017-02-21,5400.0
2017-02-22,5450.0
2017-02-23,5437.0
2017-02-24,5570.5
2017-02-27,5479.75
2017-02-28,5458.0
2017-03-01,5400.0
2017-03-02,5400.0
2017-03-03,5400.0
2017-03-06,5452.0
2017-03-07,5440.75
2017-03-08,5405.5
2017-03-09,5400.0
2017-03-10,5370.25
2017-03-13,5200.0
2017-03-14,5315.0
2017-03-15,5400.0
2017-03-16,5362.0
2017-03-17,5328.5
2017-03-20,5315.0
2017-03-21,5398.25
2017-03-22,5380.0
2017-03-23,5393.75
2017-03-24,5417.0
2017-03-27,5400.0
2017-03-28,5363.0
2017-03-29,5325.0
2017-03-30,5375.0
2017-03-31,5325.0
2017-04-03,5400.0
2017-04-04,5375.0
2017-04-05,5400.0
2017-04-06,5340.0
2017-04-07,5383.5
2017-04-10,5300.0
2017-04-11,5400.0
2017-04-12,5300.0
2017-04-13,5305.5
2017-04-14,5200.0
2017-04-17,5200.0
2017-04-18,5206.25
2017-04-19,5200.0
2017-04-20,5137.5
2017-04-21,5101.25
2017-04-24,5100.0
2017-04-25,5100.0
2017-04-26,5112.5
2017-04-27,5100.0
2017-04-28,5025.0
2017-05-01,5050.0
2017-05-02,5100.0
2017-05-03,5077.75
2017-05-04,5000.0
2017-05-05,4993.5
2017-05-08,5000.0
2017-05-09,5000.0
2017-05-10,4950.0
2017-05-11,5000.0
2017-05-12,4950.0
2017-05-15,5000.0
2017-05-16,5000.0
2017-05-17,4986.25
2017-05-18,5000.0
2017-05-19,5000.0
2017-05-22,4900.0
2017-05-23,4850.0
2017-05-24,4880.75
2017-05-25,4910.0
2017-05-26,4821.25
2017-05-29,4800.0
2017-05-30,4800.0
2017-05-31,4832.5
2017-06-01,4800.0
2017-06-02,4867.5
2017-06-05,4745.0
2017-06-06,4700.0
2017-06-07,4700.0
2017-06-08,4876.5
2017-06-09,4700.0
2017-06-12,4750.0
2017-06-13,4762.5
2017-06-14,4700.0
2017-06-15,4750.0
2017-06-16,4809.0
2017-06-19,4900.0
2017-06-20,4725.0
2017-06-21,4665.5
2017-06-22,4777.0
2017-06-23,4711.5
2017-06-26,4580.0
2017-06-27,4747.5
2017-06-28,4730.0
2017-06-29,4735.25
2017-06-30,4730.0
2017-07-03,4619.0
2017-07-04,4619.0
2017-07-05,4680.0
2017-07-06,4650.0
2017-07-07,4725.0
2017-07-10,4700.0
2017-07-11,4690.0
2017-07-12,4676.75
2017-07-13,4700.0
2017-07-14,4752.5
2017-07-17,4793.0
2017-07-18,4786.0
2017-07-19,4715.0
2017-07-20,4750.0
2017-07-21,4800.0
2017-07-24,4700.0
2017-07-25,4698.5
2017-07-26,4775.0
2017-07-27,4725.0
2017-07-28,4725.0
2017-07-31,4772.0
