date,price
2017-01-02,3025.0
2017-01-03,3050.0
2017-01-04,3015.25
2017-01-05,3000.0
2017-01-06,3040.0
2017-01-09,3060.0
2017-01-10,3050.0
2017-01-11,3003.75
2017-01-12,3023.0
2017-01-13,2999.5
2017-01-16,2977.5
2017-01-17,3015.5
2017-01-18,3103.5
2017-01-19,3075.0
2017-01-20,3027.0
2017-01-23,3002.5
2017-01-24,3060.75
2017-01-25,3000.0
2017-01-26,3105.25
2017-01-27,2995.5
2017-01-30,3003.0
2017-01-31,2977.5
2017-02-01,3022.5
2017-02-02,3041.0
2017-02-03,3000.0
2017-02-06,2983.5
2017-02-07,3010.0
2017-02-08,3020.0
2017-02-09,2976.0
2017-02-10,2970.0
2017-02-13,3016.0
2017-02-14,3000.0
2017-02-15,3035.0
2017-02-16,3000.0
2017-02-17,3000.0
2017-02-20,3076.0
2017-02-21,3050.0
2017-02-22,3080.0
2017-02-23,3119.0
2017-02-24,3225.0
2017-02-27,3325.0
2017-02-28,3352.5
2017-03-01,3461.5
2017-03-02,3450.0
2017-03-03,3450.0
2017-03-06,3590.0
2017-03-07,3640.0
2017-03-08,3516.25
2017-03-09,3694.0
2017-03-10,3544.0
2017-03-13,3672.5
2017-03-14,3593.0
2017-03-15,3565.0
2017-03-16,3553.5
2017-03-17,3595.0
2017-03-20,3586.0
2017-03-21,3600.0
2017-03-22,3594.25
2017-03-23,3546.0
2017-03-24,3585.25
2017-03-27,3610.0
2017-03-28,3598.0
2017-03-29,3600.0
2017-03-30,3611.25
2017-03-31,3751.5
2017-04-03,3675.0
2017-04-04,3795.0
2017-04-05,3681.0
2017-04-06,3820.0
2017-04-07,3700.0
2017-04-10,3605.0
2017-04-11,3600.0
2017-04-12,3650.0
2017-04-13,3701.0
2017-04-14,3675.0
2017-04-17,3650.0
2017-04-18,3683.0
2017-04-19,3595.5
2017-04-20,3557.5
2017-04-21,3515.0
2017-04-24,3450.0
2017-04-25,3451.0
2017-04-26,3395.0
2017-04-27,3405.0
2017-04-28,3430.0
2017-05-01,3200.0
2017-05-02,3100.0
2017-05-03,3137.5
2017-05-04,3225.0
2017-05-05,3193.5
2017-05-08,3125.0
2017-05-09,3000.0
2017-05-10,3000.0
2017-05-11,2850.0
2017-05-12,3250.0
2017-05-15,2850.0
2017-05-16,2525.0
2017-05-17,2750.0
2017-05-18,2775.0
2017-05-19,2937.5
2017-05-22,2500.0
2017-05-23,2500.0
2017-05-24,2800.0
2017-05-25,2825.0
2017-05-26,2885.0
2017-05-29,2975.0
2017-05-30,3000.0
2017-05-31,2900.0
2017-06-01,3015.0
2017-06-02,3042.5
2017-06-05,3062.0
2017-06-06,3100.0
2017-06-07,3100.0
2017-06-08,3000.0
2017-06-09,3062.5
2017-06-12,3025.0
2017-06-13,3068.0
2017-06-14,3172.5
2017-06-15,3152.5
2017-06-16,3158.75
2017-06-19,3218.0
2017-06-20,3250.0
2017-06-21,3190.0
2017-06-22,3100.0
2017-06-23,3099.0
