date,price
2017-01-02,3000.0
2017-01-03,3000.0
2017-01-04,3025.0
2017-01-05,3025.0
2017-01-06,3018.0
2017-01-09,3000.0
2017-01-10,2981.0
2017-01-11,2977.0
2017-01-12,3000.75
2017-01-13,3000.0
2017-01-16,3000.0
2017-01-17,2983.75
2017-01-18,3000.0
2017-01-19,3002.0
2017-01-20,3024.0
2017-01-23,3000.0
2017-01-24,3005.0
2017-01-25,2998.75
2017-01-26,2950.0
2017-01-27,2980.0
2017-01-30,2950.0
2017-01-31,2967.0
2017-02-01,2975.5
2017-02-02,3000.0
2017-02-03,2970.0
2017-02-06,2970.0
2017-02-07,2936.5
2017-02-08,2944.0
2017-02-09,2962.75
2017-02-10,2950.0
2017-02-13,2965.0
2017-02-14,2967.0
2017-02-15,2962.5
2017-02-16,3000.0
2017-02-17,3000.0
2017-02-20,3050.0
2017-02-21,3039.0
2017-02-22,3037.5
2017-02-23,3075.0
2017-02-24,3228.0
2017-02-27,3202.5
2017-02-28,3275.0
2017-03-01,3410.0
2017-03-02,3400.0
2017-03-03,3415.5
2017-03-06,3535.0
2017-03-07,3565.0
2017-03-08,3544.375
2017-03-09,3615.375
2017-03-10,3501.0
2017-03-13,3600.0
2017-03-14,3475.0
2017-03-15,3447.5
2017-03-16,3500.0
2017-03-17,3500.0
2017-03-20,3541.25
2017-03-21,3545.0
2017-03-22,3550.0
2017-03-23,3517.5
2017-03-24,3558.75
2017-03-27,3552.5
2017-03-28,3565.0
2017-03-29,3538.0
2017-03-30,3560.0
2017-03-31,3581.5
2017-04-03,3687.25
2017-04-04,3787.5
2017-04-05,3800.0
2017-04-06,3693.75
2017-04-07,3700.0
2017-04-10,3652.5
2017-04-11,3690.0
2017-04-12,3646.25
2017-04-13,3700.0
2017-04-14,3711.0
2017-04-17,3650.0
2017-04-18,3633.75
2017-04-19,3612.5
2017-04-20,3618.0
2017-04-21,3630.0
2017-04-24,3571.75
2017-04-25,3539.25
2017-04-26,3568.75
2017-04-27,3600.0
2017-04-28,3457.5
2017-05-01,3582.5
2017-05-02,3516.25
2017-05-03,3450.0
2017-05-04,3430.0
2017-05-05,3405.0
2017-05-08,3416.25
2017-05-09,3442.5
2017-05-10,3397.0
2017-05-11,3406.0
2017-05-12,3415.0
2017-05-15,3385.5
2017-05-16,3350.0
2017-05-17,3340.0
2017-05-18,3312.5
2017-05-19,3350.0
2017-05-22,3355.0
2017-05-23,3307.5
2017-05-24,3283.0
2017-05-25,3266.5
2017-05-26,3297.5
2017-05-29,3214.5
2017-05-30,3200.0
2017-05-31,3195.5
2017-06-01,3127.0
2017-06-02,3167.5
2017-06-05,3064.0
2017-06-06,3075.5
2017-06-07,3075.0
2017-06-08,3032.5
2017-06-09,3015.0
2017-06-12,3032.5
2017-06-13,3087.5
2017-06-14,3108.5
2017-06-15,3188.75
2017-06-16,3219.0
2017-06-19,3187.0
2017-06-20,3135.0
2017-06-21,3140.0
