date,price
2017-01-02,1825.0
2017-01-03,1808.0
2017-01-04,1760.0
2017-01-05,2000.0
2017-01-06,1915.0
2017-01-09,1887.5
2017-01-10,1813.75
2017-01-11,1844.0
2017-01-12,1925.0
2017-01-13,1805.5
2017-01-16,1862.5
2017-01-17,1887.5
2017-01-18,1750.0
2017-01-19,1975.0
2017-01-20,1762.5
2017-01-23,1815.0
2017-01-24,1848.75
2017-01-25,1936.5
2017-01-26,1987.5
2017-01-27,1962.5
2017-01-30,1850.0
2017-01-31,1922.5
2017-02-01,2000.0
2017-02-02,2000.0
2017-02-03,2000.0
2017-02-06,2057.5
2017-02-07,2000.0
2017-02-08,2004.5
2017-02-09,2053.5
2017-02-10,2100.0
2017-02-13,2020.0
2017-02-14,1918.75
2017-02-15,2000.0
2017-02-16,1950.0
2017-02-17,2000.0
2017-02-20,2000.0
2017-02-21,1962.5
2017-02-22,2050.0
2017-02-23,2000.0
2017-02-24,2100.0
2017-02-27,1968.0
2017-02-28,1862.5
2017-03-01,2000.0
2017-03-02,1900.0
2017-03-03,1957.75
2017-03-06,1892.25
2017-03-07,1887.0
2017-03-08,1925.0
2017-03-09,1900.0
2017-03-10,1965.0
2017-03-13,1820.0
2017-03-14,1918.5
2017-03-15,1921.0
2017-03-16,1925.0
2017-03-17,1900.0
2017-03-20,1900.0
2017-03-21,1811.5
2017-03-22,1800.0
2017-03-23,1901.0
2017-03-24,1925.0
2017-03-27,1832.5
2017-03-28,1840.0
2017-03-29,1791.0
2017-03-30,1958.75
2017-03-31,1839.0
2017-04-03,1937.5
2017-04-04,1932.75
2017-04-05,1800.0
2017-04-06,1900.0
2017-04-07,1919.0
2017-04-10,1833.5
2017-04-11,1825.0
2017-04-12,1905.0
2017-04-13,2000.0
2017-04-14,1837.5
2017-04-17,1847.5
2017-04-18,1825.0
2017-04-19,1871.25
2017-04-20,1844.0
2017-04-21,1895.0
2017-04-24,1827.5
2017-04-25,1786.25
2017-04-26,1830.0
2017-04-27,1850.0
2017-04-28,1795.5
2017-05-01,1900.0
2017-05-02,1772.25
2017-05-03,1862.5
2017-05-04,1830.0
2017-05-05,1800.0
2017-05-08,1728.5
2017-05-09,1783.5
2017-05-10,1875.0
2017-05-11,1875.0
2017-05-12,1845.0
2017-05-15,1750.0
2017-05-16,1707.75
2017-05-17,1788.0
2017-05-18,1777.0
2017-05-19,1777.5
2017-05-22,1800.0
2017-05-23,1835.0
2017-05-24,1788.0
2017-05-25,1756.5
2017-05-26,1800.0
2017-05-29,1800.0
2017-05-30,1713.0
2017-05-31,1733.25
2017-06-01,1800.0
2017-06-02,1810.0
2017-06-05,1800.0
2017-06-06,1795.0
2017-06-07,1800.0
2017-06-08,1800.0
2017-06-09,1800.0
2017-06-12,1800.0
2017-06-13,1820.0
2017-06-14,1800.0
2017-06-15,1850.0
2017-06-16,1850.0
2017-06-19,1857.0
2017-06-20,1840.5
2017-06-21,1850.0
2017-06-22,1800.0
2017-06-23,1816.25
2017-06-26,1900.0
2017-06-27,1757.5
2017-06-28,1847.5
2017-06-29,1800.0
2017-06-30,1782.5
2017-07-03,1775.5
2017-07-04,1720.0
2017-07-05,1750.0
2017-07-06,1800.0
2017-07-07,1800.0
2017-07-10,1795.0
2017-07-11,1771.75
2017-07-12,1800.0
2017-07-13,1800.0
2017-07-14,1850.0
2017-07-17,1825.5
2017-07-18,1775.0
2017-07-19,1787.5
2017-07-20,1795.0
2017-07-21,1850.0
2017-07-24,1800.0
2017-07-25,1805.5
2017-07-26,1780.0
2017-07-27,1800.0
2017-07-28,1800.0
2017-07-31,1752.5
2017-08-01,1775.5
2017-08-02,1772.5
2017-08-03,1800.0
2017-08-04,1795.0
2017-08-07,1770.0
2017-08-08,1800.0
2017-08-09,1800.0
2017-08-10,1920.0
2017-08-11,1825.0
2017-08-14,1700.0
2017-08-15,1700.0
2017-08-16,1810.5
2017-08-17,1841.5
2017-08-18,1810.0
2017-08-21,1862.5
2017-08-22,1882.5
2017-08-23,1812.5
2017-08-24,1887.5
2017-08-25,1775.5
2017-08-28,1760.0
2017-08-29,1773.0
2017-08-30,1880.0
2017-08-31,1762.5
2017-09-01,1825.5
2017-09-04,1797.5
2017-09-05,1785.0
2017-09-06,1761.25
2017-09-07,1761.25
2017-09-08,1822.5
2017-09-11,1770.0
2017-09-12,1765.0
2017-09-13,1800.0
2017-09-14,1790.0
2017-09-15,1875.0
2017-09-18,1750.0
2017-09-19,1780.0
2017-09-20,1780.0
2017-09-21,1750.0
2017-09-22,1759.5
2017-09-25,1755.0
2017-09-26,1720.0
2017-09-27,1725.0
2017-09-28,1668.25
2017-09-29,1643.5
2017-10-02,1625.0
2017-10-03,1650.0
2017-10-04,1700.0
2017-10-05,1710.5
2017-10-06,1700.0
2017-10-09,1673.75
2017-10-10,1635.75
2017-10-11,1700.0
2017-10-12,1700.0
2017-10-13,1550.0
2017-10-16,1609.0
2017-10-17,1502.5
2017-10-18,1400.0
2017-10-19,1717.5
2017-10-20,1551.0
2017-10-23,1400.0
2017-10-24,1445.0
2017-10-25,1575.0
2017-10-26,1600.0
2017-10-27,1700.0
2017-10-30,1675.0
2017-10-31,1582.0
2017-11-01,1612.5
2017-11-02,1600.0
2017-11-03,1637.5
2017-11-06,1698.75
2017-11-07,1678.75
2017-11-08,1684.0
2017-11-09,1600.0
2017-11-10,1700.0
2017-11-13,1655.0
2017-11-14,1700.0
2017-11-15,1697.5
2017-11-16,1766.5
2017-11-17,1719.75
2017-11-20,1710.0
2017-11-21,1732.0
2017-11-22,1713.0
2017-11-23,1750.0
2017-11-24,1737.5
2017-11-27,1710.0
2017-11-28,1728.0
2017-11-29,1731.75
2017-11-30,1715.5
2017-12-01,1750.0
2017-12-04,1700.0
2017-12-05,1705.5
2017-12-06,1705.5
2017-12-07,1700.0
2017-12-08,1712.5
2017-12-11,1600.0
2017-12-12,1723.75
2017-12-13,1730.0
2017-12-14,1699.5
2017-12-15,1750.0
2017-12-18,1725.0
2017-12-19,1695.0
2017-12-20,1653.25
2017-12-21,1730.0
2017-12-22,1751.0
2017-12-25,1825.0
2017-12-26,1730.0
2017-12-27,1817.5
2017-12-28,1660.25
2017-12-29,1675.0
2018-01-01,1600.0
2018-01-02,1620.25
2018-01-03,1700.0
2018-01-04,1600.0
2018-01-05,1687.5
2018-01-08,1617.5
2018-01-09,1551.0
2018-01-10,1700.0
2018-01-11,1717.5
2018-01-12,1675.0
2018-01-15,1650.0
2018-01-16,1655.0
2018-01-17,1675.0
2018-01-18,1745.0
2018-01-19,1700.0
2018-01-22,1600.0
2018-01-23,1700.0
2018-01-24,1650.0
2018-01-25,1772.5
2018-01-26,1700.0
2018-01-29,1700.0
2018-01-30,1710.0
2018-01-31,1750.0
2018-02-01,1600.5
2018-02-02,1700.0
2018-02-05,1730.0
2018-02-06,1750.0
2018-02-07,1790.5
2018-02-08,1687.5
2018-02-09,1670.0
2018-02-12,1710.0
2018-02-13,1710.0
2018-02-14,1750.0
2018-02-15,1775.0
2018-02-16,1825.0
2018-02-19,1821.0
2018-02-20,1675.0
2018-02-21,1770.0
2018-02-22,1775.0
2018-02-23,1797.5
2018-02-26,1716.25
2018-02-27,1770.0
2018-02-28,1650.0
2018-03-01,1750.0
2018-03-02,1625.0
2018-03-05,1700.0
2018-03-06,1622.5
2018-03-07,1780.0
2018-03-08,1715.0
2018-03-09,1790.0
2018-03-12,1700.0
2018-03-13,1600.0
2018-03-14,1700.0
2018-03-15,1735.5
2018-03-16,1625.0
2018-03-19,1732.5
