date,price
2017-01-02,1400.0
2017-01-03,1400.0
2017-01-04,1400.0
2017-01-05,1400.0
2017-01-06,1400.0
2017-01-09,1405.0
2017-01-10,1410.0
2017-01-11,1405.0
2017-01-12,1400.0
2017-01-13,1395.0
2017-01-16,1385.0
2017-01-17,1390.75
2017-01-18,1400.0
2017-01-19,1400.0
2017-01-20,1385.0
2017-01-23,1410.0
2017-01-24,1400.0
2017-01-25,1416.25
2017-01-26,1375.0
2017-01-27,1422.0
2017-01-30,1417.0
2017-01-31,1410.0
2017-02-01,1430.0
2017-02-02,1420.0
2017-02-03,1425.0
2017-02-06,1440.25
2017-02-07,1426.75
2017-02-08,1425.0
2017-02-09,1400.0
2017-02-10,1425.0
2017-02-13,1417.0
2017-02-14,1425.0
2017-02-15,1424.0
2017-02-16,1415.0
2017-02-17,1415.0
2017-02-20,1415.0
2017-02-21,1400.0
2017-02-22,1412.5
2017-02-23,1425.0
2017-02-24,1405.0
2017-02-27,1420.0
2017-02-28,1440.0
2017-03-01,1424.25
2017-03-02,1428.0
2017-03-03,1402.0
2017-03-06,1407.0
2017-03-07,1421.0
2017-03-08,1400.0
2017-03-09,1405.0
2017-03-10,1400.0
2017-03-13,1442.5
2017-03-14,1427.5
2017-03-15,1423.75
2017-03-16,1425.0
2017-03-17,1426.25
2017-03-20,1407.0
2017-03-21,1422.0
2017-03-22,1419.0
2017-03-23,1419.5
2017-03-24,1417.25
2017-03-27,1408.0
2017-03-28,1400.0
2017-03-29,1389.5
2017-03-30,1400.0
2017-03-31,1411.0
2017-04-03,1421.0
2017-04-04,1410.0
2017-04-05,1410.0
2017-04-06,1400.0
2017-04-07,1410.0
2017-04-10,1410.0
2017-04-11,1420.0
2017-04-12,1410.0
2017-04-13,1400.0
2017-04-14,1400.0
2017-04-17,1400.0
2017-04-18,1425.0
2017-04-19,1400.0
2017-04-20,1388.0
2017-04-21,1423.5
2017-04-24,1400.0
2017-04-25,1400.0
2017-04-26,1425.0
2017-04-27,1420.0
2017-04-28,1420.0
2017-05-01,1400.0
2017-05-02,1412.5
2017-05-03,1410.0
2017-05-04,1425.0
2017-05-05,1420.0
2017-05-08,1410.0
2017-05-09,1411.0
2017-05-10,1427.5
2017-05-11,1406.25
2017-05-12,1390.0
2017-05-15,1400.0
2017-05-16,1400.0
2017-05-17,1405.0
2017-05-18,1421.0
2017-05-19,1400.0
2017-05-22,1400.0
2017-05-23,1405.0
2017-05-24,1400.0
2017-05-25,1427.5
2017-05-26,1400.0
2017-05-29,1400.0
2017-05-30,1395.0
2017-05-31,1400.0
2017-06-01,1400.0
2017-06-02,1405.0
2017-06-05,1400.0
2017-06-06,1400.0
2017-06-07,1400.0
2017-06-08,1400.0
2017-06-09,1387.5
2017-06-12,1400.0
2017-06-13,1400.0
2017-06-14,1388.0
2017-06-15,1370.0
2017-06-16,1370.0
2017-06-19,1371.25
2017-06-20,1380.0
2017-06-21,1400.0
2017-06-22,1377.5
2017-06-23,1384.0
2017-06-26,1375.0
2017-06-27,1400.0
2017-06-28,1400.0
2017-06-29,1365.0
2017-06-30,1375.0
2017-07-03,1401.0
2017-07-04,1407.5
2017-07-05,1375.0
2017-07-06,1370.0
2017-07-07,1385.0
2017-07-10,1380.0
2017-07-11,1400.0
2017-07-12,1390.0
2017-07-13,1385.0
2017-07-14,1384.0
2017-07-17,1387.5
2017-07-18,1425.0
2017-07-19,1400.0
2017-07-20,1404.0
2017-07-21,1402.5
2017-07-24,1400.0
2017-07-25,1420.0
2017-07-26,1387.5
2017-07-27,1400.0
2017-07-28,1400.0
2017-07-31,1382.5
2017-08-01,1388.25
2017-08-02,1390.5
2017-08-03,1400.0
2017-08-04,1378.75
2017-08-07,1429.0
2017-08-08,1415.0
2017-08-09,1383.75
2017-08-10,1400.0
2017-08-11,1365.0
2017-08-14,1377.5
2017-08-15,1325.0
2017-08-16,1385.0
2017-08-17,1397.5
2017-08-18,1390.0
2017-08-21,1400.0
2017-08-22,1425.0
2017-08-23,1400.0
2017-08-24,1400.0
2017-08-25,1371.25
2017-08-28,1422.5
2017-08-29,1390.0
2017-08-30,1400.0
2017-08-31,1390.0
2017-09-01,1385.5
2017-09-04,1387.5
2017-09-05,1400.0
2017-09-06,1400.0
2017-09-07,1385.0
2017-09-08,1370.0
2017-09-11,1365.0
2017-09-12,1374.5
2017-09-13,1370.0
2017-09-14,1378.75
2017-09-15,1365.0
2017-09-18,1353.0
2017-09-19,1325.0
2017-09-20,1362.5
2017-09-21,1350.0
2017-09-22,1327.75
2017-09-25,1300.0
2017-09-26,1325.0
2017-09-27,1312.75
2017-09-28,1315.0
2017-09-29,1350.0
2017-10-02,1350.0
2017-10-03,1307.5
2017-10-04,1300.0
2017-10-05,1309.0
2017-10-06,1310.0
2017-10-09,1305.0
2017-10-10,1310.0
2017-10-11,1287.0
2017-10-12,1301.25
2017-10-13,1320.0
2017-10-16,1272.5
2017-10-17,1300.0
2017-10-18,1357.5
2017-10-19,1400.0
2017-10-20,1400.0
2017-10-23,1250.0
2017-10-24,1250.0
2017-10-25,1244.0
2017-10-26,1240.0
2017-10-27,1228.0
2017-10-30,1242.5
2017-10-31,1225.0
2017-11-01,1215.0
2017-11-02,1250.0
2017-11-03,1210.0
2017-11-06,1236.0
2017-11-07,1213.75
2017-11-08,1202.0
2017-11-09,1200.0
2017-11-10,1220.0
2017-11-13,1240.0
2017-11-14,1220.0
2017-11-15,1200.0
2017-11-16,1200.0
2017-11-17,1200.0
2017-11-20,1200.0
2017-11-21,1200.0
2017-11-22,1195.0
2017-11-23,1205.0
2017-11-24,1210.0
2017-11-27,1222.5
2017-11-28,1180.0
2017-11-29,1216.0
2017-11-30,1200.0
2017-12-01,1220.0
2017-12-04,1220.0
2017-12-05,1190.0
2017-12-06,1219.0
2017-12-07,1210.0
2017-12-08,1224.0
2017-12-11,1205.0
2017-12-12,1200.0
2017-12-13,1230.0
2017-12-14,1212.75
2017-12-15,1213.5
2017-12-18,1240.0
2017-12-19,1200.0
2017-12-20,1238.5
2017-12-21,1250.0
2017-12-22,1210.0
2017-12-25,1251.5
2017-12-26,1210.0
2017-12-27,1221.0
2017-12-28,1237.5
2017-12-29,1222.0
2018-01-01,1215.0
2018-01-02,1200.0
2018-01-03,1220.0
2018-01-04,1220.0
2018-01-05,1227.5
2018-01-08,1223.75
2018-01-09,1222.5
2018-01-10,1220.0
2018-01-11,1250.0
2018-01-12,1230.0
2018-01-15,1250.0
2018-01-16,1230.0
2018-01-17,1221.25
2018-01-18,1230.0
2018-01-19,1245.0
2018-01-22,1230.0
2018-01-23,1225.0
2018-01-24,1225.0
2018-01-25,1243.75
2018-01-26,1301.0
2018-01-29,1224.0
2018-01-30,1210.0
2018-01-31,1250.0
2018-02-01,1236.5
2018-02-02,1225.0
2018-02-05,1225.0
2018-02-06,1237.0
2018-02-07,1230.0
2018-02-08,1225.0
2018-02-09,1225.0
2018-02-12,1228.0
2018-02-13,1260.0
2018-02-14,1250.0
2018-02-15,1236.5
2018-02-16,1230.0
2018-02-19,1235.0
2018-02-20,1222.0
2018-02-21,1225.0
2018-02-22,1235.0
2018-02-23,1225.0
2018-02-26,1240.0
2018-02-27,1230.5
2018-02-28,1225.0
2018-03-01,1212.5
2018-03-02,1290.0
2018-03-05,1240.0
2018-03-06,1243.75
2018-03-07,1237.25
2018-03-08,1214.0
2018-03-09,1240.0
2018-03-12,1220.0
2018-03-13,1245.0
2018-03-14,1235.0
2018-03-15,1212.5
2018-03-16,1220.0
2018-03-19,1230.5
2018-03-20,1210.0
2018-03-21,1210.0
2018-03-22,1240.0
2018-03-23,1232.5
2018-03-26,1220.0
2018-03-27,1227.5
2018-03-28,1225.0
2018-03-29,1242.5
2018-03-30,1270.0
2018-04-02,1197.0
2018-04-03,1209.0
2018-04-04,1215.0
2018-04-05,1230.0
2018-04-06,1220.0
2018-04-09,1230.0
2018-04-10,1225.0
2018-04-11,1225.0
2018-04-12,1250.0
2018-04-13,1251.25
2018-04-16,1287.5
2018-04-17,1240.0
2018-04-18,1300.0
