date,price
2017-01-02,4367.5
2017-01-03,4400.0
2017-01-04,4395.0
2017-01-05,4550.0
2017-01-06,4477.5
2017-01-09,4322.5
2017-01-10,4404.0
2017-01-11,4425.0
2017-01-12,4500.0
2017-01-13,4312.5
2017-01-16,4311.5
2017-01-17,4462.0
2017-01-18,4420.0
2017-01-19,4464.0
2017-01-20,4400.0
2017-01-23,4400.0
2017-01-24,4400.0
2017-01-25,4389.75
2017-01-26,4800.0
2017-01-27,4580.0
2017-01-30,4382.5
2017-01-31,4403.25
2017-02-01,4500.0
2017-02-02,4430.0
2017-02-03,4400.0
2017-02-06,4497.5
2017-02-07,4440.0
2017-02-08,4316.25
2017-02-09,4475.0
2017-02-10,4400.0
2017-02-13,4400.0
2017-02-14,4385.0
2017-02-15,4391.25
2017-02-16,4550.0
2017-02-17,4387.5
2017-02-20,4330.0
2017-02-21,4303.0
2017-02-22,4500.0
2017-02-23,4298.75
2017-02-24,4915.0
2017-02-27,4350.0
2017-02-28,4300.0
2017-03-01,4270.0
2017-03-02,4345.0
2017-03-03,4362.5
2017-03-06,4338.75
2017-03-07,4300.0
2017-03-08,4375.0
2017-03-09,4415.0
2017-03-10,4456.25
2017-03-13,5340.0
2017-03-14,4500.0
2017-03-15,4457.75
2017-03-16,4647.5
2017-03-17,4680.0
2017-03-20,4810.25
2017-03-21,4814.0
2017-03-22,4902.5
2017-03-23,5022.5
2017-03-24,5034.0
2017-03-27,4980.0
2017-03-28,5080.5
2017-03-29,4912.5
2017-03-30,5045.0
2017-03-31,4984.5
2017-04-03,5000.0
2017-04-04,5000.0
2017-04-05,5038.75
2017-04-06,5000.0
2017-04-07,5070.0
2017-04-10,4950.0
2017-04-11,5000.75
2017-04-12,4800.0
2017-04-13,4800.0
2017-04-14,4800.0
2017-04-17,4849.75
2017-04-18,4737.5
2017-04-19,4821.0
2017-04-20,4737.5
2017-04-21,4800.0
2017-04-24,4668.0
2017-04-25,4587.5
2017-04-26,4872.5
2017-04-27,4651.0
2017-04-28,4800.0
2017-05-01,4500.0
2017-05-02,4525.0
2017-05-03,4792.5
2017-05-04,4502.0
2017-05-05,4402.0
2017-05-08,4520.75
2017-05-09,4500.0
2017-05-10,4650.0
2017-05-11,4532.0
2017-05-12,4359.75
2017-05-15,4590.0
2017-05-16,4630.0
2017-05-17,4700.0
2017-05-18,4516.25
2017-05-19,4544.0
2017-05-22,4375.0
2017-05-23,4382.5
2017-05-24,4265.0
2017-05-25,4444.0
2017-05-26,4251.5
2017-05-29,4250.0
2017-05-30,4150.25
2017-05-31,4153.25
2017-06-01,4199.0
2017-06-02,4109.0
2017-06-05,4057.5
2017-06-06,4056.5
2017-06-07,4086.25
2017-06-08,4132.0
2017-06-09,4250.0
2017-06-12,4325.0
2017-06-13,4255.0
2017-06-14,4239.5
2017-06-15,4350.0
2017-06-16,4304.5
2017-06-19,4237.5
2017-06-20,4205.0
2017-06-21,4200.0
2017-06-22,4196.0
2017-06-23,4125.0
2017-06-26,4200.0
2017-06-27,4162.5
2017-06-28,4138.0
2017-06-29,4072.5
2017-06-30,4375.0
2017-07-03,4500.0
2017-07-04,4350.0
2017-07-05,4250.0
2017-07-06,4150.0
2017-07-07,4105.0
2017-07-10,4300.0
2017-07-11,4200.0
2017-07-12,4304.75
2017-07-13,4150.0
2017-07-14,4100.0
2017-07-17,4327.5
2017-07-18,4050.0
2017-07-19,4045.0
2017-07-20,4149.0
2017-07-21,4118.0
2017-07-24,4160.0
2017-07-25,4100.0
2017-07-26,3965.0
2017-07-27,4112.5
2017-07-28,3941.25
2017-07-31,4193.0
2017-08-01,3900.0
2017-08-02,3887.5
2017-08-03,3966.0
2017-08-04,3963.0
2017-08-07,5605.0
2017-08-08,4300.0
2017-08-09,4202.5
2017-08-10,4305.0
2017-08-11,4300.5
2017-08-14,4627.0
2017-08-15,5056.0
2017-08-16,4650.0
2017-08-17,4515.0
2017-08-18,4525.0
2017-08-21,4802.0
2017-08-22,4629.0
2017-08-23,4700.0
2017-08-24,4750.0
2017-08-25,4897.5
2017-08-28,4750.0
2017-08-29,4642.25
2017-08-30,4600.0
2017-08-31,4714.5
2017-09-01,4513.75
2017-09-04,4500.0
2017-09-05,4445.0
2017-09-06,4451.0
2017-09-07,4300.0
2017-09-08,4375.0
2017-09-11,4421.0
2017-09-12,4384.0
2017-09-13,4500.0
2017-09-14,4425.0
2017-09-15,4380.5
2017-09-18,4465.0
2017-09-19,4300.0
2017-09-20,4575.0
2017-09-21,4484.0
2017-09-22,4355.0
2017-09-25,4290.0
2017-09-26,4200.0
2017-09-27,4260.75
2017-09-28,4275.0
2017-09-29,4150.0
2017-10-02,4300.0
2017-10-03,4200.0
2017-10-04,4306.25
2017-10-05,4228.25
2017-10-06,4275.0
2017-10-09,4187.5
2017-10-10,4137.75
2017-10-11,4150.25
2017-10-12,4200.0
2017-10-13,4225.0
2017-10-16,4218.5
2017-10-17,4288.0
2017-10-18,4312.5
2017-10-19,5577.5
2017-10-20,4285.5
2017-10-23,4281.25
2017-10-24,4265.0
2017-10-25,4325.5
2017-10-26,4187.5
2017-10-27,4200.5
2017-10-30,4164.0
2017-10-31,4105.5
2017-11-01,4022.5
2017-11-02,4247.0
2017-11-03,4200.0
2017-11-06,4175.0
2017-11-07,4230.0
2017-11-08,4183.5
2017-11-09,4200.0
2017-11-10,4201.5
2017-11-13,4203.0
2017-11-14,4200.0
2017-11-15,4216.75
2017-11-16,4175.0
2017-11-17,4267.75
2017-11-20,4200.0
2017-11-21,4250.0
2017-11-22,4275.0
2017-11-23,4280.0
2017-11-24,4251.5
2017-11-27,4300.5
2017-11-28,4400.0
2017-11-29,4380.0
2017-11-30,4448.0
2017-12-01,4461.75
2017-12-04,4500.0
2017-12-05,4525.0
2017-12-06,4515.0
2017-12-07,4563.5
2017-12-08,4500.0
2017-12-11,4550.0
2017-12-12,4550.0
2017-12-13,4580.0
2017-12-14,4525.0
2017-12-15,4552.0
2017-12-18,4650.0
2017-12-19,4463.5
2017-12-20,4600.0
2017-12-21,4623.0
2017-12-22,4630.75
2017-12-25,4800.0
2017-12-26,4665.0
2017-12-27,4750.0
2017-12-28,4680.0
2017-12-29,4682.5
2018-01-01,4710.0
2018-01-02,4562.5
2018-01-03,4700.0
2018-01-04,4600.0
2018-01-05,4650.0
2018-01-08,4625.0
2018-01-09,4529.375
2018-01-10,4645.0
2018-01-11,4570.0
2018-01-12,4631.5
2018-01-15,4650.0
2018-01-16,4545.0
2018-01-17,4550.0
2018-01-18,4621.0
2018-01-19,4606.25
2018-01-22,4511.0
2018-01-23,4570.0
2018-01-24,4500.0
2018-01-25,4575.0
2018-01-26,4650.0
2018-01-29,4600.0
2018-01-30,4412.5
2018-01-31,4625.0
2018-02-01,4475.0
2018-02-02,4500.0
2018-02-05,4500.0
2018-02-06,4600.0
2018-02-07,4505.0
2018-02-08,4500.0
2018-02-09,4531.75
2018-02-12,4600.0
2018-02-13,4537.5
2018-02-14,4650.0
2018-02-15,4800.0
2018-02-16,4513.5
2018-02-19,4700.0
2018-02-20,4565.0
2018-02-21,4575.0
2018-02-22,4550.0
2018-02-23,4582.75
2018-02-26,4552.5
2018-02-27,4565.0
2018-02-28,4547.5
2018-03-01,4750.5
2018-03-02,5577.5
2018-03-05,4742.0
2018-03-06,4609.5
2018-03-07,4522.5
2018-03-08,4550.0
2018-03-09,4590.0
2018-03-12,4639.5
2018-03-13,4550.0
2018-03-14,4525.0
2018-03-15,4659.5
2018-03-16,4550.0
2018-03-19,4712.0
2018-03-20,4550.0
2018-03-21,4700.0
2018-03-22,4737.5
2018-03-23,4680.5
2018-03-26,4662.5
2018-03-27,4550.0
2018-03-28,4637.5
