date,price
2017-01-02,3900.0
2017-01-03,3900.0
2017-01-04,3862.5
2017-01-05,3900.0
2017-01-06,3855.0
2017-01-09,3870.0
2017-01-10,3861.0
2017-01-11,3787.75
2017-01-12,3830.0
2017-01-13,3850.0
2017-01-16,3836.5
2017-01-17,3852.5
2017-01-18,3830.0
2017-01-19,3810.0
2017-01-20,3797.75
2017-01-23,3745.5
2017-01-24,3752.0
2017-01-25,3700.0
2017-01-26,3900.0
2017-01-27,3750.0
2017-01-30,3700.0
2017-01-31,3642.0
2017-02-01,3628.0
2017-02-02,3600.5
2017-02-03,3601.5
2017-02-06,3569.0
2017-02-07,3600.0
2017-02-08,3650.0
2017-02-09,3582.0
2017-02-10,3600.0
2017-02-13,3510.5
2017-02-14,3455.0
2017-02-15,3447.5
2017-02-16,3467.5
2017-02-17,3460.5
2017-02-20,3387.5
2017-02-21,3351.0
2017-02-22,3357.5
2017-02-23,3350.5
2017-02-24,3467.75
2017-02-27,3350.0
2017-02-28,3387.5
2017-03-01,3351.0
2017-03-02,3380.0
2017-03-03,3362.5
2017-03-06,3350.0
2017-03-07,3350.0
2017-03-08,3350.0
2017-03-09,3350.0
2017-03-10,3350.0
2017-03-13,3500.0
2017-03-14,3371.0
2017-03-15,3343.75
2017-03-16,3350.0
2017-03-17,3352.5
2017-03-20,3400.0
2017-03-21,3402.5
2017-03-22,3435.0
2017-03-23,3470.0
2017-03-24,3454.75
2017-03-27,3438.5
2017-03-28,3440.0
2017-03-29,3450.0
2017-03-30,3470.0
2017-03-31,3450.0
2017-04-03,3437.5
2017-04-04,3477.5
2017-04-05,3470.0
2017-04-06,3459.75
2017-04-07,3429.0
2017-04-10,3421.0
2017-04-11,3406.25
2017-04-12,3400.0
2017-04-13,3430.0
2017-04-14,3410.0
2017-04-17,3410.5
2017-04-18,3400.0
2017-04-19,3376.25
2017-04-20,3396.0
2017-04-21,3375.0
2017-04-24,3400.0
2017-04-25,3377.5
2017-04-26,3360.0
2017-04-27,3389.0
2017-04-28,3380.0
2017-05-01,3370.0
2017-05-02,3370.0
2017-05-03,3400.0
2017-05-04,3377.5
2017-05-05,3352.5
2017-05-08,3376.25
2017-05-09,3373.5
2017-05-10,3395.25
2017-05-11,3390.0
2017-05-12,3374.5
2017-05-15,3400.0
2017-05-16,3395.0
2017-05-17,3400.0
2017-05-18,3360.0
2017-05-19,3368.75
2017-05-22,3363.75
2017-05-23,3355.0
2017-05-24,3360.0
2017-05-25,3350.0
2017-05-26,3350.0
2017-05-29,3350.0
2017-05-30,3350.0
2017-05-31,3340.0
2017-06-01,3313.25
2017-06-02,3318.75
2017-06-05,3340.0
2017-06-06,3348.0
2017-06-07,3349.5
2017-06-08,3350.0
2017-06-09,3355.0
2017-06-12,3342.5
2017-06-13,3350.0
2017-06-14,3357.5
2017-06-15,3365.0
2017-06-16,3353.0
2017-06-19,3303.5
2017-06-20,3322.5
2017-06-21,3300.0
2017-06-22,3298.0
2017-06-23,3281.25
2017-06-26,3266.25
2017-06-27,3300.0
2017-06-28,3315.0
2017-06-29,3300.0
2017-06-30,3393.5
2017-07-03,3400.0
2017-07-04,3337.5
2017-07-05,3323.0
2017-07-06,3345.0
2017-07-07,3350.0
2017-07-10,3365.0
2017-07-11,3383.75
2017-07-12,3400.0
2017-07-13,3378.0
2017-07-14,3390.0
2017-07-17,3407.5
2017-07-18,3400.0
2017-07-19,3390.0
2017-07-20,3421.75
2017-07-21,3410.0
2017-07-24,3387.5
2017-07-25,3386.0
2017-07-26,3410.0
2017-07-27,3400.0
2017-07-28,3400.0
2017-07-31,3397.0
2017-08-01,3377.25
2017-08-02,3380.0
2017-08-03,3392.5
2017-08-04,3355.0
2017-08-07,3515.0
2017-08-08,3444.75
2017-08-09,3348.75
2017-08-10,3356.5
2017-08-11,3403.5
2017-08-14,3407.0
2017-08-15,3423.5
2017-08-16,3421.5
2017-08-17,3425.0
2017-08-18,3436.0
2017-08-21,3450.0
2017-08-22,3458.0
2017-08-23,3500.0
2017-08-24,3495.5
2017-08-25,3500.0
2017-08-28,3500.0
2017-08-29,3460.0
2017-08-30,3499.5
2017-08-31,3487.5
2017-09-01,3482.5
2017-09-04,3500.0
2017-09-05,3500.0
2017-09-06,3520.0
2017-09-07,3487.0
2017-09-08,3490.0
2017-09-11,3465.0
2017-09-12,3500.0
2017-09-13,3485.0
2017-09-14,3467.5
2017-09-15,3477.0
2017-09-18,3462.5
2017-09-19,3470.5
2017-09-20,3481.5
2017-09-21,3500.0
2017-09-22,3458.5
2017-09-25,3470.5
2017-09-26,3463.75
2017-09-27,3452.0
2017-09-28,3500.0
2017-09-29,3505.0
2017-10-02,3477.5
2017-10-03,3425.0
2017-10-04,3450.0
2017-10-05,3460.0
2017-10-06,3420.0
2017-10-09,3400.0
2017-10-10,3400.0
2017-10-11,3432.5
2017-10-12,3441.0
2017-10-13,3450.0
2017-10-16,3440.0
2017-10-17,3480.0
2017-10-18,3512.5
2017-10-19,3650.0
2017-10-20,3700.0
2017-10-23,3450.0
2017-10-24,3486.25
2017-10-25,3446.5
2017-10-26,3500.0
2017-10-27,3455.0
2017-10-30,3459.0
2017-10-31,3467.5
2017-11-01,3440.0
2017-11-02,3460.0
2017-11-03,3470.0
2017-11-06,3500.0
2017-11-07,3500.0
2017-11-08,3500.0
2017-11-09,3502.0
2017-11-10,3513.5
2017-11-13,3525.0
2017-11-14,3500.0
2017-11-15,3475.0
2017-11-16,3500.0
2017-11-17,3522.5
2017-11-20,3559.0
2017-11-21,3530.0
2017-11-22,3525.0
2017-11-23,3539.5
2017-11-24,3560.5
2017-11-27,3610.0
2017-11-28,3660.0
2017-11-29,3618.75
2017-11-30,3650.0
2017-12-01,3643.0
2017-12-04,3660.0
2017-12-05,3650.0
2017-12-06,3670.0
2017-12-07,3650.0
2017-12-08,3600.0
2017-12-11,3623.75
2017-12-12,3600.0
2017-12-13,3643.75
2017-12-14,3638.5
2017-12-15,3593.0
2017-12-18,3650.0
2017-12-19,3625.5
2017-12-20,3623.5
2017-12-21,3600.0
2017-12-22,3600.0
