date,price
2017-01-02,1485.0
2017-01-03,1480.0
2017-01-04,1480.0
2017-01-05,1500.0
2017-01-06,1490.0
2017-01-09,1481.5
2017-01-10,1490.0
2017-01-11,1480.0
2017-01-12,1482.5
2017-01-13,1480.0
2017-01-16,1475.0
2017-01-17,1480.0
2017-01-18,1480.0
2017-01-19,1482.5
2017-01-20,1470.0
2017-01-23,1475.0
2017-01-24,1500.0
2017-01-25,1480.0
2017-01-26,1481.0
2017-01-27,1475.0
2017-01-30,1477.5
2017-01-31,1490.0
2017-02-01,1480.0
2017-02-02,1485.0
2017-02-03,1480.0
2017-02-06,1480.0
2017-02-07,1490.0
2017-02-08,1480.0
2017-02-09,1495.0
2017-02-10,1480.0
2017-02-13,1490.0
2017-02-14,1487.5
2017-02-15,1483.0
2017-02-16,1490.0
2017-02-17,1480.0
2017-02-20,1480.0
2017-02-21,1487.5
2017-02-22,1487.5
2017-02-23,1490.0
2017-02-24,1475.0
2017-02-27,1493.0
2017-02-28,1500.0
2017-03-01,1481.5
2017-03-02,1490.0
2017-03-03,1480.0
2017-03-06,1490.0
2017-03-07,1495.0
2017-03-08,1491.0
2017-03-09,1500.0
2017-03-10,1495.0
2017-03-13,1500.0
2017-03-14,1480.0
2017-03-15,1480.0
2017-03-16,1485.0
2017-03-17,1480.0
2017-03-20,1480.0
2017-03-21,1480.0
2017-03-22,1475.0
2017-03-23,1482.5
2017-03-24,1480.0
2017-03-27,1490.0
2017-03-28,1477.5
2017-03-29,1470.0
2017-03-30,1490.0
2017-03-31,1485.0
2017-04-03,1490.0
2017-04-04,1490.0
2017-04-05,1480.0
2017-04-06,1490.0
2017-04-07,1485.25
2017-04-10,1490.0
2017-04-11,1500.0
2017-04-12,1480.0
2017-04-13,1490.0
2017-04-14,1470.0
2017-04-17,1497.5
2017-04-18,1495.0
2017-04-19,1490.0
2017-04-20,1490.0
2017-04-21,1510.0
2017-04-24,1505.0
2017-04-25,1500.0
2017-04-26,1490.0
2017-04-27,1510.0
2017-04-28,1500.0
2017-05-01,1470.0
2017-05-02,1510.0
2017-05-03,1510.0
2017-05-04,1495.0
2017-05-05,1507.5
