date,price
2017-01-02,2773.0
2017-01-03,2780.0
2017-01-04,2770.0
2017-01-05,2757.5
2017-01-06,2754.0
2017-01-09,2750.0
2017-01-10,2750.0
2017-01-11,2750.0
2017-01-12,2750.0
2017-01-13,2791.0
2017-01-16,2765.25
2017-01-17,2791.75
2017-01-18,2800.0
2017-01-19,2800.0
2017-01-20,2822.575
2017-01-23,2795.0
2017-01-24,2775.0
2017-01-25,2750.0
2017-01-26,2758.75
2017-01-27,2740.25
2017-01-30,2745.0
2017-01-31,2738.0
2017-02-01,2714.5
2017-02-02,2750.0
2017-02-03,2752.0
2017-02-06,2751.25
2017-02-07,2750.0
2017-02-08,2750.0
2017-02-09,2750.0
2017-02-10,2740.0
2017-02-13,2700.0
2017-02-14,2717.5
2017-02-15,2710.0
2017-02-16,2739.375
2017-02-17,2730.0
2017-02-20,2690.0
2017-02-21,2687.5
2017-02-22,2672.25
2017-02-23,2675.0
2017-02-24,2714.5
2017-02-27,2675.0
2017-02-28,2700.0
2017-03-01,2710.0
2017-03-02,2699.5
2017-03-03,2700.0
2017-03-06,2675.0
2017-03-07,2670.0
2017-03-08,2687.0
2017-03-09,2700.0
2017-03-10,2675.0
2017-03-13,2747.0
2017-03-14,2680.0
2017-03-15,2650.0
2017-03-16,2652.0
2017-03-17,2670.0
2017-03-20,2702.5
2017-03-21,2700.0
2017-03-22,2700.0
2017-03-23,2717.0
2017-03-24,2705.0
2017-03-27,2700.0
2017-03-28,2700.0
2017-03-29,2700.0
2017-03-30,2712.5
2017-03-31,2700.0
2017-04-03,2700.0
2017-04-04,2705.0
2017-04-05,2705.0
2017-04-06,2702.5
2017-04-07,2705.5
2017-04-10,2700.5
2017-04-11,2700.0
2017-04-12,2727.5
2017-04-13,2743.75
2017-04-14,2721.0
2017-04-17,2732.5
2017-04-18,2771.0
2017-04-19,2711.0
2017-04-20,2749.0
2017-04-21,2750.0
2017-04-24,2760.0
2017-04-25,2750.5
2017-04-26,2725.0
2017-04-27,2726.0
2017-04-28,2750.0
2017-05-01,2735.5
2017-05-02,2725.0
2017-05-03,2711.0
2017-05-04,2722.25
2017-05-05,2700.0
2017-05-08,2736.75
2017-05-09,2731.25
2017-05-10,2704.5
2017-05-11,2750.0
2017-05-12,2713.75
2017-05-15,2700.0
2017-05-16,2700.0
2017-05-17,2700.0
2017-05-18,2690.5
2017-05-19,2675.0
2017-05-22,2680.0
2017-05-23,2670.0
2017-05-24,2650.0
2017-05-25,2661.0
2017-05-26,2650.0
2017-05-29,2600.0
2017-05-30,2606.0
2017-05-31,2582.5
2017-06-01,2568.0
2017-06-02,2600.0
2017-06-05,2598.5
2017-06-06,2585.0
2017-06-07,2600.0
2017-06-08,2600.0
2017-06-09,2637.5
2017-06-12,2635.5
2017-06-13,2613.0
2017-06-14,2600.0
2017-06-15,2665.0
2017-06-16,2650.0
2017-06-19,2650.0
2017-06-20,2650.0
2017-06-21,2650.75
2017-06-22,2650.0
2017-06-23,2647.5
2017-06-26,2684.0
2017-06-27,2670.5
2017-06-28,2641.75
2017-06-29,2648.0
2017-06-30,2600.0
2017-07-03,2675.0
2017-07-04,2675.0
2017-07-05,2700.0
2017-07-06,2692.0
2017-07-07,2690.5
2017-07-10,2746.25
2017-07-11,2757.5
2017-07-12,2750.0
2017-07-13,2749.0
2017-07-14,2729.0
2017-07-17,2700.0
2017-07-18,2708.5
2017-07-19,2725.0
2017-07-20,2714.0
2017-07-21,2731.0
2017-07-24,2700.0
2017-07-25,2700.0
2017-07-26,2732.5
2017-07-27,2737.75
2017-07-28,2747.75
2017-07-31,2755.0
2017-08-01,2766.25
2017-08-02,2721.5
2017-08-03,2722.5
2017-08-04,2730.0
2017-08-07,2795.0
2017-08-08,2750.0
2017-08-09,2740.0
2017-08-10,2738.75
2017-08-11,2742.0
2017-08-14,2789.5
2017-08-15,2767.5
2017-08-16,2785.25
2017-08-17,2840.0
2017-08-18,2825.0
2017-08-21,2835.0
2017-08-22,2862.5
2017-08-23,2875.0
2017-08-24,2902.0
2017-08-25,2900.0
2017-08-28,2900.0
2017-08-29,2865.0
2017-08-30,2811.0
2017-08-31,2837.5
2017-09-01,2835.0
2017-09-04,2852.0
2017-09-05,2864.0
2017-09-06,2850.0
2017-09-07,2810.0
2017-09-08,2835.0
2017-09-11,2820.0
2017-09-12,2803.0
2017-09-13,2845.0
2017-09-14,2825.0
2017-09-15,2819.0
2017-09-18,2787.0
2017-09-19,2780.0
2017-09-20,2781.25
2017-09-21,2750.0
2017-09-22,2797.5
2017-09-25,2750.0
2017-09-26,2700.0
2017-09-27,2702.5
2017-09-28,2699.0
2017-09-29,2652.0
2017-10-02,2647.5
2017-10-03,2625.0
2017-10-04,2625.0
2017-10-05,2600.0
2017-10-06,2600.0
2017-10-09,2575.5
2017-10-10,2550.0
2017-10-11,2560.0
2017-10-12,2575.0
2017-10-13,2601.25
2017-10-16,2577.5
2017-10-17,2570.0
2017-10-18,2565.0
2017-10-19,2600.0
2017-10-20,2603.0
2017-10-23,2550.0
2017-10-24,2545.0
2017-10-25,2535.0
2017-10-26,2525.5
2017-10-27,2500.0
2017-10-30,2475.0
2017-10-31,2450.5
2017-11-01,2477.0
2017-11-02,2501.5
2017-11-03,2509.5
2017-11-06,2500.0
2017-11-07,2500.0
2017-11-08,2500.0
2017-11-09,2510.0
2017-11-10,2500.0
2017-11-13,2488.0
2017-11-14,2518.0
2017-11-15,2509.25
2017-11-16,2500.0
2017-11-17,2510.0
2017-11-20,2575.0
2017-11-21,2572.0
2017-11-22,2600.0
2017-11-23,2638.0
2017-11-24,2650.5
2017-11-27,2660.0
2017-11-28,2681.0
2017-11-29,2684.25
2017-11-30,2686.25
2017-12-01,2692.75
2017-12-04,2750.5
2017-12-05,2787.625
2017-12-06,2770.5
2017-12-07,2787.5
2017-12-08,2785.0
2017-12-11,2782.5
2017-12-12,2782.5
2017-12-13,2769.25
2017-12-14,2774.75
2017-12-15,2750.0
2017-12-18,2804.25
2017-12-19,2775.0
2017-12-20,2800.0
2017-12-21,2800.0
2017-12-22,2800.0
2017-12-25,2845.25
2017-12-26,2799.0
2017-12-27,2835.0
2017-12-28,2825.75
2017-12-29,2834.5
2018-01-01,2830.0
2018-01-02,2837.5
2018-01-03,2832.5
2018-01-04,2882.0
2018-01-05,2893.0
2018-01-08,2961.0
2018-01-09,2967.75
2018-01-10,2986.5
2018-01-11,3000.0
2018-01-12,3000.0
2018-01-15,3050.0
