date,price
2017-01-02,8000.0
2017-01-03,7350.0
2017-01-04,7175.0
2017-01-05,7300.0
2017-01-06,7300.0
2017-01-09,7717.0
2017-01-10,7879.0
2017-01-11,7893.5
2017-01-12,7724.5
2017-01-13,7300.0
2017-01-16,7345.0
2017-01-17,7000.0
2017-01-18,7300.0
2017-01-19,7800.0
2017-01-20,8268.0
2017-01-23,8000.0
2017-01-24,7728.0
2017-01-25,7450.0
2017-01-26,7000.0
2017-01-27,7500.0
2017-01-30,7500.0
2017-01-31,7600.0
2017-02-01,7347.5
2017-02-02,7750.0
2017-02-03,7764.0
2017-02-06,7575.0
2017-02-07,7519.5
2017-02-08,7950.0
2017-02-09,7524.0
2017-02-10,7400.0
2017-02-13,7809.5
2017-02-14,8000.0
2017-02-15,7508.0
2017-02-16,7500.0
2017-02-17,7844.25
2017-02-20,7567.0
2017-02-21,7645.0
2017-02-22,7958.5
2017-02-23,8000.0
2017-02-24,7875.0
2017-02-27,7400.0
2017-02-28,7459.5
2017-03-01,7300.0
2017-03-02,7400.0
2017-03-03,8000.0
2017-03-06,7350.0
2017-03-07,7577.5
2017-03-08,7634.0
2017-03-09,7307.0
2017-03-10,7596.5
2017-03-13,7500.0
2017-03-14,7500.0
2017-03-15,7196.5
2017-03-16,7100.0
2017-03-17,7300.0
2017-03-20,7350.0
2017-03-21,7300.0
2017-03-22,7046.25
2017-03-23,7500.0
2017-03-24,7450.0
2017-03-27,7600.0
2017-03-28,7500.0
2017-03-29,6450.0
2017-03-30,7600.0
2017-03-31,7600.0
2017-04-03,7314.5
2017-04-04,7800.0
2017-04-05,7605.75
2017-04-06,7432.5
2017-04-07,6450.0
2017-04-10,7078.0
2017-04-11,7450.0
2017-04-12,6100.0
2017-04-13,6112.5
2017-04-14,7033.75
2017-04-17,6088.75
2017-04-18,6774.0
2017-04-19,6919.0
2017-04-20,7000.0
2017-04-21,6802.0
2017-04-24,6000.0
2017-04-25,6858.5
2017-04-26,6900.0
2017-04-27,6660.0
2017-04-28,6100.0
2017-05-01,5546.0
2017-05-02,6500.0
2017-05-03,6074.5
2017-05-04,6575.0
2017-05-05,6612.5
2017-05-08,6262.75
2017-05-09,6250.0
2017-05-10,5600.0
2017-05-11,6025.5
2017-05-12,6122.0
2017-05-15,6047.75
2017-05-16,6395.25
2017-05-17,6037.5
2017-05-18,6326.0
2017-05-19,6200.0
2017-05-22,5719.5
2017-05-23,6139.5
2017-05-24,6147.0
2017-05-25,6598.5
2017-05-26,6264.0
2017-05-29,6000.0
2017-05-30,6000.0
2017-05-31,6150.0
2017-06-01,5600.0
2017-06-02,6000.0
2017-06-05,5974.75
2017-06-06,6069.5
2017-06-07,5588.0
2017-06-08,5817.5
2017-06-09,6229.0
2017-06-12,5775.0
2017-06-13,6085.0
2017-06-14,5356.5
2017-06-15,6246.0
2017-06-16,6000.5
2017-06-19,6261.0
2017-06-20,6200.0
2017-06-21,6250.0
2017-06-22,6261.25
2017-06-23,6250.0
2017-06-26,6250.0
2017-06-27,6252.25
2017-06-28,6200.5
2017-06-29,6250.0
2017-06-30,6250.0
2017-07-03,6250.0
2017-07-04,5954.0
2017-07-05,6362.5
2017-07-06,6362.5
2017-07-07,6500.0
2017-07-10,6918.0
2017-07-11,6510.0
2017-07-12,7044.5
2017-07-13,7162.5
2017-07-14,7118.0
2017-07-17,7250.0
2017-07-18,7100.0
2017-07-19,7250.0
2017-07-20,7452.5
2017-07-21,7250.0
2017-07-24,6910.0
2017-07-25,7050.0
2017-07-26,6833.0
2017-07-27,7250.0
2017-07-28,7277.25
2017-07-31,6900.0
2017-08-01,7363.0
2017-08-02,7473.0
2017-08-03,7250.0
2017-08-04,7457.75
2017-08-07,7513.5
2017-08-08,7700.0
2017-08-09,7220.0
2017-08-10,7400.0
2017-08-11,7623.25
2017-08-14,7327.0
2017-08-15,7789.25
2017-08-16,7519.0
2017-08-17,7281.0
2017-08-18,7700.0
2017-08-21,7750.0
2017-08-22,7472.25
2017-08-23,7267.25
2017-08-24,7344.5
2017-08-25,7200.0
2017-08-28,7088.0
2017-08-29,7587.5
2017-08-30,7131.0
2017-08-31,7546.25
2017-09-01,7487.5
2017-09-04,7450.0
2017-09-05,7549.5
2017-09-06,7575.0
2017-09-07,7424.0
2017-09-08,7672.5
2017-09-11,7422.25
2017-09-12,7200.0
2017-09-13,7600.0
2017-09-14,7551.0
2017-09-15,7700.0
2017-09-18,7750.0
2017-09-19,7621.25
2017-09-20,7950.0
2017-09-21,7385.25
2017-09-22,7837.5
2017-09-25,7144.5
2017-09-26,7550.0
2017-09-27,7425.0
2017-09-28,7550.0
2017-09-29,8000.0
2017-10-02,8250.0
2017-10-03,7950.0
2017-10-04,7900.0
2017-10-05,7000.0
2017-10-06,7026.75
2017-10-09,7152.75
2017-10-10,7087.25
2017-10-11,7400.0
2017-10-12,7199.5
2017-10-13,7400.0
2017-10-16,7300.0
2017-10-17,7600.0
2017-10-18,6992.5
2017-10-19,8210.0
2017-10-20,7402.5
2017-10-23,7405.0
2017-10-24,7405.25
2017-10-25,7022.25
2017-10-26,7291.5
2017-10-27,7300.0
2017-10-30,7200.0
2017-10-31,7385.0
2017-11-01,7300.0
2017-11-02,7064.5
2017-11-03,7450.0
2017-11-06,7170.0
2017-11-07,7559.0
2017-11-08,7955.0
2017-11-09,7427.5
2017-11-10,7955.0
2017-11-13,7700.0
2017-11-14,7700.0
2017-11-15,7337.5
2017-11-16,7450.0
2017-11-17,7475.0
2017-11-20,7614.75
2017-11-21,7729.75
2017-11-22,7600.0
2017-11-23,7400.0
2017-11-24,7325.0
2017-11-27,7505.0
2017-11-28,7314.5
2017-11-29,7475.0
2017-11-30,7374.5
2017-12-01,7762.5
2017-12-04,7600.0
2017-12-05,7500.0
2017-12-06,7926.25
2017-12-07,7762.5
2017-12-08,7363.0
2017-12-11,7575.0
2017-12-12,7775.0
2017-12-13,7456.5
2017-12-14,7570.0
2017-12-15,7500.0
2017-12-18,8000.0
2017-12-19,7700.0
2017-12-20,7443.0
2017-12-21,7795.0
2017-12-22,7887.5
2017-12-25,7200.0
2017-12-26,7450.0
2017-12-27,7350.0
2017-12-28,7425.0
2017-12-29,7757.75
2018-01-01,7041.0
2018-01-02,7550.0
2018-01-03,7559.5
2018-01-04,7037.0
2018-01-05,7675.0
2018-01-08,7550.0
2018-01-09,8025.0
2018-01-10,7556.5
2018-01-11,7250.0
2018-01-12,7579.0
2018-01-15,7675.0
2018-01-16,7800.0
2018-01-17,7307.5
2018-01-18,7310.0
2018-01-19,7386.5
2018-01-22,7000.0
2018-01-23,7100.0
2018-01-24,7100.0
2018-01-25,7150.0
2018-01-26,7000.0
2018-01-29,7100.0
2018-01-30,7150.0
2018-01-31,7100.0
2018-02-01,7837.75
2018-02-02,8260.0
2018-02-05,7128.75
2018-02-06,7425.0
2018-02-07,7525.0
2018-02-08,7450.5
2018-02-09,7643.5
2018-02-12,7650.0
2018-02-13,7660.5
2018-02-14,7637.0
2018-02-15,8330.0
2018-02-16,7715.25
2018-02-19,7290.25
2018-02-20,7400.0
2018-02-21,7280.5
2018-02-22,7100.0
2018-02-23,7560.0
2018-02-26,7100.0
2018-02-27,7200.0
2018-02-28,7161.0
2018-03-01,7231.5
2018-03-02,7079.5
2018-03-05,6550.0
2018-03-06,7050.0
2018-03-07,7100.0
2018-03-08,6404.75
2018-03-09,7755.0
2018-03-12,6849.75
2018-03-13,6995.0
2018-03-14,6874.75
2018-03-15,7410.0
2018-03-16,7383.25
2018-03-19,6923.0
2018-03-20,7220.0
2018-03-21,6783.0
2018-03-22,7235.5
2018-03-23,6726.25
2018-03-26,7500.0
2018-03-27,6537.25
2018-03-28,6958.5
2018-03-29,8537.5
2018-03-30,9000.0
2018-04-02,6812.5
2018-04-03,6845.0
2018-04-04,6825.0
2018-04-05,7697.25
2018-04-06,7375.0
2018-04-09,6786.25
2018-04-10,6519.0
2018-04-11,6814.75
2018-04-12,6800.0
2018-04-13,7025.0
2018-04-16,7349.0
2018-04-17,6815.75
2018-04-18,7099.5
2018-04-19,7075.5
2018-04-20,7330.5
2018-04-23,6725.0
2018-04-24,7109.0
2018-04-25,6832.0
2018-04-26,6900.0
2018-04-27,7142.25
2018-04-30,6969.75
2018-05-01,6920.0
2018-05-02,7329.0
2018-05-03,7483.0
2018-05-04,7579.5
2018-05-07,7582.75
2018-05-08,7740.0
2018-05-09,7625.0
2018-05-10,7416.0
2018-05-11,7850.0
