date,price
2017-01-02,1838.75
2017-01-03,1825.0
2017-01-04,1830.0
2017-01-05,1850.0
2017-01-06,1830.0
2017-01-09,1844.75
2017-01-10,1840.0
2017-01-11,1850.0
2017-01-12,1851.0
2017-01-13,1850.0
2017-01-16,1865.0
2017-01-17,1878.75
2017-01-18,1870.0
2017-01-19,1865.0
2017-01-20,1865.0
2017-01-23,1865.0
2017-01-24,1854.5
2017-01-25,1851.25
2017-01-26,1850.0
2017-01-27,1851.75
2017-01-30,1860.0
2017-01-31,1850.0
2017-02-01,1856.0
2017-02-02,1841.0
2017-02-03,1850.0
2017-02-06,1850.0
2017-02-07,1839.0
2017-02-08,1834.5
2017-02-09,1840.0
2017-02-10,1830.0
2017-02-13,1831.25
2017-02-14,1825.0
2017-02-15,1813.25
2017-02-16,1823.0
2017-02-17,1825.0
2017-02-20,1800.0
2017-02-21,1800.0
2017-02-22,1800.0
2017-02-23,1770.0
2017-02-24,1780.0
2017-02-27,1740.0
2017-02-28,1710.0
2017-03-01,1700.0
2017-03-02,1700.0
2017-03-03,1708.0
2017-03-06,1700.0
2017-03-07,1700.0
2017-03-08,1700.0
2017-03-09,1700.0
2017-03-10,1695.0
2017-03-13,1775.0
2017-03-14,1700.0
2017-03-15,1695.25
2017-03-16,1700.0
2017-03-17,1700.0
2017-03-20,1684.0
2017-03-21,1678.0
2017-03-22,1678.75
2017-03-23,1680.0
2017-03-24,1676.0
2017-03-27,1654.0
2017-03-28,1650.0
2017-03-29,1643.5
2017-03-30,1650.0
2017-03-31,1650.0
2017-04-03,1640.0
2017-04-04,1630.0
2017-04-05,1630.0
2017-04-06,1635.25
2017-04-07,1630.0
2017-04-10,1627.5
2017-04-11,1627.25
2017-04-12,1625.0
2017-04-13,1627.5
2017-04-14,1625.0
2017-04-17,1625.0
2017-04-18,1625.0
2017-04-19,1625.0
2017-04-20,1625.0
2017-04-21,1625.0
2017-04-24,1625.0
2017-04-25,1625.0
2017-04-26,1625.0
2017-04-27,1625.0
2017-04-28,1625.0
2017-05-01,1625.0
2017-05-02,1625.0
2017-05-03,1625.0
2017-05-04,1625.0
2017-05-05,1625.0
2017-05-08,1625.0
2017-05-09,1625.0
2017-05-10,1625.0
2017-05-11,1625.0
2017-05-12,1625.0
2017-05-15,1625.0
2017-05-16,1625.0
2017-05-17,1625.0
2017-05-18,1625.0
2017-05-19,1625.0
2017-05-22,1625.0
2017-05-23,1625.0
2017-05-24,1625.0
2017-05-25,1625.0
2017-05-26,1625.0
2017-05-29,1625.0
2017-05-30,1625.0
2017-05-31,1625.0
2017-06-01,1625.0
2017-06-02,1625.0
2017-06-05,1625.0
2017-06-06,1625.0
2017-06-07,1625.0
2017-06-08,1625.0
2017-06-09,1625.0
2017-06-12,1625.0
2017-06-13,1625.0
2017-06-14,1625.0
2017-06-15,1625.0
2017-06-16,1625.0
2017-06-19,1625.0
2017-06-20,1625.0
2017-06-21,1625.0
2017-06-22,1625.0
2017-06-23,1625.0
2017-06-26,1617.5
2017-06-27,1625.0
2017-06-28,1625.0
2017-06-29,1625.0
2017-06-30,1625.0
2017-07-03,1625.0
2017-07-04,1613.25
2017-07-05,1614.0
2017-07-06,1613.5
2017-07-07,1625.0
2017-07-10,1622.5
2017-07-11,1620.0
2017-07-12,1625.0
2017-07-13,1625.0
2017-07-14,1625.0
2017-07-17,1625.0
2017-07-18,1625.0
2017-07-19,1625.0
2017-07-20,1612.5
2017-07-21,1625.0
2017-07-24,1621.5
2017-07-25,1625.0
2017-07-26,1625.0
2017-07-27,1625.0
2017-07-28,1624.25
