commodity,state,district,date,rv30,post
bajra,ALL,NATIONAL,2017-01-31,,0
bajra,ALL,NATIONAL,2017-02-28,0.22182680406760347,0
bajra,ALL,NATIONAL,2017-03-31,0.346218900649163,0
bajra,ALL,NATIONAL,2017-04-30,0.31720525367411984,0
bajra,ALL,NATIONAL,2017-05-31,0.2732671819591256,0
bajra,ALL,NATIONAL,2017-06-30,0.26535304278627614,0
bajra,ALL,NATIONAL,2017-07-31,0.33297397741818413,0
bajra,ALL,NATIONAL,2017-08-31,0.5898237091393839,0
bajra,ALL,NATIONAL,2017-09-30,0.5122098645989868,0
bajra,ALL,NATIONAL,2017-10-31,0.2519319065088671,0
bajra,ALL,NATIONAL,2017-11-30,0.24060929702464137,0
bajra,ALL,NATIONAL,2017-12-31,0.2164423602044848,0
bajra,ALL,NATIONAL,2018-01-31,0.2706183686218429,0
bajra,ALL,NATIONAL,2018-02-28,0.7822504906374059,0
bajra,ALL,NATIONAL,2018-03-31,0.616881401073586,0
bajra,ALL,NATIONAL,2018-04-30,0.3418831233889122,0
bajra,ALL,NATIONAL,2018-05-31,0.3338018918244693,0
bajra,ALL,NATIONAL,2018-06-30,0.19901488422380206,0
bajra,ALL,NATIONAL,2018-07-31,0.2130542003556922,0
bajra,ALL,NATIONAL,2018-08-31,0.2776168321247747,0
bajra,ALL,NATIONAL,2018-09-30,0.2961038379899054,0
bajra,ALL,NATIONAL,2018-10-31,0.30913036359360524,0
bajra,ALL,NATIONAL,2018-11-30,0.439751229502429,0
bajra,ALL,NATIONAL,2018-12-31,0.4092451093335996,0
bajra,ALL,NATIONAL,2019-01-31,0.2726373583867328,0
bajra,ALL,NATIONAL,2019-02-28,0.3129344590791802,0
bajra,ALL,NATIONAL,2019-03-31,0.3578706173864785,0
bajra,ALL,NATIONAL,2019-04-30,0.44148785180957867,0
bajra,ALL,NATIONAL,2019-05-31,0.3676875563910712,0
bajra,ALL,NATIONAL,2019-06-30,0.26367570408871,0
bajra,ALL,NATIONAL,2019-07-31,0.2590030477783048,0
bajra,ALL,NATIONAL,2019-08-31,0.34416805028260417,0
bajra,ALL,NATIONAL,2019-09-30,0.3449654446337591,0
bajra,ALL,NATIONAL,2019-10-31,0.2648291765573997,0
bajra,ALL,NATIONAL,2019-11-30,0.18709040176441638,0
bajra,ALL,NATIONAL,2019-12-31,0.14737590136525403,0
bajra,ALL,NATIONAL,2020-01-31,0.22437920337987408,0
bajra,ALL,NATIONAL,2020-02-29,0.24331369422779364,0
bajra,ALL,NATIONAL,2020-03-31,0.23084673749150122,0
bajra,ALL,NATIONAL,2020-04-30,0.7057063944198968,0
bajra,ALL,NATIONAL,2020-05-31,0.7147456227771184,0
bajra,ALL,NATIONAL,2020-06-30,0.4099299883184896,0
bajra,ALL,NATIONAL,2020-07-31,0.2788434422955712,0
bajra,ALL,NATIONAL,2020-08-31,0.4007190400543477,0
bajra,ALL,NATIONAL,2020-09-30,0.5627793637741959,0
bajra,ALL,NATIONAL,2020-10-31,0.4512512112682771,0
bajra,ALL,NATIONAL,2020-11-30,0.28014484919616106,0
bajra,ALL,NATIONAL,2020-12-31,0.3410829370581453,0
bajra,ALL,NATIONAL,2021-01-31,0.28183788334199605,0
bajra,ALL,NATIONAL,2021-02-28,0.4324863738049963,0
bajra,ALL,NATIONAL,2021-03-31,0.31031997193458866,0
bajra,ALL,NATIONAL,2021-04-30,0.5296616701028346,0
bajra,ALL,NATIONAL,2021-05-31,0.579154250219568,0
bajra,ALL,NATIONAL,2021-06-30,0.39513718752322563,0
bajra,ALL,NATIONAL,2021-07-31,0.33161635325281685,0
bajra,ALL,NATIONAL,2021-08-31,0.2101306175229639,0
bajra,ALL,NATIONAL,2021-09-30,0.19836637013711034,0
bajra,ALL,NATIONAL,2021-10-31,0.2515852933014666,0
bajra,ALL,NATIONAL,2021-11-30,0.3664902445467423,0
bajra,ALL,NATIONAL,2021-12-31,0.3242020093422543,1
bajra,ALL,NATIONAL,2022-01-31,0.2624127523521335,1
bajra,ALL,NATIONAL,2022-02-28,0.42910475990965535,1
bajra,ALL,NATIONAL,2022-03-31,0.35522326977341007,1
bajra,ALL,NATIONAL,2022-04-30,0.3723679927526449,1
bajra,ALL,NATIONAL,2022-05-31,0.32425774519549166,1
bajra,ALL,NATIONAL,2022-06-30,0.2595662093676983,1
bajra,ALL,NATIONAL,2022-07-31,0.25301172169458497,1
bajra,ALL,NATIONAL,2022-08-31,0.4510257685759999,1
bajra,ALL,NATIONAL,2022-09-30,0.5688925210350281,1
bajra,ALL,NATIONAL,2022-10-31,0.3727831096543491,1
bajra,ALL,NATIONAL,2022-11-30,0.3875761149037358,1
bajra,ALL,NATIONAL,2022-12-31,0.2888647191164991,1
bajra,ALL,NATIONAL,2023-01-31,0.2690110192354085,1
bajra,ALL,NATIONAL,2023-02-28,0.3821617423864829,1
bajra,ALL,NATIONAL,2023-03-31,0.3422829283232609,1
bajra,ALL,NATIONAL,2023-04-30,0.39231469283136916,1
bajra,ALL,NATIONAL,2023-05-31,0.4993186008743439,1
bajra,ALL,NATIONAL,2023-06-30,0.29836487479710944,1
bajra,ALL,NATIONAL,2023-07-31,0.269409429156011,1
bajra,ALL,NATIONAL,2023-08-31,0.5032356485277291,1
bajra,ALL,NATIONAL,2023-09-30,0.6578330812845498,1
bajra,ALL,NATIONAL,2023-10-31,0.44699276044229896,1
bajra,ALL,NATIONAL,2023-11-30,0.353080993152864,1
bajra,ALL,NATIONAL,2023-12-31,0.33211355218380295,1
bajra,ALL,NATIONAL,2024-01-31,0.15399406916884728,1
bajra,ALL,NATIONAL,2024-02-29,0.15655692851028843,1
bajra,ALL,NATIONAL,2024-03-31,0.1956588425797412,1
bajra,ALL,NATIONAL,2024-04-30,0.26964472177113896,1
bajra,ALL,NATIONAL,2024-05-31,0.26391263960148753,1
bajra,ALL,NATIONAL,2024-06-30,0.18431060070467095,1
bajra,ALL,NATIONAL,2024-07-31,0.2261009253761094,1
bajra,ALL,NATIONAL,2024-08-31,0.34342581027335567,1
bajra,ALL,NATIONAL,2024-09-30,0.4574295660425017,1
bajra,ALL,NATIONAL,2024-10-31,0.20654257262762973,1
bajra,ALL,NATIONAL,2024-11-30,0.2316960731367667,1
bajra,ALL,NATIONAL,2024-12-31,0.18401927438892582,1
bajra,ALL,NATIONAL,2025-01-31,0.18339715949381535,1
bajra,ALL,NATIONAL,2025-02-28,0.2008324510140241,1
bajra,ALL,NATIONAL,2025-03-31,0.16960646952963282,1
bajra,ALL,NATIONAL,2025-04-30,0.19493231931242186,1
bajra,ALL,NATIONAL,2025-05-31,0.2568216995571771,1
bajra,ALL,NATIONAL,2025-06-30,0.20138689561311884,1
bajra,ALL,NATIONAL,2025-07-31,0.18026830272514005,1
bajra,ALL,NATIONAL,2025-08-31,0.2538206748520202,1
bajra,ALL,NATIONAL,2025-09-30,0.2807852388629131,1
bajra,ALL,NATIONAL,2025-10-31,0.21344729664600903,1
barley,ALL,NATIONAL,2017-01-31,,0
barley,ALL,NATIONAL,2017-02-28,0.4996175114252969,0
barley,ALL,NATIONAL,2017-03-31,0.4931004054051531,0
barley,ALL,NATIONAL,2017-04-30,0.2708449284631666,0
barley,ALL,NATIONAL,2017-05-31,0.21568699122134127,0
barley,ALL,NATIONAL,2017-06-30,0.29437970235444894,0
barley,ALL,NATIONAL,2017-07-31,0.37292870879365386,0
barley,ALL,NATIONAL,2017-08-31,0.4210583513473089,0
barley,ALL,NATIONAL,2017-09-30,0.4866616433125277,0
barley,ALL,NATIONAL,2017-10-31,0.4850330872029509,0
barley,ALL,NATIONAL,2017-11-30,0.4005379922861986,0
barley,ALL,NATIONAL,2017-12-31,0.27749492890658295,0
barley,ALL,NATIONAL,2018-01-31,0.40009614715387015,0
barley,ALL,NATIONAL,2018-02-28,0.30466312584450034,0
barley,ALL,NATIONAL,2018-03-31,0.48084527386045467,0
barley,ALL,NATIONAL,2018-04-30,0.37402062394717267,0
barley,ALL,NATIONAL,2018-05-31,0.3497793336488772,0
barley,ALL,NATIONAL,2018-06-30,0.1946280292048729,0
barley,ALL,NATIONAL,2018-07-31,0.18642579367592352,0
barley,ALL,NATIONAL,2018-08-31,0.18929205121246936,0
barley,ALL,NATIONAL,2018-09-30,0.28869645183171905,0
barley,ALL,NATIONAL,2018-10-31,0.23499437761897243,0
barley,ALL,NATIONAL,2018-11-30,0.21798228289098873,0
barley,ALL,NATIONAL,2018-12-31,0.33483043662471124,0
barley,ALL,NATIONAL,2019-01-31,0.29911418303062237,0
barley,ALL,NATIONAL,2019-02-28,0.23993855509957948,0
barley,ALL,NATIONAL,2019-03-31,0.24024844215865637,0
barley,ALL,NATIONAL,2019-04-30,0.265778031857175,0
barley,ALL,NATIONAL,2019-05-31,0.18328496363752814,0
barley,ALL,NATIONAL,2019-06-30,0.1669773300243668,0
barley,ALL,NATIONAL,2019-07-31,0.13078949264061818,0
barley,ALL,NATIONAL,2019-08-31,0.19902664320081642,0
barley,ALL,NATIONAL,2019-09-30,0.26650071081700677,0
barley,ALL,NATIONAL,2019-10-31,0.315066358435074,0
barley,ALL,NATIONAL,2019-11-30,0.2660486344503961,0
barley,ALL,NATIONAL,2019-12-31,0.19151004737887217,0
barley,ALL,NATIONAL,2020-01-31,0.30593577063362537,0
barley,ALL,NATIONAL,2020-02-29,0.28207304586926213,0
barley,ALL,NATIONAL,2020-03-31,0.38342337811104893,0
barley,ALL,NATIONAL,2020-04-30,0.50285062815669,0
barley,ALL,NATIONAL,2020-05-31,0.46831721909458845,0
barley,ALL,NATIONAL,2020-06-30,0.4197560832526684,0
barley,ALL,NATIONAL,2020-07-31,0.4223505741984859,0
barley,ALL,NATIONAL,2020-08-31,0.5711845844651984,0
barley,ALL,NATIONAL,2020-09-30,0.6699467272517804,0
barley,ALL,NATIONAL,2020-10-31,0.5901378195404142,0
barley,ALL,NATIONAL,2020-11-30,0.39907682491761076,0
barley,ALL,NATIONAL,2020-12-31,0.363180215698134,0
barley,ALL,NATIONAL,2021-01-31,0.3575534591344911,0
barley,ALL,NATIONAL,2021-02-28,0.4601485847270312,0
barley,ALL,NATIONAL,2021-03-31,0.30824255564174174,0
barley,ALL,NATIONAL,2021-04-30,0.268115935833537,0
barley,ALL,NATIONAL,2021-05-31,0.1613143300653332,0
barley,ALL,NATIONAL,2021-06-30,0.11009258283278646,0
barley,ALL,NATIONAL,2021-07-31,0.18328386157056525,0
barley,ALL,NATIONAL,2021-08-31,0.23202291950450088,0
barley,ALL,NATIONAL,2021-09-30,0.25978212364247405,0
barley,ALL,NATIONAL,2021-10-31,0.3080322564830951,0
barley,ALL,NATIONAL,2021-11-30,0.2636913662903056,0
barley,ALL,NATIONAL,2021-12-31,0.38032024857993085,1
barley,ALL,NATIONAL,2022-01-31,0.4308501963491871,1
barley,ALL,NATIONAL,2022-02-28,0.34278472934831344,1
