Date,Price,Open,High,Low,Vol.,Change %,Open Interest,Contract Expiry,Days To Expiry,Roll Day
11-06-2026,30600.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,19,0
10-06-2026,30600.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,20,0
09-06-2026,30600.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,21,0
08-06-2026,30600.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,22,0
05-06-2026,30600.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,25,0
04-06-2026,30600.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,26,0
03-06-2026,30600.0,0.0,0.0,0.0,0,-2.86%,0,30Jun2026,27,0
02-06-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,28,0
01-06-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,30Jun2026,29,1
29-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,29May2026,0,0
28-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,29May2026,1,0
27-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,29May2026,2,0
26-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,29May2026,3,0
25-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,29May2026,4,0
22-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,29May2026,7,0
21-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,29May2026,8,0
20-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,29May2026,9,0
19-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,29May2026,10,0
18-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,29May2026,11,0
15-05-2026,31500.0,0.0,0.0,0.0,0,0.00%,0,29May2026,14,0
14-05-2026,31500.0,0.0,0.0,0.0,0,2.27%,0,29May2026,15,0
13-05-2026,30800.0,0.0,0.0,0.0,0,0.00%,0,29May2026,16,0
12-05-2026,30800.0,0.0,0.0,0.0,0,0.00%,0,29May2026,17,0
11-05-2026,30800.0,0.0,0.0,0.0,0,0.00%,0,29May2026,18,0
08-05-2026,30800.0,0.0,0.0,0.0,0,3.70%,0,29May2026,21,0
07-05-2026,29700.0,0.0,0.0,0.0,0,3.85%,0,29May2026,22,0
06-05-2026,28600.0,0.0,0.0,0.0,0,0.00%,0,29May2026,23,0
05-05-2026,28600.0,0.0,0.0,0.0,0,2.51%,0,29May2026,24,0
04-05-2026,27900.0,0.0,0.0,0.0,0,0.00%,0,29May2026,25,0
01-05-2026,27900.0,0.0,0.0,0.0,0,-2.28%,0,29May2026,28,1
30-04-2026,28550.0,0.0,0.0,0.0,0,0.00%,0,30Apr2026,0,0
29-04-2026,28550.0,0.0,0.0,0.0,0,0.00%,0,30Apr2026,1,0
28-04-2026,28550.0,28500.0,28600.0,28500.0,4,0.53%,4,30Apr2026,2,0
27-04-2026,28400.0,28400.0,28400.0,28400.0,1,0.00%,4,30Apr2026,3,0
24-04-2026,28400.0,28400.0,28400.0,28400.0,1,-1.39%,4,30Apr2026,6,0
23-04-2026,28800.0,28800.0,28800.0,28800.0,1,-2.54%,4,30Apr2026,7,0
22-04-2026,29550.0,29550.0,29550.0,29550.0,1,3.65%,5,30Apr2026,8,0
21-04-2026,28510.0,0.0,0.0,0.0,0,0.00%,6,30Apr2026,9,0
