Date,Price,Open,High,Low,Vol.,Change %,Open Interest,Contract Expiry,Days To Expiry,Roll Day
31-07-2025,56890.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,61,0
30-07-2025,56890.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,62,0
29-07-2025,56890.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,63,0
28-07-2025,56890.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,64,0
25-07-2025,56890.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,67,0
24-07-2025,56890.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,68,0
23-07-2025,56890.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,69,0
22-07-2025,56890.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,70,0
21-07-2025,56890.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,71,0
18-07-2025,56890.0,56890.0,56890.0,56890.0,1,-0.18%,0,30Sep2025,74,0
17-07-2025,56990.0,0.0,0.0,0.0,0,0.00%,1,30Sep2025,75,0
16-07-2025,56990.0,0.0,0.0,0.0,0,0.00%,1,30Sep2025,76,0
15-07-2025,56990.0,0.0,0.0,0.0,0,0.00%,1,30Sep2025,77,0
14-07-2025,56990.0,0.0,0.0,0.0,0,0.00%,1,30Sep2025,78,0
11-07-2025,56990.0,56990.0,56990.0,56990.0,1,3.62%,1,30Sep2025,81,0
10-07-2025,55000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,82,0
09-07-2025,55000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,83,0
08-07-2025,55000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,84,0
07-07-2025,55000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,85,0
04-07-2025,55000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,88,0
03-07-2025,55000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,89,0
02-07-2025,55000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,90,0
01-07-2025,55000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,91,0
30-06-2025,55000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,92,0
27-06-2025,55000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,95,0
26-06-2025,55000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,96,0
25-06-2025,55000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,97,0
24-06-2025,55000.0,0.0,0.0,0.0,0,-1.79%,0,30Sep2025,98,0
23-06-2025,56000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,99,0
20-06-2025,56000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,102,0
19-06-2025,56000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,103,0
18-06-2025,56000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,104,0
17-06-2025,56000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,105,0
16-06-2025,56000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,106,0
13-06-2025,56000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,109,0
12-06-2025,56000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,110,0
11-06-2025,56000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,111,0
10-06-2025,56000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,112,0
09-06-2025,56000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,113,0
06-06-2025,56000.0,0.0,0.0,0.0,0,-1.75%,0,30Sep2025,116,0
05-06-2025,57000.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,117,0
04-06-2025,57000.0,0.0,0.0,0.0,0,-0.87%,0,30Sep2025,118,0
03-06-2025,57500.0,0.0,0.0,0.0,0,0.00%,0,30Sep2025,119,0
02-06-2025,57500.0,0.0,0.0,0.0,0,5.70%,0,30Sep2025,120,1
30-05-2025,54400.0,54400.0,54400.0,54400.0,2,-0.09%,74,31Jul2025,62,0
29-05-2025,54450.0,54500.0,54500.0,54310.0,7,-0.13%,74,31Jul2025,63,0
28-05-2025,54520.0,54540.0,54550.0,54310.0,10,-0.27%,72,31Jul2025,64,0
27-05-2025,54670.0,54610.0,54990.0,54590.0,16,0.13%,70,31Jul2025,65,0
26-05-2025,54600.0,54600.0,54600.0,54600.0,1,-0.05%,57,31Jul2025,66,0
23-05-2025,54630.0,54850.0,54850.0,54500.0,12,-0.65%,56,31Jul2025,69,0
22-05-2025,54990.0,54990.0,54990.0,54990.0,1,-0.04%,45,31Jul2025,70,0
21-05-2025,55010.0,55110.0,55300.0,54900.0,21,-0.34%,45,31Jul2025,71,0
20-05-2025,55200.0,55080.0,55350.0,55080.0,4,0.00%,28,31Jul2025,72,0
19-05-2025,55200.0,55300.0,55300.0,55180.0,13,0.11%,24,31Jul2025,73,0
