Date,Price,Open,High,Low,Vol.,Change %,Open Interest,Contract Expiry,Days To Expiry,Roll Day
29-04-2022,1592.4,0.0,0.0,0.0,0,57.82%,0,29Apr2022,0,0
28-04-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,1,0
27-04-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,2,0
26-04-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,3,0
25-04-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,4,0
22-04-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,7,0
21-04-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,8,0
20-04-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,9,0
19-04-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,10,0
18-04-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,11,0
14-04-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,15,0
13-04-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,16,0
12-04-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,17,0
11-04-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,18,0
08-04-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,21,0
07-04-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,22,0
06-04-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,23,0
05-04-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,24,0
04-04-2022,1009.0,0.0,0.0,0.0,0,0.00%,0,29Apr2022,25,0
01-04-2022,1009.0,0.0,0.0,0.0,0,-29.15%,0,29Apr2022,28,1
31-03-2022,1424.1,0.0,0.0,0.0,0,-4.10%,0,31Mar2022,0,0
30-03-2022,1485.0,0.0,0.0,0.0,0,0.00%,0,31Mar2022,1,0
29-03-2022,1485.0,0.0,0.0,0.0,0,0.00%,0,31Mar2022,2,0
28-03-2022,1485.0,0.0,0.0,0.0,0,0.00%,0,31Mar2022,3,0
25-03-2022,1485.0,0.0,0.0,0.0,0,0.00%,0,31Mar2022,6,0
24-03-2022,1485.0,0.0,0.0,0.0,0,0.00%,0,31Mar2022,7,0
