"Date","Price","Open","High","Low","Vol.","Change %"
"30-04-2026","6,619.00","6,634.00","6,688.00","6,610.00","5.82K","0.26%"
"29-04-2026","6,602.00","6,591.00","6,619.00","6,570.00","2.04K","0.33%"
"28-04-2026","6,580.00","6,530.00","6,588.00","6,518.00","2.46K","0.55%"
"27-04-2026","6,544.00","6,572.00","6,580.00","6,535.00","2.40K","-0.59%"
"24-04-2026","6,583.00","6,600.00","6,615.00","6,572.00","2.10K","-0.11%"
"23-04-2026","6,590.00","6,598.00","6,598.00","6,560.00","1.37K","0.26%"
"22-04-2026","6,573.00","6,550.00","6,583.00","6,550.00","1.20K","0.41%"
"21-04-2026","6,546.00","6,621.00","6,650.00","6,531.00","0.35K","1.00%"
"20-04-2026","6,481.00","6,486.00","6,498.00","6,466.00","2.73K","-0.48%"
"17-04-2026","6,512.00","6,490.00","6,528.00","6,489.00","6.84K","0.26%"
"16-04-2026","6,495.00","6,470.00","6,522.00","6,454.00","7.11K","0.51%"
"15-04-2026","6,462.00","6,470.00","6,479.00","6,432.00","5.43K","-0.20%"
"13-04-2026","6,475.00","6,448.00","6,522.00","6,442.00","6.56K","0.42%"
"10-04-2026","6,448.00","6,465.00","6,498.00","6,440.00","7.95K","-0.12%"
"09-04-2026","6,456.00","6,415.00","6,498.00","6,414.00","5.37K","0.23%"
"08-04-2026","6,441.00","6,416.00","6,467.00","6,402.00","3.87K","-0.25%"
"07-04-2026","6,457.00","6,421.00","6,484.00","6,408.00","4.43K","0.34%"
"06-04-2026","6,435.00","6,500.00","6,500.00","6,426.00","5.27K","-1.74%"
"02-04-2026","6,549.00","6,552.00","6,594.00","6,533.00","3.03K","-0.14%"
"01-04-2026","6,558.00","6,615.00","6,619.00","6,516.00","2.15K","-0.97%"
"30-03-2026","6,622.00","6,610.00","6,631.00","6,565.00","2.19K","0.18%"
"27-03-2026","6,610.00","6,621.00","6,621.00","6,590.00","1.43K","-0.51%"
"25-03-2026","6,644.00","6,605.00","6,649.00","6,605.00","0.95K","0.64%"
"24-03-2026","6,602.00","6,600.00","6,617.00","6,583.00","0.40K","0.24%"
"23-03-2026","6,586.00","6,592.00","6,624.00","6,552.00","1.48K","0.92%"
"20-03-2026","6,526.00","6,500.00","6,549.00","6,464.00","4.05K","0.63%"
"19-03-2026","6,485.00","6,460.00","6,499.00","6,425.00","4.79K","0.73%"
"18-03-2026","6,438.00","6,450.00","6,457.00","6,426.00","5.10K","-0.06%"
"17-03-2026","6,442.00","6,441.00","6,474.00","6,416.00","4.20K","0.03%"
"16-03-2026","6,440.00","6,488.00","6,518.00","6,430.00","5.10K","-0.28%"
"13-03-2026","6,458.00","6,430.00","6,469.00","6,410.00","4.08K","0.53%"
"12-03-2026","6,424.00","6,498.00","6,505.00","6,402.00","6.33K","-0.76%"
"11-03-2026","6,473.00","6,418.00","6,498.00","6,400.00","8.86K","0.94%"
"10-03-2026","6,413.00","6,416.00","6,445.00","6,380.00","4.74K","-0.22%"
"09-03-2026","6,427.00","6,320.00","6,465.00","6,320.00","8.55K","1.66%"
"06-03-2026","6,322.00","6,346.00","6,388.00","6,315.00","5.61K","-0.85%"
"05-03-2026","6,376.00","6,277.00","6,388.00","6,277.00","6.13K","1.43%"
"04-03-2026","6,286.00","6,262.00","6,307.00","6,168.00","1.40K","0.34%"
"02-03-2026","6,265.00","6,270.00","6,300.00","6,258.00","1.48K","-0.24%"
"27-02-2026","6,280.00","6,290.00","6,290.00","6,256.00","2.75K","-0.21%"
"26-02-2026","6,293.00","6,320.00","6,363.00","6,290.00","2.61K","-0.40%"
"25-02-2026","6,318.00","6,296.00","6,340.00","6,292.00","0.78K","0.22%"
"24-02-2026","6,304.00","6,367.00","6,385.00","6,302.00","3.70K","-1.07%"
"23-02-2026","6,372.00","6,352.00","6,384.00","6,348.00","0.91K","0.09%"
"20-02-2026","6,366.00","6,370.00","6,390.00","6,342.00","2.17K","-0.13%"
"19-02-2026","6,374.00","6,326.00","6,390.00","6,326.00","4.72K","0.81%"
"18-02-2026","6,323.00","6,395.00","6,408.00","6,306.00","6.71K","-1.05%"
"17-02-2026","6,390.00","6,370.00","6,461.00","6,350.00","7.52K","0.11%"
"16-02-2026","6,383.00","6,430.00","6,448.00","6,372.00","5.01K","-0.82%"
"13-02-2026","6,436.00","6,391.00","6,458.00","6,391.00","6.48K","0.42%"
"12-02-2026","6,409.00","6,464.00","6,464.00","6,400.00","3.22K","-0.56%"
"11-02-2026","6,445.00","6,495.00","6,515.00","6,428.00","6.12K","-0.98%"
"10-02-2026","6,509.00","6,508.00","6,554.00","6,500.00","5.40K","0.22%"
"09-02-2026","6,495.00","6,425.00","6,526.00","6,425.00","3.88K","0.62%"
"06-02-2026","6,455.00","6,470.00","6,485.00","6,425.00","4.35K","-0.39%"
"05-02-2026","6,480.00","6,450.00","6,488.00","6,450.00","3.67K","0.42%"
"04-02-2026","6,453.00","6,405.00","6,472.00","6,400.00","1.88K","0.70%"
"03-02-2026","6,408.00","6,459.00","6,468.00","6,402.00","1.90K","-0.45%"
"02-02-2026","6,437.00","6,363.00","6,454.00","6,363.00","1.43K","0.33%"
"01-02-2026","6,416.00","6,472.00","6,475.00","6,408.00","1.19K","-0.71%"
"30-01-2026","6,462.00","6,470.00","6,505.00","6,450.00","2.87K","0.08%"
"29-01-2026","6,457.00","6,440.00","6,466.00","6,417.00","1.26K","0.59%"
"28-01-2026","6,419.00","6,376.00","6,439.00","6,351.00","2.27K","-0.06%"
"27-01-2026","6,423.00","6,485.00","6,503.00","6,386.00","2.41K","-1.43%"
"23-01-2026","6,516.00","6,510.00","6,530.00","6,486.00","0.89K","-0.18%"
"22-01-2026","6,528.00","6,565.00","6,600.00","6,517.00","0.89K","-0.53%"
"21-01-2026","6,563.00","6,490.00","6,565.00","6,490.00","1.82K","1.58%"
"20-01-2026","6,461.00","6,467.00","6,495.00","6,410.00","1.95K","0.23%"
"19-01-2026","6,446.00","6,507.00","6,507.00","6,412.00","3.11K","-0.82%"
"16-01-2026","6,499.00","6,480.00","6,524.00","6,480.00","4.70K","0.17%"
"14-01-2026","6,488.00","6,530.00","6,534.00","6,475.00","4.12K","-1.05%"
"13-01-2026","6,557.00","6,626.00","6,626.00","6,520.00","5.59K","-1.07%"
"12-01-2026","6,628.00","6,700.00","6,700.00","6,618.00","6.64K","-0.57%"
"09-01-2026","6,666.00","6,663.00","6,697.00","6,648.00","2.55K","-0.01%"
"08-01-2026","6,667.00","6,675.00","6,688.00","6,644.00","3.88K","-0.27%"
"07-01-2026","6,685.00","6,626.00","6,689.00","6,610.00","5.62K","0.68%"
"06-01-2026","6,640.00","6,697.00","6,700.00","6,626.00","6.80K","-0.84%"
"05-01-2026","6,696.00","6,724.00","6,750.00","6,666.00","4.04K","-0.49%"
"02-01-2026","6,729.00","6,701.00","6,745.00","6,700.00","1.68K","0.39%"
"01-01-2026","6,703.00","6,700.00","6,737.00","6,700.00","2.16K","-0.31%"
"31-12-2025","6,724.00","6,755.00","6,775.00","6,685.00","2.46K","-0.65%"
"30-12-2025","6,768.00","6,730.00","6,772.00","6,718.00","2.36K","0.53%"
"29-12-2025","6,732.00","6,822.00","6,838.00","6,720.00","3.33K","-1.62%"
"26-12-2025","6,843.00","6,880.00","6,880.00","6,821.00","3.83K","-0.01%"
"24-12-2025","6,844.00","6,837.00","6,848.00","6,795.00","5.22K","0.20%"
"23-12-2025","6,830.00","6,842.00","6,850.00","6,817.00","0.49K","-0.51%"
"22-12-2025","6,865.00","6,873.00","6,883.00","6,859.00","0.14K","-0.98%"
"19-12-2025","6,933.00","6,968.00","6,980.00","6,921.00","2.40K","-0.29%"
"18-12-2025","6,953.00","6,910.00","6,965.00","6,873.00","5.87K","0.75%"
"17-12-2025","6,901.00","6,858.00","6,920.00","6,646.00","6.08K","0.26%"
"16-12-2025","6,883.00","6,940.00","6,940.00","6,874.00","4.69K","-0.56%"
"15-12-2025","6,922.00","6,970.00","6,995.00","6,914.00","3.82K","-0.36%"
"12-12-2025","6,947.00","6,991.00","6,991.00","6,944.00","2.73K","-0.24%"
"11-12-2025","6,964.00","6,960.00","6,985.00","6,955.00","1.95K","-0.01%"
"10-12-2025","6,965.00","6,954.00","7,017.00","6,954.00","4.54K","-0.41%"
"09-12-2025","6,994.00","6,976.00","7,005.00","6,939.00","5.87K","0.14%"
"08-12-2025","6,984.00","7,040.00","7,040.00","6,974.00","4.18K","-0.77%"
"05-12-2025","7,038.00","7,038.00","7,069.00","7,026.00","4.30K","-0.30%"
"04-12-2025","7,059.00","7,066.00","7,103.00","7,044.00","4.36K","-0.04%"
"03-12-2025","7,062.00","7,092.00","7,140.00","7,012.00","5.17K","0.24%"
"02-12-2025","7,045.00","6,954.00","7,060.00","6,954.00","4.81K","1.09%"
"01-12-2025","6,969.00","7,011.00","7,012.00","6,930.00","3.05K","0.40%"
"28-11-2025","6,941.00","6,920.00","6,959.00","6,915.00","2.08K","0.38%"
"27-11-2025","6,915.00","6,916.00","6,935.00","6,888.00","1.01K","0.25%"
"26-11-2025","6,898.00","6,777.00","6,908.00","6,777.00","2.17K","0.80%"
"25-11-2025","6,843.00","6,834.00","6,850.00","6,820.00","0.77K","-0.26%"
"24-11-2025","6,861.00","6,853.00","6,876.00","6,842.00","0.28K","0.16%"
"21-11-2025","6,850.00","6,854.00","6,860.00","6,840.00","0.85K","-1.03%"
"20-11-2025","6,921.00","6,914.00","6,955.00","6,886.00","2.71K","-0.16%"
"19-11-2025","6,932.00","6,951.00","6,994.00","6,924.00","5.32K","-0.20%"
"18-11-2025","6,946.00","6,899.00","6,958.00","6,890.00","13.24K","0.77%"
"17-11-2025","6,893.00","6,828.00","6,902.00","6,822.00","3.28K","0.50%"
"14-11-2025","6,859.00","6,910.00","6,920.00","6,850.00","4.36K","-0.91%"
"13-11-2025","6,922.00","6,930.00","6,969.00","6,906.00","2.41K","-0.22%"
"12-11-2025","6,937.00","6,910.00","6,950.00","6,910.00","6.10K","0.48%"
"11-11-2025","6,904.00","6,860.00","6,958.00","6,855.00","5.52K","0.71%"
"10-11-2025","6,855.00","6,838.00","6,866.00","6,827.00","3.18K","0.38%"
"07-11-2025","6,829.00","6,863.00","6,867.00","6,819.00","4.92K","-0.50%"
"06-11-2025","6,863.00","6,789.00","6,876.00","6,789.00","4.83K","0.87%"
"04-11-2025","6,804.00","6,837.00","6,837.00","6,782.00","6.48K","-0.44%"
"03-11-2025","6,834.00","6,855.00","6,875.00","6,824.00","4.23K","-0.60%"
"31-10-2025","6,875.00","6,890.00","6,895.00","6,845.00","3.47K","0.03%"
"30-10-2025","6,873.00","6,809.00","6,885.00","6,790.00","2.04K","1.07%"
"29-10-2025","6,800.00","6,794.00","6,855.00","6,794.00","1.69K","0.12%"
"28-10-2025","6,792.00","6,770.00","6,807.00","6,760.00","1.85K","0.50%"
"27-10-2025","6,758.00","6,759.00","6,769.00","6,724.00","2.27K","0.19%"
"24-10-2025","6,745.00","6,762.00","6,770.00","6,740.00","1.04K","-0.49%"
"23-10-2025","6,778.00","6,847.00","6,847.00","6,768.00","1.32K","-0.72%"
"21-10-2025","6,827.00","6,817.00","6,834.00","6,815.00","0.34K","0.95%"
"20-10-2025","6,763.00","6,788.00","6,836.00","6,752.00","3.90K","0.06%"
"17-10-2025","6,759.00","6,790.00","6,790.00","6,721.00","3.27K","0.01%"
"16-10-2025","6,758.00","6,645.00","6,770.00","6,645.00","6.55K","1.62%"
"15-10-2025","6,650.00","6,650.00","6,686.00","6,643.00","4.96K","-0.25%"
"14-10-2025","6,667.00","6,722.00","6,724.00","6,664.00","5.76K","-0.71%"
