"Date","Price","Open","High","Low","Vol.","Change %"
"30-04-2026","5,913.00","5,945.00","5,945.00","5,880.00","0.16K","1.28%"
"29-04-2026","5,838.00","5,722.00","5,935.00","5,700.00","0.07K","1.39%"
"28-04-2026","5,758.00","5,765.00","5,765.00","5,750.00","0.06K","1.43%"
"27-04-2026","5,677.00","5,714.00","5,714.00","5,633.00","0.03K","-3.12%"
"24-04-2026","5,860.00","5,856.00","5,860.00","5,856.00","0.12K","1.52%"
"23-04-2026","5,772.00","5,772.00","5,772.00","5,772.00","","-1.67%"
"22-04-2026","5,870.00","5,870.00","5,870.00","5,870.00","0.01K","-2.07%"
"21-04-2026","5,994.00","5,969.00","6,021.00","5,965.00","0.02K","1.42%"
"20-04-2026","5,910.00","5,920.00","5,965.00","5,897.00","2.55K","-0.79%"
"17-04-2026","5,957.00","5,830.00","5,975.00","5,821.00","6.48K","2.99%"
"16-04-2026","5,784.00","5,753.00","5,827.00","5,724.00","4.68K","0.21%"
"15-04-2026","5,772.00","5,828.00","5,830.00","5,751.00","4.88K","-0.21%"
"13-04-2026","5,784.00","5,731.00","5,790.00","5,715.00","0.99K","0.54%"
"10-04-2026","5,753.00","5,760.00","5,795.00","5,715.00","0.52K","-0.48%"
"09-04-2026","5,781.00","5,855.00","5,855.00","5,761.00","0.57K","-1.52%"
"08-04-2026","5,870.00","5,870.00","5,870.00","5,870.00","0.49K","1.43%"
"07-04-2026","5,787.00","5,786.00","5,870.00","5,753.00","0.07K","-1.08%"
"06-04-2026","5,850.00","5,850.00","5,850.00","5,850.00","0.11K","-0.61%"
"02-04-2026","5,886.00","5,886.00","5,886.00","5,886.00","0.08K","0.60%"
"01-04-2026","5,851.00","5,851.00","5,851.00","5,851.00","0.40K","0.36%"
"30-03-2026","5,830.00","5,830.00","5,830.00","5,830.00","","3.37%"
"27-03-2026","5,640.00","5,640.00","5,640.00","5,640.00","","-0.28%"
"25-03-2026","5,656.00","5,656.00","5,656.00","5,656.00","","1.31%"
"24-03-2026","5,583.00","5,583.00","5,583.00","5,583.00","","-0.61%"
"23-03-2026","5,617.00","5,617.00","5,617.00","5,617.00","","1.98%"
"20-03-2026","5,508.00","5,507.00","5,525.00","5,496.00","1.06K","0.92%"
"19-03-2026","5,458.00","5,515.00","5,515.00","5,442.00","2.31K","-1.37%"
"18-03-2026","5,534.00","5,455.00","5,550.00","5,455.00","4.33K","0.69%"
"17-03-2026","5,496.00","5,484.00","5,510.00","5,474.00","2.77K","-0.02%"
"16-03-2026","5,497.00","5,540.00","5,540.00","5,488.00","1.87K","0.66%"
"13-03-2026","5,461.00","5,540.00","5,540.00","5,435.00","0.20K","-2.04%"
"12-03-2026","5,575.00","5,568.00","5,590.00","5,560.00","0.03K","-0.16%"
"11-03-2026","5,584.00","5,590.00","5,590.00","5,570.00","0.02K","0.27%"
"10-03-2026","5,569.00","5,569.00","5,569.00","5,569.00","","-1.24%"
"09-03-2026","5,639.00","5,639.00","5,639.00","5,639.00","0.02K","-1.38%"
"06-03-2026","5,718.00","5,718.00","5,718.00","5,718.00","","0.00%"
"05-03-2026","5,718.00","5,718.00","5,718.00","5,718.00","","0.00%"
"04-03-2026","5,718.00","5,718.00","5,718.00","5,718.00","","0.00%"
