"Date","Price","Open","High","Low","Vol.","Change %"
"30-04-2026","1,809.50","1,809.50","1,809.50","1,809.50","","0.22%"
"29-04-2026","1,805.50","1,805.50","1,805.50","1,805.50","","2.56%"
"28-04-2026","1,760.50","1,760.50","1,760.50","1,760.50","","-2.14%"
"27-04-2026","1,799.00","1,799.00","1,799.00","1,799.00","","2.22%"
"24-04-2026","1,760.00","1,760.00","1,760.00","1,760.00","","-2.20%"
"23-04-2026","1,799.50","1,799.50","1,799.50","1,799.50","","-1.02%"
"22-04-2026","1,818.00","1,818.00","1,818.00","1,818.00","","-0.52%"
"21-04-2026","1,827.50","1,827.50","1,827.50","1,827.50","","0.11%"
"20-04-2026","1,825.50","1,825.50","1,825.50","1,825.50","","0.66%"
"17-04-2026","1,813.50","1,813.50","1,813.50","1,813.50","","1.14%"
"16-04-2026","1,793.00","1,793.00","1,793.00","1,793.00","","1.16%"
"15-04-2026","1,772.50","1,772.50","1,772.50","1,772.50","","-2.34%"
"13-04-2026","1,815.00","1,815.00","1,815.00","1,815.00","","1.17%"
"10-04-2026","1,794.00","1,794.00","1,794.00","1,794.00","","-0.14%"
"09-04-2026","1,796.50","1,796.50","1,796.50","1,796.50","","0.06%"
"08-04-2026","1,795.50","1,795.50","1,795.50","1,795.50","","-1.13%"
"07-04-2026","1,816.00","1,816.00","1,816.00","1,816.00","","0.00%"
"06-04-2026","1,816.00","1,816.00","1,816.00","1,816.00","","1.71%"
"02-04-2026","1,785.50","1,785.50","1,785.50","1,785.50","","-3.64%"
"01-04-2026","1,853.00","1,853.00","1,853.00","1,853.00","","4.60%"
"30-03-2026","1,771.50","1,771.50","1,771.50","1,771.50","","0.34%"
"27-03-2026","1,765.50","1,765.50","1,765.50","1,765.50","","-0.25%"
"25-03-2026","1,770.00","1,770.00","1,770.00","1,770.00","","1.49%"
"24-03-2026","1,744.00","1,744.00","1,744.00","1,744.00","","-0.03%"
"23-03-2026","1,744.50","1,744.50","1,744.50","1,744.50","","1.54%"
"20-03-2026","1,718.00","1,718.00","1,718.00","1,718.00","","1.00%"
"19-03-2026","1,701.00","1,701.00","1,701.00","1,701.00","","2.35%"
"18-03-2026","1,662.00","1,662.00","1,662.00","1,662.00","","-1.74%"
"17-03-2026","1,691.50","1,691.50","1,691.50","1,691.50","","-0.65%"
"16-03-2026","1,702.50","1,702.50","1,702.50","1,702.50","","0.38%"
"13-03-2026","1,696.00","1,696.00","1,696.00","1,696.00","","0.24%"
"12-03-2026","1,692.00","1,692.00","1,692.00","1,692.00","","1.32%"
"11-03-2026","1,670.00","1,670.00","1,670.00","1,670.00","","-0.12%"
"10-03-2026","1,672.00","1,672.00","1,672.00","1,672.00","","0.15%"
"09-03-2026","1,669.50","1,669.50","1,669.50","1,669.50","","1.37%"
"06-03-2026","1,647.00","1,647.00","1,647.00","1,647.00","","2.33%"
"05-03-2026","1,609.50","1,609.50","1,609.50","1,609.50","","-0.31%"
"04-03-2026","1,614.50","1,614.50","1,614.50","1,614.50","","-1.67%"
"02-03-2026","1,642.00","1,642.00","1,642.00","1,642.00","","3.01%"
"27-02-2026","1,594.00","1,594.00","1,594.00","1,594.00","","2.08%"
"26-02-2026","1,561.50","1,561.50","1,561.50","1,561.50","","-1.85%"
"25-02-2026","1,591.00","1,591.00","1,591.00","1,591.00","","2.94%"
"24-02-2026","1,545.50","1,545.50","1,545.50","1,545.50","","-0.58%"
"23-02-2026","1,554.50","1,554.50","1,554.50","1,554.50","","0.13%"
"20-02-2026","1,552.50","1,552.50","1,552.50","1,552.50","","0.00%"
"19-02-2026","1,552.50","1,552.50","1,552.50","1,552.50","","0.10%"
"18-02-2026","1,551.00","1,551.00","1,551.00","1,551.00","","-1.12%"
"17-02-2026","1,568.50","1,568.50","1,568.50","1,568.50","","0.22%"
"16-02-2026","1,565.00","1,565.00","1,565.00","1,565.00","","-0.48%"
"13-02-2026","1,572.50","1,572.50","1,572.50","1,572.50","","0.77%"
"12-02-2026","1,560.50","1,560.50","1,560.50","1,560.50","","-0.89%"
"11-02-2026","1,574.50","1,574.50","1,574.50","1,574.50","","0.10%"
"10-02-2026","1,573.00","1,573.00","1,573.00","1,573.00","","0.74%"
"09-02-2026","1,561.50","1,561.50","1,561.50","1,561.50","","-1.11%"
"06-02-2026","1,579.00","1,579.00","1,579.00","1,579.00","","-1.56%"
"05-02-2026","1,604.00","1,604.00","1,604.00","1,604.00","","0.09%"
"04-02-2026","1,602.50","1,602.50","1,602.50","1,602.50","","0.03%"
"03-02-2026","1,602.00","1,602.00","1,602.00","1,602.00","","0.00%"
"02-02-2026","1,602.00","1,602.00","1,602.00","1,602.00","","0.03%"
"01-02-2026","1,601.50","1,601.50","1,601.50","1,601.50","","-1.20%"
"30-01-2026","1,621.00","1,621.00","1,621.00","1,621.00","","-0.52%"
"29-01-2026","1,629.50","1,629.50","1,629.50","1,629.50","","0.40%"
"28-01-2026","1,623.00","1,623.00","1,623.00","1,623.00","","-0.73%"
"27-01-2026","1,635.00","1,635.00","1,635.00","1,635.00","","0.18%"
"23-01-2026","1,632.00","1,632.00","1,632.00","1,632.00","","-0.76%"
"22-01-2026","1,644.50","1,644.50","1,644.50","1,644.50","","-1.17%"
"21-01-2026","1,664.00","1,664.00","1,664.00","1,664.00","","0.85%"
"20-01-2026","1,650.00","1,650.00","1,650.00","1,650.00","","-0.99%"
"19-01-2026","1,666.50","1,666.50","1,666.50","1,666.50","","-1.54%"
"16-01-2026","1,692.50","1,692.50","1,692.50","1,692.50","","-0.50%"
"14-01-2026","1,701.00","1,701.00","1,701.00","1,701.00","","-0.85%"
"13-01-2026","1,715.50","1,715.50","1,715.50","1,715.50","","-1.92%"
"12-01-2026","1,749.00","1,749.00","1,749.00","1,749.00","","2.76%"
"09-01-2026","1,702.00","1,702.00","1,702.00","1,702.00","","1.19%"
"08-01-2026","1,682.00","1,682.00","1,682.00","1,682.00","","0.00%"
"07-01-2026","1,682.00","1,682.00","1,682.00","1,682.00","","-0.85%"
"06-01-2026","1,696.50","1,696.50","1,696.50","1,696.50","","0.21%"
"05-01-2026","1,693.00","1,693.00","1,693.00","1,693.00","","1.65%"
"02-01-2026","1,665.50","1,665.50","1,665.50","1,665.50","","1.12%"
"01-01-2026","1,647.00","1,647.00","1,647.00","1,647.00","","-0.75%"
"31-12-2025","1,659.50","1,659.50","1,659.50","1,659.50","","2.00%"
"30-12-2025","1,627.00","1,627.00","1,627.00","1,627.00","","-2.31%"
"29-12-2025","1,665.50","1,665.50","1,665.50","1,665.50","","-0.09%"
"26-12-2025","1,667.00","1,667.00","1,667.00","1,667.00","","0.45%"
"24-12-2025","1,659.50","1,659.50","1,659.50","1,659.50","","-0.24%"
"23-12-2025","1,663.50","1,663.50","1,663.50","1,663.50","","1.00%"
"22-12-2025","1,647.00","1,647.00","1,647.00","1,647.00","","-0.06%"
"19-12-2025","1,648.00","1,648.00","1,648.00","1,648.00","","-0.36%"
"18-12-2025","1,654.00","1,654.00","1,654.00","1,654.00","","0.12%"
"17-12-2025","1,652.00","1,652.00","1,652.00","1,652.00","","2.35%"
"16-12-2025","1,614.00","1,614.00","1,614.00","1,614.00","","1.22%"
"15-12-2025","1,594.50","1,594.50","1,594.50","1,594.50","","0.00%"
"12-12-2025","1,594.50","1,594.50","1,594.50","1,594.50","","-1.79%"
"11-12-2025","1,623.50","1,623.50","1,623.50","1,623.50","","0.00%"
"10-12-2025","1,623.50","1,623.50","1,623.50","1,623.50","","0.22%"
"09-12-2025","1,620.00","1,620.00","1,620.00","1,620.00","","0.00%"
"08-12-2025","1,620.00","1,620.00","1,620.00","1,620.00","","0.19%"
"05-12-2025","1,617.00","1,617.00","1,617.00","1,617.00","","0.03%"
"04-12-2025","1,616.50","1,616.50","1,616.50","1,616.50","","-0.06%"
"03-12-2025","1,617.50","1,617.50","1,617.50","1,617.50","","0.00%"
"02-12-2025","1,617.50","1,617.50","1,617.50","1,617.50","","-1.28%"
"01-12-2025","1,638.50","1,638.50","1,638.50","1,638.50","","6.53%"
"28-11-2025","1,538.00","1,540.00","1,540.00","1,537.00","0.00K","-0.03%"
"27-11-2025","1,538.50","1,545.00","1,545.00","1,535.00","0.02K","-0.45%"
"26-11-2025","1,545.50","1,545.00","1,548.00","1,541.00","0.01K","1.01%"
"25-11-2025","1,530.00","1,530.00","1,530.00","1,530.00","","0.00%"
"24-11-2025","1,530.00","1,530.00","1,530.00","1,530.00","","0.00%"
"21-11-2025","1,530.00","1,530.00","1,530.00","1,530.00","","0.00%"
"20-11-2025","1,530.00","1,530.00","1,530.00","1,530.00","","0.00%"
"19-11-2025","1,530.00","1,530.00","1,530.00","1,530.00","0.00K","0.26%"
"18-11-2025","1,526.00","1,526.00","1,526.00","1,526.00","0.00K","-0.03%"
"17-11-2025","1,526.50","1,516.00","1,528.00","1,516.00","0.01K","-0.10%"
"14-11-2025","1,528.00","1,528.00","1,528.00","1,528.00","","0.00%"
"13-11-2025","1,528.00","1,529.00","1,535.00","1,525.00","0.01K","3.91%"
"12-11-2025","1,470.50","1,470.50","1,470.50","1,470.50","","-3.92%"
"11-11-2025","1,530.50","1,526.00","1,533.00","1,526.00","0.00K","-1.13%"
"10-11-2025","1,548.00","1,547.50","1,548.00","1,547.50","0.00K","0.95%"
"07-11-2025","1,533.50","1,534.50","1,534.50","1,532.00","0.00K","-1.06%"
"06-11-2025","1,550.00","1,550.00","1,550.00","1,550.00","0.00K","-0.45%"
"04-11-2025","1,557.00","1,560.00","1,560.00","1,555.00","0.00K","1.76%"
"03-11-2025","1,530.00","1,530.00","1,530.00","1,530.00","","-1.67%"
"31-10-2025","1,556.00","1,557.00","1,560.00","1,553.00","0.00K","0.58%"
"30-10-2025","1,547.00","1,560.00","1,560.00","1,540.00","0.01K","-1.12%"
"29-10-2025","1,564.50","1,563.50","1,565.00","1,563.50","0.00K","0.10%"
"28-10-2025","1,563.00","1,566.00","1,566.00","1,560.00","0.01K","0.10%"
"27-10-2025","1,561.50","1,560.00","1,562.00","1,560.00","0.01K","0.35%"
"24-10-2025","1,556.00","1,556.00","1,556.00","1,556.00","0.00K","-0.26%"
"23-10-2025","1,560.00","1,553.50","1,560.00","1,553.50","0.02K","2.56%"
"21-10-2025","1,521.00","1,521.00","1,521.00","1,521.00","","-2.50%"
"20-10-2025","1,560.00","1,559.00","1,560.00","1,559.00","0.01K","0.81%"
"17-10-2025","1,547.50","1,550.00","1,550.00","1,541.00","0.01K","1.78%"
"16-10-2025","1,520.50","1,520.50","1,520.50","1,520.50","","-0.36%"
"15-10-2025","1,526.00","1,526.00","1,526.00","1,526.00","","-2.21%"
"14-10-2025","1,560.50","1,561.00","1,561.00","1,560.00","0.01K","-0.54%"
"13-10-2025","1,569.00","1,569.00","1,569.00","1,569.00","0.00K","-0.13%"
"10-10-2025","1,571.00","1,572.00","1,575.00","1,566.00","0.01K","-0.06%"
"09-10-2025","1,572.00","1,570.00","1,574.00","1,569.00","0.01K","0.51%"
"08-10-2025","1,564.00","1,560.00","1,566.00","1,560.00","0.01K","-0.29%"
"07-10-2025","1,568.50","1,568.50","1,568.50","1,568.50","","0.19%"
"06-10-2025","1,565.50","1,565.50","1,565.50","1,565.50","","0.45%"
"03-10-2025","1,558.50","1,555.00","1,560.00","1,555.00","0.01K","0.42%"
"01-10-2025","1,552.00","1,560.00","1,560.00","1,550.00","0.01K","-1.27%"
"30-09-2025","1,572.00","1,572.00","1,572.00","1,572.00","","1.00%"
"29-09-2025","1,556.50","1,550.00","1,560.00","1,550.00","0.01K","-0.22%"
"26-09-2025","1,560.00","1,560.00","1,560.00","1,560.00","0.00K","-1.36%"
"25-09-2025","1,581.50","1,581.50","1,581.50","1,581.50","","1.90%"
"24-09-2025","1,552.00","1,555.00","1,555.00","1,550.00","0.00K","-0.42%"
"23-09-2025","1,558.50","1,553.00","1,569.50","1,553.00","0.01K","0.45%"
"22-09-2025","1,551.50","1,554.00","1,554.00","1,550.00","0.01K","-0.58%"
"19-09-2025","1,560.50","1,563.00","1,563.00","1,557.00","0.01K","-0.38%"
"18-09-2025","1,566.50","1,565.00","1,569.00","1,562.50","0.00K","0.10%"
"17-09-2025","1,565.00","1,565.00","1,570.00","1,560.00","0.01K","-3.19%"
