"Date","Price","Open","High","Low","Vol.","Change %"
"30-04-2026","15,932.00","16,048.00","16,048.00","15,832.00","2.12K","-0.39%"
"29-04-2026","15,994.00","16,140.00","16,220.00","15,956.00","3.18K","-0.14%"
"28-04-2026","16,016.00","16,100.00","16,200.00","15,890.00","2.14K","-0.52%"
"27-04-2026","16,100.00","16,448.00","16,520.00","15,932.00","3.35K","-1.96%"
"24-04-2026","16,422.00","16,432.00","16,668.00","16,372.00","4.39K","-0.32%"
"23-04-2026","16,474.00","16,024.00","16,544.00","15,892.00","5.83K","2.23%"
"22-04-2026","16,114.00","16,140.00","16,290.00","16,010.00","2.31K","-0.32%"
"21-04-2026","16,166.00","16,120.00","16,240.00","15,816.00","2.88K","-3.97%"
"20-04-2026","16,834.00","16,600.00","17,000.00","16,600.00","1.82K","-0.26%"
"17-04-2026","16,878.00","16,390.00","17,000.00","16,390.00","1.25K","2.94%"
"16-04-2026","16,396.00","16,334.00","16,430.00","16,250.00","3.62K","1.18%"
"15-04-2026","16,204.00","15,900.00","16,420.00","15,800.00","3.53K","1.19%"
"13-04-2026","16,014.00","16,104.00","16,130.00","15,752.00","2.00K","-2.58%"
"10-04-2026","16,438.00","16,520.00","16,680.00","16,382.00","2.00K","-0.89%"
"09-04-2026","16,586.00","16,766.00","16,798.00","16,550.00","3.20K","-1.78%"
"08-04-2026","16,886.00","16,398.00","16,948.00","16,398.00","7.37K","4.11%"
"07-04-2026","16,220.00","16,400.00","16,450.00","16,032.00","2.36K","-0.16%"
"06-04-2026","16,246.00","15,800.00","16,300.00","15,652.00","4.43K","3.29%"
"02-04-2026","15,728.00","15,570.00","15,936.00","15,300.00","2.43K","1.26%"
"01-04-2026","15,532.00","15,790.00","16,140.00","15,462.00","2.72K","-0.21%"
"30-03-2026","15,564.00","14,880.00","15,676.00","14,800.00","4.35K","4.91%"
"27-03-2026","14,836.00","14,420.00","14,880.00","14,350.00","3.62K","2.71%"
"25-03-2026","14,444.00","14,190.00","14,548.00","14,190.00","2.45K","1.95%"
"24-03-2026","14,168.00","14,400.00","14,400.00","14,056.00","2.07K","-0.35%"
"23-03-2026","14,218.00","14,418.00","14,418.00","13,816.00","5.57K","-2.16%"
"20-03-2026","14,532.00","14,820.00","14,848.00","14,422.00","1.95K","-1.42%"
"19-03-2026","14,742.00","14,948.00","14,948.00","14,562.00","1.37K","-0.91%"
"18-03-2026","14,878.00","14,880.00","15,050.00","14,752.00","1.37K","0.68%"
"17-03-2026","14,778.00","14,818.00","14,926.00","14,676.00","0.79K","-0.08%"
"16-03-2026","14,790.00","14,600.00","14,958.00","14,554.00","1.35K","0.23%"
"13-03-2026","14,756.00","14,500.00","15,070.00","14,448.00","2.12K","1.49%"
"12-03-2026","14,540.00","14,520.00","14,658.00","14,410.00","1.92K","-0.34%"
"11-03-2026","14,590.00","14,900.00","14,900.00","14,526.00","2.59K","-1.02%"
"10-03-2026","14,740.00","14,500.00","15,190.00","14,452.00","4.01K","0.92%"
"09-03-2026","14,606.00","14,416.00","14,666.00","14,082.00","2.26K","-0.42%"
"06-03-2026","14,668.00","15,000.00","15,140.00","14,600.00","2.24K","-2.32%"
"05-03-2026","15,016.00","14,500.00","15,066.00","14,400.00","3.31K","3.02%"
"04-03-2026","14,576.00","14,576.00","14,650.00","14,236.00","3.45K","-1.69%"
"02-03-2026","14,826.00","15,350.00","15,350.00","14,658.00","4.37K","-4.25%"
"27-02-2026","15,484.00","15,550.00","15,748.00","15,210.00","2.48K","-0.72%"
"26-02-2026","15,596.00","16,126.00","16,198.00","15,510.00","2.41K","-2.35%"
"25-02-2026","15,972.00","16,066.00","16,350.00","15,752.00","6.56K","-0.75%"
"24-02-2026","16,092.00","15,430.00","16,204.00","15,360.00","4.65K","3.27%"
"23-02-2026","15,582.00","15,950.00","16,380.00","15,400.00","5.30K","-1.50%"
"20-02-2026","15,820.00","15,578.00","15,896.00","15,542.00","4.28K","2.29%"
"19-02-2026","15,466.00","15,460.00","15,624.00","15,212.00","1.76K","0.12%"
"18-02-2026","15,448.00","15,190.00","15,692.00","15,180.00","3.93K","2.37%"
"17-02-2026","15,090.00","14,700.00","15,400.00","14,510.00","3.09K","1.81%"
"16-02-2026","14,822.00","14,910.00","15,100.00","14,800.00","1.94K","-1.36%"
"13-02-2026","15,026.00","15,402.00","15,500.00","14,970.00","2.90K","-2.15%"
"12-02-2026","15,356.00","15,592.00","15,800.00","14,916.00","6.47K","-2.25%"
"11-02-2026","15,710.00","16,190.00","16,250.00","15,612.00","4.38K","-2.51%"
"10-02-2026","16,114.00","15,578.00","16,250.00","15,482.00","4.52K","3.10%"
"09-02-2026","15,630.00","16,072.00","16,072.00","15,516.00","4.16K","-2.59%"
"06-02-2026","16,046.00","16,700.00","16,800.00","15,848.00","3.93K","-4.10%"
"05-02-2026","16,732.00","16,700.00","16,848.00","16,626.00","0.84K","-0.40%"
"04-02-2026","16,800.00","16,550.00","16,950.00","16,550.00","1.56K","0.12%"
"03-02-2026","16,780.00","16,500.00","17,060.00","16,442.00","2.65K","1.39%"
"02-02-2026","16,550.00","16,226.00","16,700.00","15,900.00","2.48K","1.37%"
"01-02-2026","16,326.00","16,650.00","16,760.00","16,232.00","3.30K","-2.62%"
"30-01-2026","16,766.00","17,180.00","17,180.00","16,600.00","2.53K","-0.88%"
"29-01-2026","16,914.00","16,780.00","17,000.00","16,210.00","4.39K","1.49%"
"28-01-2026","16,666.00","17,100.00","17,300.00","16,564.00","4.04K","-2.98%"
"27-01-2026","17,178.00","17,380.00","17,540.00","17,000.00","5.33K","-2.19%"
"23-01-2026","17,562.00","18,080.00","18,160.00","17,140.00","3.28K","-1.64%"
"22-01-2026","17,854.00","17,940.00","18,000.00","17,624.00","2.11K","-0.52%"
"21-01-2026","17,948.00","17,722.00","18,100.00","17,662.00","2.14K","0.94%"
"20-01-2026","17,780.00","18,166.00","18,288.00","17,664.00","2.86K","-1.55%"
"19-01-2026","18,060.00","17,550.00","18,196.00","17,320.00","5.20K","3.86%"
"16-01-2026","17,388.00","17,160.00","17,518.00","16,902.00","4.90K","0.02%"
"14-01-2026","17,384.00","17,774.00","18,016.00","17,210.00","2.16K","-0.75%"
"13-01-2026","17,516.00","17,900.00","17,950.00","17,320.00","3.26K","-1.94%"
"12-01-2026","17,862.00","17,500.00","18,000.00","17,464.00","2.41K","1.41%"
"09-01-2026","17,614.00","18,040.00","18,198.00","17,454.00","1.92K","0.05%"
"08-01-2026","17,606.00","17,680.00","17,928.00","16,724.00","5.46K","-0.97%"
"07-01-2026","17,778.00","18,424.00","18,780.00","17,630.00","5.41K","-3.09%"
"06-01-2026","18,344.00","18,394.00","19,050.00","17,888.00","6.36K","-0.19%"
"05-01-2026","18,378.00","18,578.00","18,712.00","18,150.00","3.32K","-0.58%"
"02-01-2026","18,486.00","18,250.00","18,746.00","18,136.00","5.68K","3.85%"
"01-01-2026","17,800.00","17,390.00","18,008.00","17,060.00","4.18K","2.80%"
"31-12-2025","17,316.00","17,318.00","17,450.00","17,122.00","2.42K","0.43%"
"30-12-2025","17,242.00","17,010.00","17,300.00","16,650.00","1.90K","1.02%"
"29-12-2025","17,068.00","17,200.00","17,670.00","16,852.00","2.49K","-0.35%"
"26-12-2025","17,128.00","16,800.00","17,274.00","16,600.00","4.12K","2.55%"
"24-12-2025","16,702.00","16,620.00","16,850.00","16,360.00","3.10K","-0.61%"
