month,detail_url
2019-01,https://www.sebi.gov.in/reports/sebi-bulletin/jan-2019/sebi-bulletin-january-2019_41803.html
2019-02,https://www.sebi.gov.in/reports/sebi-bulletin/feb-2019/sebi-bulletin-february-2019_42164.html
2019-03,https://www.sebi.gov.in/reports/sebi-bulletin/mar-2019/sebi-bulletin-march-2019_42479.html
2019-04,https://www.sebi.gov.in/reports/sebi-bulletin/apr-2019/sebi-bulletin-april-2019_42871.html
2019-05,https://www.sebi.gov.in/reports/sebi-bulletin/may-2019/sebi-bulletin-may-2019_43102.html
2019-06,https://www.sebi.gov.in/reports/sebi-bulletin/jun-2019/sebi-bulletin-june-2019_43369.html
2019-07,https://www.sebi.gov.in/reports/sebi-bulletin/jul-2019/sebi-bulletin-july-2019_43679.html
2019-08,MISSING
2019-09,MISSING
2019-10,https://www.sebi.gov.in/reports-and-statistics/sebi-bulletin/oct-2019/sebi-bulletin-october-2019_44709.html
2019-11,https://www.sebi.gov.in/reports-and-statistics/sebi-bulletin/nov-2019/sebi-bulletin-november-2019_45024.html
2019-12,https://www.sebi.gov.in/reports-and-statistics/sebi-bulletin/dec-2019/sebi-bulletin-december-2019_45357.html
2020-01,https://www.sebi.gov.in/reports-and-statistics/publications/jan-2020/sebi-bulletin-january-2020_45726.html
2020-02,https://www.sebi.gov.in/reports-and-statistics/publications/feb-2020/sebi-bulletin-february-2020_46054.html
2020-03,https://www.sebi.gov.in/reports-and-statistics/publications/mar-2020/sebi-bulletin-march-2020_46431.html
2020-04,https://www.sebi.gov.in/reports-and-statistics/publications/apr-2020/sebi-bulletin-april-2020_46619.html
2020-05,https://www.sebi.gov.in/reports-and-statistics/publications/jun-2020/sebi-bulletin-may-2020_46787.html
2020-06,https://www.sebi.gov.in/reports-and-statistics/publications/jul-2020/sebi-bulletin-june-2020_47066.html
2020-07,https://www.sebi.gov.in/reports-and-statistics/publications/aug-2020/sebi-bulletin-july-2020_47265.html
2020-08,https://www.sebi.gov.in/reports-and-statistics/publications/sep-2020/sebi-bulletin-august-2020_47506.html
2020-09,https://www.sebi.gov.in/reports-and-statistics/publications/oct-2020/sebi-bulletin-september-2020_47804.html
2020-10,https://www.sebi.gov.in/reports-and-statistics/publications/nov-2020/sebi-bulletin-october-2020_48063.html
2020-11,https://www.sebi.gov.in/reports-and-statistics/publications/dec-2020/sebi-bulletin-november-2020_48362.html
2020-12,https://www.sebi.gov.in/reports-and-statistics/publications/jan-2021/sebi-bulletin-december-2020_48721.html
2021-01,https://www.sebi.gov.in/reports-and-statistics/publications/feb-2021/sebi-bulletin-january-2021_48986.html
2021-02,https://www.sebi.gov.in/reports-and-statistics/publications/mar-2021/sebi-bulletin-february-2021_49414.html
2021-03,https://www.sebi.gov.in/reports-and-statistics/publications/apr-2021/sebi-bulletin-march-2021_49910.html
2021-04,https://www.sebi.gov.in/reports-and-statistics/publications/may-2021/sebi-bulletin-april-2021_50217.html
2021-05,https://www.sebi.gov.in/reports-and-statistics/publications/aug-2021/sebi-bulletin-may-2021_51538.html
2021-06,https://www.sebi.gov.in/reports-and-statistics/publications/aug-2021/sebi-bulletin-june-2021_51851.html
2021-07,https://www.sebi.gov.in/reports-and-statistics/publications/sep-2021/sebi-bulletin-july-2021_52484.html
2021-08,https://www.sebi.gov.in/reports-and-statistics/publications/sep-2021/sebi-bulletin-august-2021_52812.html
2021-09,https://www.sebi.gov.in/reports-and-statistics/publications/oct-2021/sebi-bulletin-september-2021_53196.html
2021-10,https://www.sebi.gov.in/reports-and-statistics/publications/nov-2021/sebi-bulletin-october-2021_53714.html
2021-11,https://www.sebi.gov.in/reports-and-statistics/publications/nov-2021/sebi-bulletin-november-2021_54284.html
2021-12,https://www.sebi.gov.in/reports-and-statistics/publications/dec-2021/sebi-bulletin-december-2021_54874.html
