spec,beta,effect_pct,p_default,p_t_Gminus1,G_clusters,nobs,n_units
baseline (primary),-0.1059,-10.0,0.1235,0.1475,14,139816,2243
winsorize rv30 @p99,-0.1056,-10.0,0.1223,0.1463,14,139816,2243
drop rv30>5 (noisy tail),-0.108,-10.2,0.1094,0.1334,14,135859,2219
min 24 months/district,-0.1031,-9.8,0.1353,0.1591,14,134444,1738
min 36 months/district,-0.0939,-9.0,0.1822,0.2051,14,130113,1582
robust (min24 + winsor + tail),-0.1054,-10.0,0.1218,0.1458,14,130880,1733
ex-chana,-0.0758,-7.3,0.2891,0.31,13,119987,1965
ex-mustard,-0.1007,-9.6,0.2054,0.2294,13,123136,2004
ex-wheat,-0.1698,-15.6,0.0003,0.0037,13,116488,1917
ex-soybean,-0.1023,-9.7,0.1696,0.1947,13,130162,2113
ex-moong,-0.0887,-8.5,0.2202,0.2437,13,127364,1998
