commodity,group,q,n_pre,n_post,vr_pre,z_pre,z1_pre,vr_post,z_post,z1_post,ineff_pre,ineff_post,d_ineff
chana,banned,2,1294,1001,0.6780564682477206,-6.678983906841704,-11.581020814351705,0.6318502769925987,-5.7834163608016445,-11.647735950345748,0.3219435317522794,0.36814972300740134,0.04620619125512193
chana,banned,5,1294,1001,0.4362449540970034,-6.19947371514516,-9.25629019015279,0.35666061931114,-5.493706100922991,-9.290445857437259,0.5637550459029965,0.64333938068886,0.07958433478586346
chana,banned,10,1294,1001,0.3447414658026149,-5.350459363359028,-6.981156894965556,0.2351293602879577,-4.896285242850952,-7.167250828430087,0.6552585341973851,0.7648706397120423,0.10961210551465717
mustard,banned,2,1294,1001,0.7648480999364806,-5.7718436690776596,-8.458933883055684,0.7052046900328052,-6.145717864072704,-9.326906188733386,0.23515190006351938,0.29479530996719483,0.05964340990367545
mustard,banned,5,1294,1001,0.5896740471748236,-5.150010633122492,-6.737138974635985,0.48413977747964293,-5.577168409767744,-7.449522928627866,0.41032595282517637,0.515860222520357,0.10553426969518065
mustard,banned,10,1294,1001,0.575704387305965,-3.7443664083722235,-4.520466483799088,0.4660902126766933,-4.06984115628397,-5.00302295162037,0.42429561269403504,0.5339097873233067,0.1096141746292717
soybean,banned,2,1294,1001,0.7595686903512323,-4.886362089052754,-8.648845921236633,0.6850964890117708,-5.03717471300898,-9.963101196612755,0.2404313096487677,0.3149035109882292,0.07447220133946153
soybean,banned,5,1294,1001,0.7512108454924381,-2.5388739953931694,-4.084867402997929,0.5299392833694413,-3.9511690585134396,-6.788133555400091,0.2487891545075619,0.4700607166305587,0.2212715621229968
soybean,banned,10,1294,1001,0.8476789819102918,-1.0757974845147185,-1.6228356750632051,0.5225774703558779,-2.976433347234129,-4.473706851123558,0.15232101808970822,0.47742252964412213,0.3251015115544139
moong,banned,2,1294,1001,0.6018752268772852,-8.81475319257946,-14.321428541049002,0.633343458888649,-6.802526392471919,-11.60049378944188,0.39812477312271477,0.36665654111135104,-0.03146823201136373
moong,banned,5,1294,1001,0.3241364347520033,-7.823527408864124,-11.096999192027045,0.3494227801502672,-6.36597614629958,-9.394967288687011,0.6758635652479967,0.6505772198497328,-0.02528634539826391
moong,banned,10,1294,1001,0.2296497648535808,-6.5670580094977185,-8.207349580296734,0.2583104071837626,-5.403477758991018,-6.9500319041550185,0.7703502351464192,0.7416895928162375,-0.02866064233018173
wheat,banned_flagged,2,1294,1001,0.6230129850612693,-8.66427595836158,-13.561056633077847,0.6977999072396907,-6.008585222683819,-9.561183031424715,0.37698701493873066,0.30220009276030935,-0.07478692217842131
wheat,banned_flagged,5,1294,1001,0.47763159856756704,-6.360539326923901,-8.5767631615253,0.6539467000117324,-3.6145133700381815,-4.997345948084233,0.522368401432433,0.3460532999882676,-0.1763151014441654
wheat,banned_flagged,10,1294,1001,0.49420696348218884,-4.473262435299728,-5.388744075858499,0.7542975734142006,-1.8414126728191895,-2.3023643856395606,0.5057930365178112,0.24570242658579944,-0.2600906099320117
