commodity,group,n_mandi,share_pre,share_post,d_share,hl_pre,hl_post,npairs_pre,npairs_post
chana,banned,8,1.0,0.8571428571428571,-0.1428571428571429,1.9485771679847976,1.8734657056938016,28,28
mustard,banned,8,0.5714285714285714,0.5714285714285714,0.0,1.002429030280819,6.432351449774956,28,28
soybean,banned,8,1.0,0.8571428571428571,-0.1428571428571429,1.7074944342907807,1.4010429173224175,28,28
moong,banned,8,0.75,0.39285714285714285,-0.35714285714285715,2.7602313990248497,3.3331237857348217,28,28
wheat,banned_flagged,8,0.39285714285714285,0.5714285714285714,0.17857142857142855,7.061110586000277,3.1127302719529615,28,28
castor,control,8,0.6428571428571429,0.6428571428571429,0.0,0.46788653823519544,0.5492855216476529,28,28
guarseed413,control,8,0.8928571428571429,0.9642857142857143,0.0714285714285714,1.1921485257027167,1.0439130911513859,28,28
jeera,control,8,0.6428571428571429,0.8214285714285714,0.1785714285714285,0.7503972139264745,1.4581573833848438,28,28
turmeric,control,8,0.32142857142857145,0.6071428571428571,0.28571428571428564,3.983174910720688,4.096102792995107,28,28
cotton,control,8,0.6785714285714286,0.42857142857142855,-0.25000000000000006,2.884041678801208,1.6015931185575827,28,28
