treated_reference,treat_date,control,q,n_pre,n_post,vr_pre,vr_post,z2_pre,z2_post,ineff_pre,ineff_post,d_ineff
chana,2021-08-16,castor,2,1194,1080,0.6592164818889608,0.6492664765282916,-6.751627360912693,-5.872133391365407,0.34078351811103924,0.3507335234717084,0.009950005360669145
chana,2021-08-16,guarseed413,2,1181,1085,0.6500674558983005,0.6819443079610044,-7.547812181420491,-7.712014707083157,0.3499325441016995,0.31805569203899564,-0.03187685206270385
chana,2021-08-16,jeera,2,1191,1078,0.6520050207258771,0.6235606803410565,-4.8669730408826775,-8.067176251481614,0.34799497927412293,0.3764393196589435,0.028444340384820577
chana,2021-08-16,turmeric,2,1204,1088,0.4925682696342874,0.5176742762616375,-11.679239212418052,-9.731539663640236,0.5074317303657125,0.48232572373836247,-0.025106006627350075
chana,2021-08-16,cotton,2,1203,1091,0.6733694075755339,0.6027457225055736,-6.23796879135351,-8.557831378593272,0.3266305924244661,0.39725427749442643,0.0706236850699603
chana,2021-08-16,castor,5,1194,1080,0.44931915814201995,0.3912335132439596,-5.643101244091564,-5.6041853754236985,0.55068084185798,0.6087664867560404,0.05808564489806034
chana,2021-08-16,guarseed413,5,1181,1085,0.48720305530838787,0.4759842026301561,-5.566608255244051,-6.228173453159669,0.5127969446916121,0.5240157973698438,0.01121885267823175
chana,2021-08-16,jeera,5,1191,1078,0.3964150546963359,0.4548585715501652,-4.36275068254114,-5.798548930053514,0.6035849453036641,0.5451414284498348,-0.058443516853829314
chana,2021-08-16,turmeric,5,1204,1088,0.16758171389513407,0.20590416909106965,-10.216174637125093,-8.342944438783713,0.8324182861048659,0.7940958309089303,-0.03832245519593558
chana,2021-08-16,cotton,5,1203,1091,0.46510571077138274,0.4199662983088529,-5.002899284425561,-6.065414505474363,0.5348942892286173,0.5800337016911471,0.04513941246252984
chana,2021-08-16,castor,10,1194,1080,0.34848645166527575,0.25519187033504753,-4.650203103878193,-5.247271548038188,0.6515135483347243,0.7448081296649525,0.09329458133022817
chana,2021-08-16,guarseed413,10,1181,1085,0.4677016063119254,0.41442268156900147,-4.0176568378796915,-4.8053012260499885,0.5322983936880745,0.5855773184309985,0.05327892474292395
chana,2021-08-16,jeera,10,1191,1078,0.25742434057646024,0.38211279321291985,-3.8384275983319847,-4.696599271372671,0.7425756594235398,0.6178872067870802,-0.12468845263645956
chana,2021-08-16,turmeric,10,1204,1088,0.09678812850046015,0.12172172570360773,-7.65246666051815,-6.538940135099759,0.9032118714995399,0.8782782742963923,-0.024933597203147584
chana,2021-08-16,cotton,10,1203,1091,0.42295072055741967,0.39961653637187267,-3.623938868858232,-4.225597528316623,0.5770492794425803,0.6003834636281273,0.023334184185547002
mustard,2021-10-08,castor,2,1233,1041,0.6624211237006823,0.6436791425257122,-6.871988216373596,-5.643178933960025,0.3375788762993177,0.35632085747428777,0.018741981174970057
