treated_reference,treat_date,control,n_mandi,share_pre,share_post,d_share,hl_pre,hl_post,d_hl,npairs_pre,npairs_post
chana,2021-08-16,castor,8,0.6071428571428571,0.5714285714285714,-0.0357142857142857,0.470193046315606,0.5054283203905832,0.035235274074977174,28,28
chana,2021-08-16,guarseed413,8,0.9642857142857143,0.8571428571428571,-0.1071428571428572,1.0507475514044458,1.2101986739775055,0.1594511225730597,28,28
chana,2021-08-16,jeera,8,0.7857142857142857,0.8571428571428571,0.0714285714285714,1.0821863566243417,1.4724484842055774,0.3902621275812357,28,28
chana,2021-08-16,turmeric,8,0.42857142857142855,0.6428571428571429,0.21428571428571436,4.4406899781588365,2.9793651874208518,-1.4613247907379847,28,28
chana,2021-08-16,cotton,8,0.5357142857142857,0.4642857142857143,-0.0714285714285714,1.4369213642438494,1.9366626767300938,0.4997413124862444,28,28
mustard,2021-10-08,castor,8,0.6428571428571429,0.5714285714285714,-0.07142857142857151,0.4572419201202735,0.5030833429697864,0.045841422849512925,28,28
mustard,2021-10-08,guarseed413,8,0.8928571428571429,0.8214285714285714,-0.07142857142857151,1.115832340148294,0.9606037328610145,-0.15522860728727939,28,28
mustard,2021-10-08,jeera,8,0.6428571428571429,0.8571428571428571,0.2142857142857142,0.7397820846871654,1.4827800954125792,0.7429980107254137,28,28
mustard,2021-10-08,turmeric,8,0.2857142857142857,0.6071428571428571,0.3214285714285714,3.560665357048291,2.6212451273984874,-0.9394202296498038,28,28
mustard,2021-10-08,cotton,8,0.6428571428571429,0.5,-0.1428571428571429,3.202551809494322,1.9289651229400944,-1.2735866865542276,28,28
soybean,2021-12-20,castor,8,0.6428571428571429,0.6428571428571429,0.0,0.46788653823519544,0.5492855216476529,0.08139898341245744,28,28
soybean,2021-12-20,guarseed413,8,0.8928571428571429,0.9642857142857143,0.0714285714285714,1.1921485257027167,1.0439130911513859,-0.1482354345513308,28,28
soybean,2021-12-20,jeera,8,0.6428571428571429,0.8214285714285714,0.1785714285714285,0.7503972139264745,1.4581573833848438,0.7077601694583693,28,28
soybean,2021-12-20,turmeric,8,0.32142857142857145,0.6071428571428571,0.28571428571428564,3.983174910720688,4.096102792995107,0.11292788227441886,28,28
soybean,2021-12-20,cotton,8,0.6785714285714286,0.42857142857142855,-0.25000000000000006,2.884041678801208,1.6015931185575827,-1.2824485602436253,28,28
moong,2021-12-20,castor,8,0.6428571428571429,0.6428571428571429,0.0,0.46788653823519544,0.5492855216476529,0.08139898341245744,28,28
moong,2021-12-20,guarseed413,8,0.8928571428571429,0.9642857142857143,0.0714285714285714,1.1921485257027167,1.0439130911513859,-0.1482354345513308,28,28
moong,2021-12-20,jeera,8,0.6428571428571429,0.8214285714285714,0.1785714285714285,0.7503972139264745,1.4581573833848438,0.7077601694583693,28,28
moong,2021-12-20,turmeric,8,0.32142857142857145,0.6071428571428571,0.28571428571428564,3.983174910720688,4.096102792995107,0.11292788227441886,28,28
moong,2021-12-20,cotton,8,0.6785714285714286,0.42857142857142855,-0.25000000000000006,2.884041678801208,1.6015931185575827,-1.2824485602436253,28,28
