commodity,pre_amp,post_amp,pre_low_mo,post_low_mo,delta,banned
bajra,0.0417,0.0586,10,9,0.0169,0
barley,0.0505,0.0849,6,5,0.0344,0
castor,0.0736,0.0672,5,5,-0.0064,0
chana,0.0582,0.0566,6,3,-0.0016,1
cotton,0.0498,0.0472,5,7,-0.0026,0
groundnut,0.0586,0.0395,11,11,-0.0191,0
guarseed413,0.057,0.0185,6,12,-0.0385,0
jeera,0.0536,0.1771,2,3,0.1235,0
jowar,0.0674,0.0741,11,5,0.0067,0
maize,0.0374,0.0517,11,5,0.0143,0
moong,0.0628,0.0476,9,7,-0.0152,1
mustard,0.0452,0.0462,3,2,0.001,1
ragi,0.0399,0.0349,11,6,-0.005,0
sesamum,0.0451,0.0507,7,3,0.0056,0
soybean,0.0809,0.0354,10,10,-0.0455,1
sunflower,0.0582,0.118,11,5,0.0598,0
turmeric,0.0371,0.0655,10,5,0.0284,0
wheat,0.017,0.0664,6,4,0.0494,0
