commodity,group,n_pre_yrs,n_post_yrs,pre_depth,post_depth,delta_depth,pre_trough_mode_mo,post_trough_mode_mo
chana,banned,4,3,0.06,0.0514,-0.0087,7,3
mustard,banned,4,3,0.0612,0.0567,-0.0045,3,2
soybean,banned,4,3,0.129,0.0765,-0.0525,10,10
moong,banned,4,3,0.0779,0.0563,-0.0217,9,6
wheat,banned_flagged,4,3,0.0409,0.0565,0.0156,4,4
castor,control,4,3,0.085,0.0698,-0.0152,5,5
guarseed413,control,4,3,0.092,0.0881,-0.0039,4,6
jeera,control,4,3,0.1126,0.1964,0.0838,2,3
turmeric,control,4,3,0.0576,0.1255,0.0679,1,2
cotton,control,4,3,0.0798,0.0534,-0.0264,5,7
barley,donor,4,3,0.0698,0.0827,0.0129,4,1
maize,donor,4,3,0.0695,0.0532,-0.0163,11,4
jowar,donor,4,3,0.089,0.0892,0.0002,11,10
bajra,donor,4,3,0.0764,0.0695,-0.0069,6,6
ragi,donor,4,3,0.0827,0.0379,-0.0448,6,6
groundnut,donor,4,3,0.0997,0.0427,-0.0569,6,11
sesamum,donor,4,3,0.0923,0.055,-0.0373,3,3
sunflower,donor,4,3,0.0873,0.1204,0.0331,6,5
