commodity,year,trough_month,depth,post
chana,2018,6,0.10984879793477431,0
chana,2019,7,0.012596228352186434,0
chana,2020,7,0.07192734039660131,0
chana,2021,2,0.04576091079428235,0
chana,2022,6,0.035208102986802325,1
chana,2023,7,0.06142024006566871,1
chana,2024,3,0.057451960573935756,1
mustard,2018,4,0.02771257488893364,0
mustard,2019,4,0.054066799081952555,0
mustard,2020,3,0.052686259654289413,0
mustard,2021,3,0.11023033554986617,0
mustard,2022,3,0.03551776590344413,1
mustard,2023,5,0.07387387942722912,1
mustard,2024,2,0.06057253327805634,1
soybean,2018,10,0.09580238021055532,0
soybean,2019,10,0.057338092385875394,0
soybean,2020,12,0.1054407881071876,0
soybean,2021,10,0.2574978783093278,0
soybean,2022,10,0.14560558031295767,1
soybean,2023,10,0.04203632587261208,1
soybean,2024,2,0.04179723542990077,1
moong,2018,9,0.04204233418659298,0
moong,2019,10,0.07071632409045603,0
moong,2020,9,0.13377941979473285,0
moong,2021,7,0.06521593143541438,0
moong,2022,6,0.06406612706741488,1
moong,2023,7,0.04906165251564809,1
moong,2024,12,0.05566449472475943,1
wheat,2018,6,0.01833683375250983,0
wheat,2019,4,0.038902781039317436,0
wheat,2020,12,0.06171316758162637,0
wheat,2021,8,0.044745866901318765,0
wheat,2022,6,0.044467364398042,1
wheat,2023,4,0.07493724481564223,1
wheat,2024,4,0.05007895153697728,1
castor,2018,6,0.09781269236276735,0
castor,2019,11,0.061735750911092846,0
castor,2020,5,0.09020997008026321,0
castor,2021,5,0.09021430575428924,0
castor,2022,1,0.06653672628568286,1
castor,2023,5,0.08374676863911101,1
castor,2024,5,0.059009587659905605,1
guarseed413,2018,6,0.10693828435209307,0
guarseed413,2019,10,0.025213344537650895,0
guarseed413,2020,4,0.07439121814350302,0
guarseed413,2021,7,0.16144647035317872,0
guarseed413,2022,10,0.13764814368091716,1
guarseed413,2023,6,0.07181310508010919,1
guarseed413,2024,12,0.05483236311413553,1
jeera,2018,4,0.137891320809861,0
jeera,2019,3,0.10372969772217266,0
jeera,2020,2,0.0759800097836334,0
jeera,2021,10,0.1327386152524782,0
jeera,2022,11,0.1218513681871316,1
jeera,2023,3,0.20061249870348963,1
jeera,2024,4,0.26677390383567734,1
turmeric,2018,10,0.05510250112941184,0
turmeric,2019,5,0.027381246451688268,0
turmeric,2020,11,0.09977331256621447,0
turmeric,2021,1,0.04798728887796133,0
turmeric,2022,6,0.06695210334709312,1
turmeric,2023,5,0.23942700513895976,1
turmeric,2024,2,0.07009521111013117,1
cotton,2018,5,0.06619667636124793,0
cotton,2019,10,0.03324071329748457,0
cotton,2020,4,0.10773634694647316,0
cotton,2021,5,0.11222514686106921,0
cotton,2022,7,0.06473008505086708,1
cotton,2023,7,0.0525962800968961,1
cotton,2024,1,0.04293956141162847,1
barley,2018,4,0.08614067518112811,0
barley,2019,4,0.05414551229966502,0
barley,2020,7,0.07287482583764238,0
barley,2021,3,0.06596471305955742,0
barley,2022,1,0.038525288472205266,1
barley,2023,6,0.1310486825750895,1
barley,2024,4,0.07852599388935844,1
maize,2018,11,0.0823414599058736,0
maize,2019,11,0.03692731017707085,0
maize,2020,5,0.07359408133228595,0
maize,2021,12,0.085134690820582,0
maize,2022,10,0.05405882206515944,1
maize,2023,6,0.07866727333692347,1
maize,2024,4,0.026823152706656028,1
jowar,2018,9,0.10343074182142087,0
jowar,2019,11,0.07003850520814481,0
jowar,2020,10,0.07715231523324129,0
jowar,2021,11,0.10552406499175104,0
jowar,2022,10,0.10679621713624332,1
jowar,2023,5,0.08779533118715221,1
jowar,2024,10,0.07312216629022783,1
bajra,2018,6,0.06660529138912308,0
bajra,2019,10,0.06659248843934429,0
bajra,2020,9,0.10691177611758018,0
bajra,2021,6,0.06541211413804071,0
bajra,2022,10,0.09642352676012678,1
bajra,2023,9,0.06045764199647741,1
bajra,2024,6,0.0515486333093218,1
ragi,2018,6,0.09354731497233104,0
ragi,2019,12,0.06366149343231464,0
ragi,2020,9,0.09488540593465888,0
ragi,2021,8,0.07862633740014757,0
ragi,2022,8,0.04010451717330421,1
ragi,2023,6,0.050631950985033924,1
ragi,2024,9,0.022848369377983846,1
groundnut,2018,6,0.0839015895320342,0
groundnut,2019,12,0.12654271236063497,0
groundnut,2020,10,0.12243294867592158,0
groundnut,2021,6,0.06587974550630615,0
groundnut,2022,11,0.04821856476571551,1
groundnut,2023,10,0.036652092566847316,1
groundnut,2024,11,0.04336114241466915,1
sesamum,2018,5,0.10006992917641488,0
sesamum,2019,3,0.023041355692352106,0
sesamum,2020,4,0.14547989806074324,0
sesamum,2021,6,0.10046228891728048,0
sesamum,2022,5,0.07171652409117424,1
sesamum,2023,6,0.04431788140210913,1
sesamum,2024,3,0.04896076115325387,1
sunflower,2018,6,0.04737426078050022,0
sunflower,2019,11,0.0732178746216765,0
sunflower,2020,10,0.11341196396440112,0
sunflower,2021,12,0.11511639462780776,0
sunflower,2022,9,0.09560798641110135,1
sunflower,2023,5,0.14838353244933677,1
sunflower,2024,8,0.11713329233728764,1
